0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0agg_price,0res_price,0gross_rev,0drought_cost,0cont_contrib,0debt_serv,0infra_npv,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1agg_price,1res_price,1gross_rev,1drought_cost,1cont_contrib,1debt_serv,1infra_npv
85.139,85.139,3.80061,0.05,0,2.46977,2.46977,0,0,4.47552,3.94875e+06,2.70226e+06,9.75252e+06,0,0,0,0,99.3022,98.274,3.41724,0,1,1.43262,1.43262,0,0,2.1168,8.20631e+06,3.61194e+06,1.17565e+07,0,0,0,0
85.139,85.139,4.80556,0.05,0,2.47057,2.47057,0,0.462835,4.47552,3.94875e+06,2.70226e+06,9.75566e+06,0,0,0,0,99.3022,98.274,5.13656,0,1,1.43308,1.43308,0,1.10684,2.1168,8.20631e+06,3.61194e+06,1.17603e+07,0,0,0,0
85.139,85.139,4.46445,0.05,0,2.47137,2.47137,0,0.462985,4.47552,3.94875e+06,2.70226e+06,9.75881e+06,0,0,0,0,99.3022,98.274,4.06966,0,1,1.43354,1.43354,0,1.1072,2.1168,8.20631e+06,3.61194e+06,1.17641e+07,0,0,0,0
85.139,85.139,4.33821,0.05,0,2.47216,2.47216,0,0.463134,4.47552,3.94875e+06,2.70226e+06,9.76196e+06,0,0,0,0,99.3022,98.274,4.58675,0,1,1.434,1.434,0,1.10755,2.1168,8.20631e+06,3.61194e+06,1.17679e+07,0,0,0,0
84.977,85.139,3.01017,0.05,0,2.71417,2.71417,0,0.463284,4.47552,3.94875e+06,2.70226e+06,1.07176e+07,0,0,0,0,99.3022,98.274,3.37985,0,1,1.60313,1.60313,0,1.10791,2.1168,8.20631e+06,3.61194e+06,1.31558e+07,0,0,0,0
84.4888,85.139,2.70282,0.06,0,2.71505,2.71505,0,0.508635,4.47552,3.94875e+06,2.70226e+06,1.0721e+07,0,0,0,0,99.3022,98.274,3.01538,0,1,1.60365,1.60365,0,1.23858,2.1168,8.20631e+06,3.61194e+06,1.316e+07,0,0,0,0
84.2709,85.139,2.92611,0.06,0,2.71592,2.71592,0,0.5088,4.47552,3.94875e+06,2.70226e+06,1.07245e+07,0,0,0,0,99.3022,98.274,3.46971,0,1,1.60416,1.60416,0,1.23898,2.1168,8.20631e+06,3.61194e+06,1.31643e+07,0,0,0,0
85.0052,85.139,4.06431,0.06,0,2.7168,2.7168,0,0.508964,4.47552,3.94875e+06,2.70226e+06,1.0728e+07,0,0,0,0,99.3022,98.274,4.13205,0,1,1.60468,1.60468,0,1.23938,2.1168,8.20631e+06,3.61194e+06,1.31685e+07,0,0,0,0
85.139,85.139,4.47664,0.06,0,2.37319,2.37319,0,0.509128,4.47552,3.94875e+06,2.70226e+06,9.37114e+06,0,0,0,0,99.3022,98.274,4.45056,0,1,1.37856,1.37856,0,1.23978,2.1168,8.20631e+06,3.61194e+06,1.13129e+07,0,0,0,0
85.139,85.139,4.73893,0.05,0,2.37396,2.37396,0,0.444736,4.47552,3.94875e+06,2.70226e+06,9.37416e+06,0,0,0,0,99.3022,98.274,5.12438,0,1,1.379,1.379,0,1.06508,2.1168,8.20631e+06,3.61194e+06,1.13165e+07,0,0,0,0
85.139,85.139,4.47933,0.05,0,2.37472,2.37472,0,0.44488,4.47552,3.94875e+06,2.70226e+06,9.37719e+06,0,0,0,0,99.3022,98.274,4.67529,0,1,1.37945,1.37945,0,1.06542,2.1168,8.20631e+06,3.61194e+06,1.13202e+07,0,0,0,0
85.139,85.139,4.72882,0.05,0,2.37549,2.37549,0,0.445023,4.47552,3.94875e+06,2.70226e+06,9.38021e+06,0,0,0,0,99.3022,98.274,6.26653,0,1,1.37989,1.37989,0,1.06576,2.1168,8.20631e+06,3.61194e+06,1.13238e+07,0,0,0,0
85.139,85.139,7.42055,0.05,0,2.37626,2.37626,0,0.445167,4.47552,3.94875e+06,2.70226e+06,9.38324e+06,0,0,0,0,99.3022,98.274,9.05504,0,1,1.38034,1.38034,0,1.06611,2.1168,8.20631e+06,3.61194e+06,1.13275e+07,0,0,0,0
85.139,85.139,3.29138,0.05,0,2.46387,2.46387,0,0.44531,4.47552,3.94875e+06,2.70226e+06,9.72922e+06,0,0,0,0,99.3022,98.274,5.26517,0,1,1.43632,1.43632,0,1.06645,2.1168,8.20631e+06,3.61194e+06,1.17869e+07,0,0,0,0
85.1054,85.139,2.93165,0.05,0,2.46467,2.46467,0,0.46173,4.47552,3.94875e+06,2.70226e+06,9.73236e+06,0,0,0,0,99.3022,98.274,4.65105,0,1,1.43678,1.43678,0,1.1097,2.1168,8.20631e+06,3.61194e+06,1.17907e+07,0,0,0,0
84.9736,85.139,2.86262,0.07,0,2.46546,2.46546,0,0.461879,4.47552,3.94875e+06,2.70226e+06,9.73549e+06,0,0,0,0,99.3022,98.274,4.30948,0,1,1.43725,1.43725,0,1.11006,2.1168,8.20631e+06,3.61194e+06,1.17945e+07,0,0,0,0
84.4846,85.139,2.4438,0.07,0,2.46626,2.46626,0,0.462028,4.47552,3.94875e+06,2.70226e+06,9.73863e+06,0,0,0,0,99.3022,98.274,4.4536,0,1,1.43771,1.43771,0,1.11042,2.1168,8.20631e+06,3.61194e+06,1.17983e+07,0,0,0,0
83.7986,85.139,2.1951,0.07,0,2.43305,2.43305,0,0.462177,4.47552,3.94875e+06,2.70226e+06,9.60751e+06,0,0,0,0,99.3022,98.274,3.01833,0,1,1.41658,1.41658,0,1.11077,2.1168,8.20631e+06,3.61194e+06,1.16249e+07,0,0,0,0
83.0041,85.139,1.99948,0.07,0,2.43383,2.43383,0,0.455954,4.47552,3.94875e+06,2.70226e+06,9.6106e+06,0,0,0,0,99.3022,98.274,2.61936,0,1,1.41703,1.41703,0,1.09445,2.1168,8.20631e+06,3.61194e+06,1.16286e+07,0,0,0,0
82.1711,85.139,1.95294,0.07,0,2.43462,2.43462,0,0.456101,4.47552,3.94875e+06,2.70226e+06,9.6137e+06,0,0,0,0,99.3022,98.274,2.98424,0,1,1.41749,1.41749,0,1.0948,2.1168,8.20631e+06,3.61194e+06,1.16324e+07,0,0,0,0
81.3303,85.139,1.93802,0.07,0,2.4354,2.4354,0,0.456248,4.47552,3.94875e+06,2.70226e+06,9.6168e+06,0,0,0,0,99.3022,98.274,2.67095,0,1,1.41795,1.41795,0,1.09515,2.1168,8.20631e+06,3.61194e+06,1.16361e+07,0,0,0,0
80.2489,85.139,1.77014,0.06,0,2.55175,2.55175,0,0.456395,4.47552,3.94875e+06,2.70226e+06,1.00762e+07,0,0,0,0,99.3022,98.274,2.47759,0,1,1.49509,1.49509,0,1.09551,2.1168,8.20631e+06,3.61194e+06,1.22692e+07,0,0,0,0
79.1035,85.139,1.69428,0.06,0,2.55258,2.55258,0,0.478199,4.47552,3.94875e+06,2.70226e+06,1.00795e+07,0,0,0,0,99.3022,98.274,2.30753,0,1,1.49557,1.49557,0,1.15511,2.1168,8.20631e+06,3.61194e+06,1.22731e+07,0,0,0,0
77.7837,85.139,1.48711,0.08,0,2.5534,2.5534,0,0.478353,4.47552,3.94875e+06,2.70226e+06,1.00827e+07,0,0,0,0,99.2493,98.274,2.15682,0,1,1.49605,1.49605,0,1.15548,2.1168,8.20631e+06,3.61194e+06,1.22771e+07,0,0,0,0
76.4316,85.139,1.40378,0.08,0,2.55422,2.55422,0,0.478507,4.47552,3.94875e+06,2.70226e+06,1.0086e+07,0,0,0,0,99.2078,98.274,2.06072,0,1,1.49654,1.49654,0,1.15585,2.1168,8.20631e+06,3.61194e+06,1.2281e+07,0,0,0,0
75.0527,85.139,1.36178,0.07,0,2.55505,2.55505,0,0.478661,4.47552,3.94875e+06,2.70226e+06,1.00892e+07,0,0,0,0,99.279,98.274,1.9875,0,1,1.49702,1.49702,0,1.15622,2.1168,8.20631e+06,3.61194e+06,1.2285e+07,0,0,0,0
73.8418,85.139,1.46476,0.05,0,2.53298,2.53298,0,0.478815,4.47552,3.94875e+06,2.70226e+06,1.00021e+07,0,0,0,0,99.212,98.274,2.07123,0,1,1.53972,1.53972,0,1.1566,2.1168,8.20631e+06,3.61194e+06,1.26354e+07,0,0,0,0
72.5266,85.139,1.35143,0.05,0,2.53379,2.53379,0,0.47468,4.47552,3.94875e+06,2.70226e+06,1.00053e+07,0,0,0,0,99.0479,98.274,2.05849,0,1,1.54021,1.54021,0,1.18958,2.1168,8.20631e+06,3.61194e+06,1.26395e+07,0,0,0,0
71.1063,85.139,1.23417,0.08,0,2.53461,2.53461,0,0.474833,4.47552,3.94875e+06,2.70226e+06,1.00085e+07,0,0,0,0,98.8767,98.274,1.83006,0,1,1.54071,1.54071,0,1.18997,2.1168,8.20631e+06,3.61194e+06,1.26435e+07,0,0,0,0
69.6156,85.139,1.13228,0.06,0,2.53543,2.53543,0,0.474986,4.47552,3.94875e+06,2.70226e+06,1.00118e+07,0,0,0,0,98.6947,98.274,1.79704,0,1,1.5412,1.5412,0,1.19035,2.1168,8.20631e+06,3.61194e+06,1.26476e+07,0,0,0,0
68.201,85.139,1.23565,0.06,0,2.59543,2.59543,0,0.475139,4.47552,3.94875e+06,2.70226e+06,1.02487e+07,0,0,0,0,98.511,98.274,1.85575,0,1,1.57937,1.57937,0,1.19073,2.1168,8.20631e+06,3.61194e+06,1.29608e+07,0,0,0,0
66.7887,85.139,1.22826,0.05,0,2.59627,2.59627,0,0.486384,4.47552,3.94875e+06,2.70226e+06,1.0252e+07,0,0,0,0,98.2808,98.274,1.90942,0,1,1.57988,1.57988,0,1.22022,2.1168,8.20631e+06,3.61194e+06,1.2965e+07,0,0,0,0
65.2552,85.139,1.09174,0.07,0,2.59711,2.59711,0,0.486541,4.47552,3.94875e+06,2.70226e+06,1.02553e+07,0,0,0,0,97.9658,98.274,1.79057,0,1,1.58039,1.58039,0,1.22062,2.1168,8.20631e+06,3.61194e+06,1.29692e+07,0,0,0,0
