rof_threshold,fail_freq_yr01_05,fail_freq_yr06_10,fail_freq_yr11_15,fail_freq_yr16_20,fail_freq_yr21_25,fail_freq_yr26_30,fail_freq_yr31_35,fail_freq_yr36_40
0.02,0,0,0,0,0,0,0,0
0.04,0,0,0,0,0,0,0,0
0.06,0.04,0.0408,0.0416,0.0424,0.0432,0.044,0.0448,0.0456
0.08,0.1,0.102,0.104,0.106,0.108,0.11,0.112,0.114
0.10,0.2,0.204,0.208,0.212,0.216,0.22,0.224,0.228
0.12,0.36,0.3672,0.3744,0.3816,0.3888,0.396,0.4032,0.4104
0.14,0.56,0.5712,0.5824,0.5936,0.6048,0.616,0.6272,0.6384
0.16,0.8,0.816,0.832,0.848,0.864,0.88,0.896,0.912
0.18,1.1,1.122,1.144,1.166,1.188,1.21,1.232,1.254
0.20,1.44,1.4688,1.4976,1.5264,1.5552,1.584,1.6128,1.6416
0.22,1.8,1.836,1.872,1.908,1.944,1.98,2.016,2.052
0.24,2.2,2.244,2.288,2.332,2.376,2.42,2.464,2.508
0.26,2.64,2.6928,2.7456,2.7984,2.8512,2.904,2.9568,3.0096
0.28,3.1,3.162,3.224,3.286,3.348,3.41,3.472,3.534
0.30,3.6,3.672,3.744,3.816,3.888,3.96,4.032,4.104
0.35,4.8,4.896,4.992,5.088,5.184,5.28,5.376,5.472
0.40,6,6.12,6.24,6.36,6.48,6.6,6.72,6.84
0.45,7.2,7.344,7.488,7.632,7.776,7.92,8.064,8.208
0.50,8.4,8.568,8.736,8.904,9.072,9.24,9.408,9.576
0.55,9.6,9.792,9.984,10.176,10.368,10.56,10.752,10.944
0.60,10.8,11.016,11.232,11.448,11.664,11.88,12.096,12.312
0.65,12,12.24,12.48,12.72,12.96,13.2,13.44,13.68
0.70,13.2,13.464,13.728,13.992,14.256,14.52,14.784,15.048
0.80,15.6,15.912,16.224,16.536,16.848,17.16,17.472,17.784
0.90,18,18.36,18.72,19.08,19.44,19.8,20.16,20.52
