rof_threshold,fail_freq_yr01_05,fail_freq_yr06_10,fail_freq_yr11_15,fail_freq_yr16_20,fail_freq_yr21_25,fail_freq_yr26_30,fail_freq_yr31_35,fail_freq_yr36_40
0.02,0,0,0,0,0,0,0,0
0.04,0,0,0,0,0,0,0,0
0.06,0.034,0.0347,0.0354,0.036,0.0367,0.0374,0.0381,0.0388
0.08,0.085,0.0867,0.0884,0.0901,0.0918,0.0935,0.0952,0.0969
0.10,0.17,0.1734,0.1768,0.1802,0.1836,0.187,0.1904,0.1938
0.12,0.306,0.3121,0.3182,0.3244,0.3305,0.3366,0.3427,0.3488
0.14,0.476,0.4855,0.495,0.5046,0.5141,0.5236,0.5331,0.5426
0.16,0.68,0.6936,0.7072,0.7208,0.7344,0.748,0.7616,0.7752
0.18,0.935,0.9537,0.9724,0.9911,1.0098,1.0285,1.0472,1.0659
0.20,1.224,1.2485,1.273,1.2974,1.3219,1.3464,1.3709,1.3954
0.22,1.53,1.5606,1.5912,1.6218,1.6524,1.683,1.7136,1.7442
0.24,1.87,1.9074,1.9448,1.9822,2.0196,2.057,2.0944,2.1318
0.26,2.244,2.2889,2.3338,2.3786,2.4235,2.4684,2.5133,2.5582
0.28,2.635,2.6877,2.7404,2.7931,2.8458,2.8985,2.9512,3.0039
0.30,3.06,3.1212,3.1824,3.2436,3.3048,3.366,3.4272,3.4884
0.35,4.08,4.1616,4.2432,4.3248,4.4064,4.488,4.5696,4.6512
0.40,5.1,5.202,5.304,5.406,5.508,5.61,5.712,5.814
0.45,6.12,6.2424,6.3648,6.4872,6.6096,6.732,6.8544,6.9768
0.50,7.14,7.2828,7.4256,7.5684,7.7112,7.854,7.9968,8.1396
0.55,8.16,8.3232,8.4864,8.6496,8.8128,8.976,9.1392,9.3024
0.60,9.18,9.3636,9.5472,9.7308,9.9144,10.098,10.2816,10.4652
0.65,10.2,10.404,10.608,10.812,11.016,11.22,11.424,11.628
0.70,11.22,11.4444,11.6688,11.8932,12.1176,12.342,12.5664,12.7908
0.80,13.26,13.5252,13.7904,14.0556,14.3208,14.586,14.8512,15.1164
0.90,15.3,15.606,15.912,16.218,16.524,16.83,17.136,17.442
