rof_threshold,fail_freq_yr01_05,fail_freq_yr06_10,fail_freq_yr11_15,fail_freq_yr16_20,fail_freq_yr21_25,fail_freq_yr26_30,fail_freq_yr31_35,fail_freq_yr36_40
0.02,14.76,15.0552,15.3504,15.6456,15.9408,16.236,16.5312,16.8264
0.04,12.792,13.0478,13.3037,13.5595,13.8154,14.0712,14.327,14.5829
0.06,10.824,11.0405,11.257,11.4734,11.6899,11.9064,12.1229,12.3394
0.08,9.84,10.0368,10.2336,10.4304,10.6272,10.824,11.0208,11.2176
0.10,8.856,9.0331,9.2102,9.3874,9.5645,9.7416,9.9187,10.0958
0.12,7.872,8.0294,8.1869,8.3443,8.5018,8.6592,8.8166,8.9741
0.14,6.888,7.0258,7.1635,7.3013,7.439,7.5768,7.7146,7.8523
0.16,5.904,6.0221,6.1402,6.2582,6.3763,6.4944,6.6125,6.7306
0.18,4.92,5.0184,5.1168,5.2152,5.3136,5.412,5.5104,5.6088
0.20,3.936,4.0147,4.0934,4.1722,4.2509,4.3296,4.4083,4.487
0.22,2.952,3.011,3.0701,3.1291,3.1882,3.2472,3.3062,3.3653
0.24,2.542,2.5928,2.6437,2.6945,2.7454,2.7962,2.847,2.8979
0.26,2.1648,2.2081,2.2514,2.2947,2.338,2.3813,2.4246,2.4679
0.28,1.804,1.8401,1.8762,1.9122,1.9483,1.9844,2.0205,2.0566
0.30,1.476,1.5055,1.535,1.5646,1.5941,1.6236,1.6531,1.6826
0.35,1.1808,1.2044,1.228,1.2516,1.2753,1.2989,1.3225,1.3461
0.40,0.902,0.92,0.9381,0.9561,0.9742,0.9922,1.0102,1.0283
0.45,0.656,0.6691,0.6822,0.6954,0.7085,0.7216,0.7347,0.7478
0.50,0.4592,0.4684,0.4776,0.4868,0.4959,0.5051,0.5143,0.5235
0.55,0.2952,0.3011,0.307,0.3129,0.3188,0.3247,0.3306,0.3365
0.60,0.164,0.1673,0.1706,0.1738,0.1771,0.1804,0.1837,0.187
0.65,0.082,0.0836,0.0853,0.0869,0.0886,0.0902,0.0918,0.0935
0.70,0.0328,0.0335,0.0341,0.0348,0.0354,0.0361,0.0367,0.0374
0.80,0,0,0,0,0,0,0,0
0.90,0,0,0,0,0,0,0,0
