rof_threshold,fail_freq_yr01_05,fail_freq_yr06_10,fail_freq_yr11_15,fail_freq_yr16_20,fail_freq_yr21_25,fail_freq_yr26_30,fail_freq_yr31_35,fail_freq_yr36_40
0.02,12.6,12.852,13.104,13.356,13.608,13.86,14.112,14.364
0.04,10.92,11.1384,11.3568,11.5752,11.7936,12.012,12.2304,12.4488
0.06,9.24,9.4248,9.6096,9.7944,9.9792,10.164,10.3488,10.5336
0.08,8.4,8.568,8.736,8.904,9.072,9.24,9.408,9.576
0.10,7.56,7.7112,7.8624,8.0136,8.1648,8.316,8.4672,8.6184
0.12,6.72,6.8544,6.9888,7.1232,7.2576,7.392,7.5264,7.6608
0.14,5.88,5.9976,6.1152,6.2328,6.3504,6.468,6.5856,6.7032
0.16,5.04,5.1408,5.2416,5.3424,5.4432,5.544,5.6448,5.7456
0.18,4.2,4.284,4.368,4.452,4.536,4.62,4.704,4.788
0.20,3.36,3.4272,3.4944,3.5616,3.6288,3.696,3.7632,3.8304
0.22,2.52,2.5704,2.6208,2.6712,2.7216,2.772,2.8224,2.8728
0.24,2.17,2.2134,2.2568,2.3002,2.3436,2.387,2.4304,2.4738
0.26,1.848,1.885,1.9219,1.9589,1.9958,2.0328,2.0698,2.1067
0.28,1.54,1.5708,1.6016,1.6324,1.6632,1.694,1.7248,1.7556
0.30,1.26,1.2852,1.3104,1.3356,1.3608,1.386,1.4112,1.4364
0.35,1.008,1.0282,1.0483,1.0685,1.0886,1.1088,1.129,1.1491
0.40,0.77,0.7854,0.8008,0.8162,0.8316,0.847,0.8624,0.8778
0.45,0.56,0.5712,0.5824,0.5936,0.6048,0.616,0.6272,0.6384
0.50,0.392,0.3998,0.4077,0.4155,0.4234,0.4312,0.439,0.4469
0.55,0.252,0.257,0.2621,0.2671,0.2722,0.2772,0.2822,0.2873
0.60,0.14,0.1428,0.1456,0.1484,0.1512,0.154,0.1568,0.1596
0.65,0.07,0.0714,0.0728,0.0742,0.0756,0.077,0.0784,0.0798
0.70,0.028,0.0286,0.0291,0.0297,0.0302,0.0308,0.0314,0.0319
0.80,0,0,0,0,0,0,0,0
0.90,0,0,0,0,0,0,0,0
