0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost,0water_price
599695,0,0,0,2.74323e-57,2.01995e+07,599695,0,1.29592e+07
1.19955e+06,0,0,0,0,2.02047e+07,599851,0,1.29592e+07
1.79955e+06,0,0,0,0,2.02099e+07,600006,0,1.29592e+07
2.39971e+06,0,0,0,0,2.02151e+07,600161,0,1.29592e+07
3.0644e+06,0,0,0,0,2.23893e+07,664689,0,1.29592e+07
3.72926e+06,0,0,0,0,2.23951e+07,664861,0,1.29592e+07
4.3943e+06,0,0,0,0,2.24008e+07,665033,0,1.29592e+07
5.0595e+06,0,0,0,0,2.24066e+07,665205,0,1.29592e+07
5.63585e+06,0,0,0,0,1.94131e+07,576348,0,1.29592e+07
6.21235e+06,0,0,0,0,1.94181e+07,576497,0,1.29592e+07
6.78899e+06,0,0,0,0,1.94231e+07,576646,0,1.29592e+07
7.36579e+06,0,0,0,0,1.94281e+07,576795,0,1.29592e+07
7.94273e+06,0,0,0,0,1.94332e+07,576944,0,1.29592e+07
8.54194e+06,0,0,0,0,2.01832e+07,599208,0,1.29592e+07
9.1413e+06,0,0,0,0,2.01884e+07,599363,0,1.29592e+07
9.74082e+06,0,0,0,0,2.01936e+07,599518,0,1.29592e+07
1.03405e+07,0,0,0,0,2.01989e+07,599673,0,1.29592e+07
1.09317e+07,0,0,0,0,1.99135e+07,591202,0,1.29592e+07
1.1523e+07,0,0,0,0,1.99186e+07,591355,0,1.29592e+07
1.21146e+07,0,0,0,0,1.99238e+07,591508,0,1.29592e+07
1.27062e+07,0,0,0,0,1.9929e+07,591661,0,1.29592e+07
1.3328e+07,0,0,0,0,2.0944e+07,621789,0,1.29592e+07
1.395e+07,0,0,0,0,2.09494e+07,621950,0,1.29592e+07
1.45721e+07,0,0,0,0,2.09548e+07,622111,0,1.29592e+07
1.51943e+07,0,0,0,0,2.09602e+07,622272,0,1.29592e+07
1.58168e+07,0,0,0,0,2.09656e+07,622433,0,1.29592e+07
1.6445e+07,0,0,0,0,2.11632e+07,628262,0,1.29592e+07
1.70735e+07,0,0,0,0,2.11687e+07,628425,0,1.29592e+07
1.7702e+07,0,0,0,0,2.11742e+07,628587,0,1.29592e+07
1.83308e+07,0,0,0,0,2.11797e+07,628750,0,1.29592e+07
1.89747e+07,0,0,0,0,2.16911e+07,643932,0,1.29592e+07
1.96188e+07,0,0,0,0,2.16967e+07,644099,0,1.29592e+07
2.02631e+07,0,0,0,0,2.17023e+07,644266,0,1.29592e+07
2.09075e+07,0,0,0,0,2.17079e+07,644432,0,1.29592e+07
2.16013e+07,0,0,0,0,2.33722e+07,693819,0,1.29592e+07
2.22953e+07,0,0,0,0,2.33783e+07,693998,0,1.29592e+07
2.29895e+07,0,0,0,0,2.33843e+07,694178,0,1.29592e+07
2.36839e+07,0,0,0,0,2.33903e+07,694357,0,1.29592e+07
2.43784e+07,0,0,0,0,2.33964e+07,694537,0,1.29592e+07
2.50458e+07,0,0,0,0,2.24817e+07,667404,0,1.29592e+07
2.57134e+07,0,0,0,0,2.24876e+07,667576,0,1.29592e+07
2.63811e+07,0,0,0,0,2.24934e+07,667749,0,1.29592e+07
2.70491e+07,0,0,0,0,2.24992e+07,667922,0,1.29592e+07
2.76932e+07,0,0,0,0,2.16979e+07,644156,0,1.29592e+07
2.83375e+07,0,0,0,0,2.17035e+07,644323,0,1.29592e+07
2.8982e+07,0,0,0,0,2.17091e+07,644489,0,1.29592e+07
2.96267e+07,0,0,0,0,2.17148e+07,644656,0,1.29592e+07
3.0215e+07,0,0,0,0,1.9816e+07,588313,0,1.29592e+07
3.08035e+07,0,0,0,0,1.98212e+07,588466,0,1.29592e+07
3.13921e+07,0,0,0,0,1.98263e+07,588618,0,1.29592e+07
3.19809e+07,0,0,0,0,1.98314e+07,588770,0,1.29592e+07
0,0,5.60168e+09,0,0,1.98366e+07,588922,1.11708e+10,1.29592e+07
607813,0,0,0,2.74323e-57,2.04729e+07,607813,0,1.29592e+07
1.21578e+06,0,0,0,0,2.0478e+07,607966,0,1.29592e+07
1.8239e+06,0,0,0,0,2.04832e+07,608118,0,1.29592e+07
2.43217e+06,0,0,0,0,2.04883e+07,608271,0,1.29592e+07
3.10583e+06,0,0,0,0,2.26916e+07,673665,0,1.29592e+07
3.77967e+06,0,0,0,0,2.26973e+07,673834,0,1.29592e+07
4.45367e+06,0,0,0,0,2.2703e+07,674003,0,1.29592e+07
5.12784e+06,0,0,0,0,2.27087e+07,674172,0,1.29592e+07
5.71195e+06,0,0,0,0,1.96746e+07,584112,0,1.29592e+07
6.29621e+06,0,0,0,0,1.96795e+07,584258,0,1.29592e+07
6.88062e+06,0,0,0,0,1.96845e+07,584405,0,1.29592e+07
7.46517e+06,0,0,0,0,1.96894e+07,584551,0,1.29592e+07
8.04986e+06,0,0,0,0,1.96943e+07,584698,0,1.29592e+07
8.65712e+06,0,0,0,0,2.04543e+07,607255,0,1.29592e+07
9.26453e+06,0,0,0,0,2.04594e+07,607408,0,1.29592e+07
9.87209e+06,0,0,0,0,2.04645e+07,607560,0,1.29592e+07
1.04798e+07,0,0,0,0,2.04696e+07,607712,0,1.29592e+07
1.10789e+07,0,0,0,0,2.01803e+07,599123,0,1.29592e+07
1.16782e+07,0,0,0,0,2.01853e+07,599273,0,1.29592e+07
1.22776e+07,0,0,0,0,2.01904e+07,599423,0,1.29592e+07
1.28772e+07,0,0,0,0,2.01955e+07,599574,0,1.29592e+07
1.35073e+07,0,0,0,0,2.12239e+07,630100,0,1.29592e+07
1.41376e+07,0,0,0,0,2.12292e+07,630258,0,1.29592e+07
1.4768e+07,0,0,0,0,2.12345e+07,630416,0,1.29592e+07
1.53985e+07,0,0,0,0,2.12399e+07,630574,0,1.29592e+07
1.60293e+07,0,0,0,0,2.12452e+07,630732,0,1.29592e+07
1.66659e+07,0,0,0,0,2.14452e+07,636634,0,1.29592e+07
1.73027e+07,0,0,0,0,2.14506e+07,636793,0,1.29592e+07
1.79397e+07,0,0,0,0,2.1456e+07,636953,0,1.29592e+07
1.85768e+07,0,0,0,0,2.14613e+07,637112,0,1.29592e+07
1.92293e+07,0,0,0,0,2.19794e+07,652491,0,1.29592e+07
1.98819e+07,0,0,0,0,2.19849e+07,652655,0,1.29592e+07
2.05347e+07,0,0,0,0,2.19904e+07,652819,0,1.29592e+07
2.11877e+07,0,0,0,0,2.1996e+07,652982,0,1.29592e+07
2.18907e+07,0,0,0,0,2.36821e+07,703018,0,1.29592e+07
2.25939e+07,0,0,0,0,2.3688e+07,703194,0,1.29592e+07
2.32973e+07,0,0,0,0,2.3694e+07,703370,0,1.29592e+07
2.40008e+07,0,0,0,0,2.36999e+07,703547,0,1.29592e+07
2.47046e+07,0,0,0,0,2.37059e+07,703723,0,1.29592e+07
2.53808e+07,0,0,0,0,2.27789e+07,676226,0,1.29592e+07
2.60572e+07,0,0,0,0,2.27846e+07,676395,0,1.29592e+07
2.67337e+07,0,0,0,0,2.27903e+07,676565,0,1.29592e+07
2.74105e+07,0,0,0,0,2.2796e+07,676734,0,1.29592e+07
2.80631e+07,0,0,0,0,2.1984e+07,652650,0,1.29592e+07
2.87159e+07,0,0,0,0,2.19895e+07,652813,0,1.29592e+07
2.93689e+07,0,0,0,0,2.1995e+07,652977,0,1.29592e+07
3.00221e+07,0,0,0,0,2.20006e+07,653141,0,1.29592e+07
3.06181e+07,0,0,0,0,2.00767e+07,596051,0,1.29592e+07
3.12143e+07,0,0,0,0,2.00817e+07,596201,0,1.29592e+07
3.18107e+07,0,0,0,0,2.00867e+07,596350,0,1.29592e+07
3.24072e+07,0,0,0,0,2.00918e+07,596500,0,1.29592e+07
0,0,5.77951e+09,0,0,2.00968e+07,596649,1.1526e+10,1.29592e+07
615783,0,0,0,2.74323e-57,2.07413e+07,615783,0,1.29592e+07
1.23172e+06,0,0,0,0,2.07464e+07,615932,0,1.29592e+07
1.8478e+06,0,0,0,0,2.07514e+07,616081,0,1.29592e+07
2.46403e+06,0,0,0,0,2.07564e+07,616231,0,1.29592e+07
3.1465e+06,0,0,0,0,2.29884e+07,682475,0,1.29592e+07
3.82914e+06,0,0,0,0,2.29939e+07,682641,0,1.29592e+07
4.51195e+06,0,0,0,0,2.29995e+07,682806,0,1.29592e+07
5.19492e+06,0,0,0,0,2.30051e+07,682972,0,1.29592e+07
5.78665e+06,0,0,0,0,1.99312e+07,591731,0,1.29592e+07
6.37853e+06,0,0,0,0,1.99361e+07,591875,0,1.29592e+07
6.97055e+06,0,0,0,0,1.99409e+07,592018,0,1.29592e+07
7.56271e+06,0,0,0,0,1.99457e+07,592162,0,1.29592e+07
8.15501e+06,0,0,0,0,1.99506e+07,592305,0,1.29592e+07
