0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0agg_price,0res_price,0gross_rev,0drought_cost,0cont_contrib,0debt_serv,0infra_npv,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1agg_price,1res_price,1gross_rev,1drought_cost,1cont_contrib,1debt_serv,1infra_npv
85.1408,85.1408,3.82596,0,0,2.46977,2.46977,0,0,4.6872,4.53687e+06,3.10473e+06,1.1205e+07,0,333677,0,0,62.338,61.3098,2.79009,0,0,1.12031,1.12031,0,0,1.90512,9.42855e+06,4.14989e+06,1.05629e+07,0,312584,0,0
85.1408,85.1408,3.73537,0,0,2.47029,2.47029,0,0.462835,4.6872,4.53687e+06,3.10473e+06,1.12074e+07,0,333747,0,0,62.338,61.3098,2.92777,0,0,1.12054,1.12054,0,0.865549,1.90512,9.42855e+06,4.14989e+06,1.05651e+07,0,312649,0,0
85.1408,85.1408,4.10216,0,0,2.47081,2.47081,0,0.462933,4.6872,4.53687e+06,3.10473e+06,1.12097e+07,0,333817,0,0,62.338,61.3098,3.60207,0,0,1.12078,1.12078,0,0.86573,1.90512,9.42855e+06,4.14989e+06,1.05673e+07,0,312715,0,0
85.1408,85.1408,5.73448,0,0,2.47133,2.47133,0,0.46303,4.6872,4.53687e+06,3.10473e+06,1.12121e+07,0,333887,0,0,62.338,61.3098,3.28799,0,0,1.12101,1.12101,0,0.865912,1.90512,9.42855e+06,4.14989e+06,1.05695e+07,0,312781,0,0
85.1408,85.1408,5.11479,0,0,2.71295,2.71295,0,0.463127,4.6872,4.53687e+06,3.10473e+06,1.23083e+07,0,366531,0,0,62.338,61.3098,3.08388,0,0,1.25308,1.25308,0,0.866094,1.90512,9.42855e+06,4.14989e+06,1.18147e+07,0,349630,0,0
85.1408,85.1408,4.78219,0,0,2.71352,2.71352,0,0.508406,4.6872,4.53687e+06,3.10473e+06,1.23109e+07,0,366608,0,0,62.338,61.3098,3.29682,0,0,1.25335,1.25335,0,0.968131,1.90512,9.42855e+06,4.14989e+06,1.18172e+07,0,349704,0,0
84.9863,85.1408,3.11278,0,0,2.71409,2.71409,0,0.508513,4.6872,4.53687e+06,3.10473e+06,1.23135e+07,0,366685,0,0,62.338,61.3098,2.72652,0,0,1.25361,1.25361,0,0.968335,1.90512,9.42855e+06,4.14989e+06,1.18197e+07,0,349777,0,0
85.1408,85.1408,3.4612,0,0,2.71466,2.71466,0,0.50862,4.6872,4.53687e+06,3.10473e+06,1.2316e+07,0,366762,0,0,62.338,61.3098,2.89406,0,0,1.25387,1.25387,0,0.968538,1.90512,9.42855e+06,4.14989e+06,1.18222e+07,0,349851,0,0
85.1408,85.1408,6.20155,0,0,2.37105,2.37105,0,0.508727,4.6872,4.53687e+06,3.10473e+06,1.07572e+07,0,320340,0,0,62.338,61.3098,6.40392,0,0,1.07706,1.07706,0,0.968742,1.90512,9.42855e+06,4.14989e+06,1.01551e+07,0,300518,0,0
85.1408,85.1408,7.13164,0,0,2.37155,2.37155,0,0.444336,4.6872,4.53687e+06,3.10473e+06,1.07594e+07,0,320407,0,0,62.338,61.3098,8.55038,0,0,1.07729,1.07729,0,0.832139,1.90512,9.42855e+06,4.14989e+06,1.01573e+07,0,300581,0,0
85.1408,85.1408,6.298,0,0,2.37205,2.37205,0,0.444429,4.6872,4.53687e+06,3.10473e+06,1.07617e+07,0,320474,0,0,62.338,61.3098,8.12592,0,0,1.07752,1.07752,0,0.832314,1.90512,9.42855e+06,4.14989e+06,1.01594e+07,0,300644,0,0
85.1408,85.1408,8.12209,0,0,2.37255,2.37255,0,0.444522,4.6872,4.53687e+06,3.10473e+06,1.0764e+07,0,320542,0,0,62.338,61.3098,9.00549,0,0,1.07774,1.07774,0,0.832488,1.90512,9.42855e+06,4.14989e+06,1.01615e+07,0,300707,0,0
85.1408,85.1408,8.36677,0,0,2.37305,2.37305,0,0.444616,4.6872,4.53687e+06,3.10473e+06,1.07662e+07,0,320609,0,0,62.338,61.3098,10.2084,0,0,1.07797,1.07797,0,0.832663,1.90512,9.42855e+06,4.14989e+06,1.01637e+07,0,300771,0,0
85.1408,85.1408,10.0309,0,0,2.46027,2.46027,0,0.444709,4.6872,4.53687e+06,3.10473e+06,1.11619e+07,0,332393,0,0,62.338,61.3098,13.9834,0,0,1.12156,1.12156,0,0.832838,1.90512,9.42855e+06,4.14989e+06,1.05747e+07,0,312933,0,0
85.1408,85.1408,6.23151,0,0,2.46079,2.46079,0,0.461055,4.6872,4.53687e+06,3.10473e+06,1.11643e+07,0,332463,0,0,62.338,61.3098,9.31209,0,0,1.12179,1.12179,0,0.866516,1.90512,9.42855e+06,4.14989e+06,1.05769e+07,0,312999,0,0
85.1408,85.1408,5.146,0,0,2.4613,2.4613,0,0.461151,4.6872,4.53687e+06,3.10473e+06,1.11666e+07,0,332533,0,0,62.338,61.3098,8.52281,0,0,1.12203,1.12203,0,0.866698,1.90512,9.42855e+06,4.14989e+06,1.05791e+07,0,313065,0,0
85.1408,85.1408,4.53344,0,0,2.46182,2.46182,0,0.461248,4.6872,4.53687e+06,3.10473e+06,1.1169e+07,0,332603,0,0,62.338,61.3098,7.85513,0,0,1.12227,1.12227,0,0.866881,1.90512,9.42855e+06,4.14989e+06,1.05813e+07,0,313130,0,0
85.1408,85.1408,4.41922,0,0,2.4284,2.4284,0,0.461345,4.6872,4.53687e+06,3.10473e+06,1.10173e+07,0,328088,0,0,62.338,61.3098,4.57646,0,0,1.10565,1.10565,0,0.867063,1.90512,9.42855e+06,4.14989e+06,1.04246e+07,0,308493,0,0
85.1408,85.1408,4.14732,0,0,2.42891,2.42891,0,0.455082,4.6872,4.53687e+06,3.10473e+06,1.10197e+07,0,328157,0,0,62.338,61.3098,3.95085,0,0,1.10588,1.10588,0,0.854222,1.90512,9.42855e+06,4.14989e+06,1.04268e+07,0,308558,0,0
85.1408,85.1408,3.67334,0,0,2.42942,2.42942,0,0.455178,4.6872,4.53687e+06,3.10473e+06,1.1022e+07,0,328225,0,0,62.338,61.3098,4.36144,0,0,1.10611,1.10611,0,0.854401,1.90512,9.42855e+06,4.14989e+06,1.0429e+07,0,308623,0,0
85.1408,85.1408,3.32577,0,0,2.42993,2.42993,0,0.455274,4.6872,4.53687e+06,3.10473e+06,1.10243e+07,0,328294,0,0,62.338,61.3098,3.64374,0,0,1.10634,1.10634,0,0.854581,1.90512,9.42855e+06,4.14989e+06,1.04312e+07,0,308688,0,0
85.1408,85.1408,3.74817,0,0,2.54574,2.54574,0,0.455369,4.6872,4.53687e+06,3.10473e+06,1.15497e+07,0,343940,0,0,62.338,61.3098,3.30422,0,0,1.1664,1.1664,0,0.85476,1.90512,9.42855e+06,4.14989e+06,1.09975e+07,0,325445,0,0
85.1408,85.1408,2.96972,0,0,2.54627,2.54627,0,0.477071,4.6872,4.53687e+06,3.10473e+06,1.15521e+07,0,344012,0,0,62.338,61.3098,3.12757,0,0,1.16665,1.16665,0,0.901163,1.90512,9.42855e+06,4.14989e+06,1.09998e+07,0,325514,0,0
85.0105,85.1408,2.70594,0,0,2.54681,2.54681,0,0.477171,4.6872,4.53687e+06,3.10473e+06,1.15545e+07,0,344085,0,0,62.338,61.3098,2.85798,0,0,1.16689,1.16689,0,0.901352,1.90512,9.42855e+06,4.14989e+06,1.10021e+07,0,325582,0,0
84.775,85.1408,2.56192,0,0,2.54734,2.54734,0,0.477272,4.6872,4.53687e+06,3.10473e+06,1.1557e+07,0,344157,0,0,62.338,61.3098,2.50446,0,0,1.16714,1.16714,0,0.901542,1.90512,9.42855e+06,4.14989e+06,1.10044e+07,0,325650,0,0
84.2983,85.1408,2.30724,0,0,2.54788,2.54788,0,0.477372,4.6872,4.53687e+06,3.10473e+06,1.15594e+07,0,344229,0,0,62.3074,61.3098,2.34407,0,0,1.16738,1.16738,0,0.901731,1.90512,9.42855e+06,4.14989e+06,1.10067e+07,0,325719,0,0
83.4242,85.1408,1.8535,0,0,2.52559,2.52559,0,0.477472,4.6872,4.53687e+06,3.10473e+06,1.14583e+07,0,341218,0,0,62.2611,61.3098,1.84523,0,0,1.20055,1.20055,0,0.901921,1.90512,9.42855e+06,4.14989e+06,1.13194e+07,0,334972,0,0
82.4609,85.1408,1.75642,0,0,2.52612,2.52612,0,0.473295,4.6872,4.53687e+06,3.10473e+06,1.14607e+07,0,341290,0,0,62.2483,61.3098,1.74611,0,0,1.2008,1.2008,0,0.927542,1.90512,9.42855e+06,4.14989e+06,1.13218e+07,0,335042,0,0
81.4332,85.1408,1.67291,0,0,2.52665,2.52665,0,0.473395,4.6872,4.53687e+06,3.10473e+06,1.14631e+07,0,341361,0,0,62.2556,61.3098,1.71482,0,0,1.20105,1.20105,0,0.927737,1.90512,9.42855e+06,4.14989e+06,1.13242e+07,0,335113,0,0
