0_Descoberto(id0),1_Torto / Santa Maria(id1),0_Corumba IV(id2),0_Lago Paranoa(id3)
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.97,1,1,1
0.96,1,1,1
0.96,1,1,1
0.97,1,1,1
0.96,1,1,1
0.93,1,1,1
0.91,1,1,1
0.96,1,1,1
0.91,1,1,1
0.88,1,1,1
0.92,1,1,1
0.88,1,1,1
0.84,1,1,1
0.84,1,1,1
0.83,1,1,1
0.79,1,1,1
0.78,1,1,1
0.85,1,1,1
0.83,1,1,1
0.74,1,1,1
0.78,1,1,1
0.79,1,1,1
0.78,1,1,1
0.75,1,1,1
0.77,1,1,1
0.71,1,1,1
0.75,1,1,1
0.69,1,1,1
0.59,1,1,1
0.64,1,1,1
0.69,0.99,1,1
0.73,0.99,1,1
0.76,0.99,1,1
0.79,1,1,1
0.76,1,1,1
