0rest_m,1rest_m,0transf,1transf
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0.258275,-0.258275
1.000000,1.000000,0.257993,-0.257993
1.000000,1.000000,0.316449,-0.316449
1.000000,1.000000,0.316179,-0.316179
1.000000,1.000000,0.31591,-0.31591
1.000000,1.000000,0.315641,-0.315641
1.000000,1.000000,0.437814,-0.437814
1.000000,1.000000,0.437571,-0.437571
1.000000,1.000000,0.437329,-0.437329
1.000000,1.000000,0.437086,-0.437086
1.000000,1.000000,0.436844,-0.436844
1.000000,1.000000,0.401109,-0.401109
1.000000,1.000000,0.400867,-0.400867
1.000000,1.000000,0.400624,-0.400624
1.000000,1.000000,0.400381,-0.400381
1.000000,1.000000,0.266778,-0.266778
1.000000,1.000000,0.266506,-0.266506
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0.444814,-0.444814
1.000000,1.000000,0.444581,-0.444581
1.000000,1.000000,0.444347,-0.444347
1.000000,1.000000,0.444114,-0.444114
1.000000,1.000000,0.44388,-0.44388
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0.288528,-0.288528
1.000000,1.000000,0.288261,-0.288261
1.000000,1.000000,0.180687,-0.180687
1.000000,1.000000,0.180397,-0.180397
1.000000,1.000000,0.180106,-0.180106
