0reliability,1reliability,0afford,1afford,0severity,1severity
1,1,0.0368856,0.0242934,0,0
1,1,0.0372683,0.0245752,0,0
1,1,0.0379724,0.0250396,0,0
1,1,0.0388043,0.0254728,0,0
1,1,0.0394804,0.026034,0,0
1,1,0.040091,0.0264366,0,0
0.98,1,0.0411771,0.0271528,10,0
0.99,1,0.0418726,0.0275528,8,0
1,1,0.041822,0.0275054,0,0
0.99,1,0.043023,0.02837,10,0
0.98,1,0.0439049,0.0288909,14,0
0.96,1,0.0446862,0.0294016,10,0
0.99,1,0.0451188,0.0295695,2,0
0.95,1,0.046464,0.0303877,11,0
0.95,1,0.0461827,0.030272,12,0
0.98,1,0.0477241,0.0311875,10,0
0.95,1,0.0473845,0.0311513,20,0
0.92,1,0.0486444,0.0315815,12,0
0.93,1,0.0488153,0.0316257,11,0
0.93,1,0.0491786,0.0315502,30,0
0.85,1,0.0492619,0.0317584,11,0
0.88,1,0.049997,0.0322403,18,0
0.92,1,0.0503349,0.0321242,52,0
0.89,1,0.0502268,0.032325,13,0
0.87,1,0.050618,0.0325312,23,0
0.88,1,0.0506911,0.0323258,23,0
0.87,1,0.0506733,0.0324844,27,0
0.87,1,0.0499886,0.032271,23,0
0.87,1,0.0509465,0.0323255,27,0
0.86,1,0.0505335,0.0327175,28,0
0.88,1,0.050642,0.0326064,31,0
0.88,1,0.0510376,0.0328808,17,0
0.85,0.96,0.0515374,0.0329388,39,4
0.79,0.98,0.0517499,0.0327734,52,2
0.81,0.98,0.051311,0.0330225,50,5
0.86,0.97,0.0512599,0.0325362,39,9
0.85,0.98,0.0511165,0.0329154,52,52
0.87,0.95,0.0513325,0.0328202,50,5
0.91,0.98,0.0507195,0.0326676,9,5
0.91,0.99,0.0510807,0.0329941,36,2
