0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0agg_price,0res_price,0gross_rev,0drought_cost,0cont_contrib,0debt_serv,0infra_npv,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1agg_price,1res_price,1gross_rev,1drought_cost,1cont_contrib,1debt_serv,1infra_npv
85.1408,85.1408,7.9536,0,0,2.46977,2.46977,0,0,4.6872,4.71783e+06,3.31578e+06,1.1652e+07,0,0,0,0,62.338,61.3098,7.3956,0,0,1.12031,1.12031,0,0,1.90512,9.338e+06,4.43199e+06,1.04614e+07,0,0,0,0
85.1408,85.1408,6.62366,0,0,2.47035,2.47035,0,0.462835,4.6872,4.03773e+06,2.76315e+06,9.97459e+06,0,0,0,0,62.338,61.3098,6.12883,0,0,1.12057,1.12057,0,0.865549,1.90512,8.39123e+06,3.69333e+06,9.40293e+06,0,0,0,0
85.1408,85.1408,5.44704,0,0,2.47092,2.47092,0,0.462943,4.6872,4.03773e+06,2.76315e+06,9.97691e+06,0,0,0,0,62.338,61.3098,4.71379,0,0,1.12083,1.12083,0,0.86575,1.90512,8.39123e+06,3.69333e+06,9.40511e+06,0,0,0,0
85.1408,85.1408,6.99695,0,0,2.4715,2.4715,0,0.463051,4.6872,4.03773e+06,2.76315e+06,9.97923e+06,0,0,0,0,62.338,61.3098,4.94924,0,0,1.12109,1.12109,0,0.865951,1.90512,8.39123e+06,3.69333e+06,9.4073e+06,0,0,0,0
85.1408,85.1408,5.7862,0,0,2.71319,2.71319,0,0.463158,4.6872,4.03773e+06,2.76315e+06,1.09551e+07,0,0,0,0,62.338,61.3098,4.51658,0,0,1.2532,1.2532,0,0.866152,1.90512,8.39123e+06,3.69333e+06,1.05158e+07,0,0,0,0
85.1408,85.1408,5.60171,0,0,2.71382,2.71382,0,0.508452,4.6872,4.03773e+06,2.76315e+06,1.09577e+07,0,0,0,0,62.338,61.3098,3.99704,0,0,1.25349,1.25349,0,0.968218,1.90512,8.39123e+06,3.69333e+06,1.05183e+07,0,0,0,0
85.1408,85.1408,6.27382,0,0,2.71445,2.71445,0,0.50857,4.6872,4.03773e+06,2.76315e+06,1.09602e+07,0,0,0,0,62.338,61.3098,4.50565,0,0,1.25378,1.25378,0,0.968444,1.90512,8.39123e+06,3.69333e+06,1.05207e+07,0,0,0,0
85.1408,85.1408,6.39339,0,0,2.71508,2.71508,0,0.508688,4.6872,4.03773e+06,2.76315e+06,1.09628e+07,0,0,0,0,62.338,61.3098,4.02419,0,0,1.25407,1.25407,0,0.968669,1.90512,8.39123e+06,3.69333e+06,1.05232e+07,0,0,0,0
85.1408,85.1408,7.26135,0,0,2.37148,2.37148,0,0.508807,4.6872,4.03773e+06,2.76315e+06,9.5754e+06,0,0,0,0,62.338,61.3098,6.44046,0,0,1.07726,1.07726,0,0.968894,1.90512,8.39123e+06,3.69333e+06,9.0395e+06,0,0,0,0
85.1408,85.1408,7.27541,0,0,2.37203,2.37203,0,0.444415,4.6872,4.03773e+06,2.76315e+06,9.57762e+06,0,0,0,0,62.338,61.3098,6.47669,0,0,1.07751,1.07751,0,0.832288,1.90512,8.39123e+06,3.69333e+06,9.0416e+06,0,0,0,0
85.1408,85.1408,7.27245,0,0,2.37258,2.37258,0,0.444519,4.6872,4.03773e+06,2.76315e+06,9.57985e+06,0,0,0,0,62.338,61.3098,6.34917,0,0,1.07776,1.07776,0,0.832482,1.90512,8.39123e+06,3.69333e+06,9.04371e+06,0,0,0,0
85.1408,85.1408,6.30123,0,0,2.37313,2.37313,0,0.444622,4.6872,4.03773e+06,2.76315e+06,9.58208e+06,0,0,0,0,62.338,61.3098,5.29,0,0,1.07801,1.07801,0,0.832675,1.90512,8.39123e+06,3.69333e+06,9.04581e+06,0,0,0,0
85.1408,85.1408,6.26151,0,0,2.37369,2.37369,0,0.444725,4.6872,4.03773e+06,2.76315e+06,9.58431e+06,0,0,0,0,62.338,61.3098,5.67591,0,0,1.07826,1.07826,0,0.832869,1.90512,8.39123e+06,3.69333e+06,9.04791e+06,0,0,0,0
85.1408,85.1408,5.23476,0,0,2.46099,2.46099,0,0.444829,4.6872,4.03773e+06,2.76315e+06,9.93681e+06,0,0,0,0,62.338,61.3098,4.03131,0,0,1.12189,1.12189,0,0.833063,1.90512,8.39123e+06,3.69333e+06,9.414e+06,0,0,0,0
85.1408,85.1408,5.0265,0,0,2.46156,2.46156,0,0.461189,4.6872,4.03773e+06,2.76315e+06,9.93912e+06,0,0,0,0,62.338,61.3098,3.77512,0,0,1.12215,1.12215,0,0.866769,1.90512,8.39123e+06,3.69333e+06,9.41619e+06,0,0,0,0
85.1408,85.1408,6.00862,0,0,2.46213,2.46213,0,0.461296,4.6872,4.03773e+06,2.76315e+06,9.94143e+06,0,0,0,0,62.338,61.3098,3.40483,0,0,1.12241,1.12241,0,0.866971,1.90512,8.39123e+06,3.69333e+06,9.41838e+06,0,0,0,0
85.1408,85.1408,4.35468,0,0,2.46271,2.46271,0,0.461404,4.6872,4.03773e+06,2.76315e+06,9.94374e+06,0,0,0,0,62.338,61.3098,2.48052,0,0,1.12267,1.12267,0,0.867172,1.90512,8.39123e+06,3.69333e+06,9.42057e+06,0,0,0,0
85.1408,85.1408,4.15592,0,0,2.42933,2.42933,0,0.461511,4.6872,4.03773e+06,2.76315e+06,9.80897e+06,0,0,0,0,62.338,61.3098,3.14734,0,0,1.10607,1.10607,0,0.867374,1.90512,8.39123e+06,3.69333e+06,9.28126e+06,0,0,0,0
