0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost,0water_price
0,0,0,0,2.31943e-52,2.01228e+07,0,0,1.291e+07
0,0,0,0,0,2.01317e+07,0,0,1.291e+07
0,0,0,0,0,2.01407e+07,0,0,1.291e+07
0,0,0,0,0,2.01497e+07,0,0,1.291e+07
0,0,0,0,0,2.2321e+07,0,0,1.291e+07
0,0,0,0,0,2.23309e+07,0,0,1.291e+07
0,0,0,0,0,2.23409e+07,0,0,1.291e+07
0,0,0,0,0,2.23508e+07,0,0,1.291e+07
0,0,0,0,0,1.93684e+07,0,0,1.291e+07
0,0,0,0,0,1.9377e+07,0,0,1.291e+07
0,0,0,0,0,1.93856e+07,0,0,1.291e+07
0,0,0,0,0,1.93943e+07,0,0,1.291e+07
0,0,0,0,0,1.94029e+07,0,0,1.291e+07
0,0,0,0,0,2.01555e+07,0,0,1.291e+07
0,0,0,0,0,2.01645e+07,0,0,1.291e+07
0,0,0,0,0,2.01735e+07,0,0,1.291e+07
0,0,0,0,0,2.01824e+07,0,0,1.291e+07
0,0,0,0,0,1.9901e+07,0,0,1.291e+07
0,0,0,0,0,1.99099e+07,0,0,1.291e+07
0,0,0,0,0,1.99187e+07,0,0,1.291e+07
0,0,0,0,0,1.99276e+07,0,0,1.291e+07
0,0,0,0,0,2.09464e+07,0,0,1.291e+07
0,0,0,0,0,2.09557e+07,0,0,1.291e+07
0,0,0,0,0,2.0965e+07,0,0,1.291e+07
0,0,0,0,0,2.09744e+07,0,0,1.291e+07
0,0,0,0,0,2.09837e+07,0,0,1.291e+07
0,0,0,0,0,2.11853e+07,0,0,1.291e+07
0,0,0,0,0,2.11948e+07,0,0,1.291e+07
0,0,0,0,0,2.12042e+07,0,0,1.291e+07
0,0,0,0,0,2.12136e+07,0,0,1.291e+07
0,0,0,0,0,2.17299e+07,0,0,1.291e+07
0,0,0,0,0,2.17395e+07,0,0,1.291e+07
0,0,0,0,0,2.17492e+07,0,0,1.291e+07
0,0,0,0,0,2.17588e+07,0,0,1.291e+07
0,0,0,0,0,2.34313e+07,0,0,1.291e+07
0,0,0,0,0,2.34417e+07,0,0,1.291e+07
0,0,0,0,0,2.34521e+07,0,0,1.291e+07
0,0,0,0,0,2.42964e+07,-535995,535995,1.291e+07
0,0,0,0,0,2.43041e+07,-534256,534256,1.291e+07
0,0,0,0,0,2.33879e+07,-532516,532516,1.291e+07
0,0,0,0,0,2.36893e+07,-719807,719807,1.291e+07
0,0,0,0,0,2.36967e+07,-718150,718150,1.291e+07
0,0,0,0,0,2.37041e+07,-716492,716492,1.291e+07
0,0,0,0,0,2.29011e+07,-714834,714834,1.291e+07
0,0,0,0,0,2.31763e+07,-885547,885547,1.291e+07
0,0,0,0,0,2.31835e+07,-883965,883965,1.291e+07
0,0,0,0,0,2.31907e+07,-882382,882382,1.291e+07
0,0,0,0,0,2.12842e+07,-880798,880798,1.291e+07
0,0,0,0,0,2.185e+07,-1.23885e+06,1.23885e+06,1.291e+07
0,0,0,0,0,2.18566e+07,-1.23742e+06,1.23742e+06,1.291e+07
0,0,0,0,0,2.18632e+07,-1.236e+06,1.236e+06,1.291e+07
0,0,37930.5,0,0,2.18698e+07,-1.23457e+06,1.2725e+06,1.291e+07
0,0,0,0,2.31943e-52,2.05926e+07,0,0,1.291e+07
