0reliability,1reliability,0afford,1afford,0severity,1severity
1,1,0.0368409,0.0242934,0,0
1,1,0.0372683,0.0245752,0,0
1,1,0.0379724,0.0250396,0,0
1,1,0.0386294,0.0254728,0,0
1,1,0.0391998,0.0258489,0,0
1,1,0.0398551,0.026281,0,0
0.98,1,0.0404927,0.0267015,10,0
0.99,1,0.0411118,0.0271097,8,0
1,1,0.0417119,0.0275054,0,0
0.99,1,0.04233,0.027913,10,0
0.98,1,0.0428858,0.0282795,14,0
0.96,1,0.0433991,0.028618,10,0
0.99,1,0.0439255,0.0289651,2,0
0.95,1,0.0443569,0.0292496,11,0
0.95,1,0.0448132,0.0293612,12,0
0.98,1,0.0450274,0.0292629,10,0
0.95,1,0.045261,0.029528,20,0
0.92,1,0.045651,0.029781,12,0
0.93,1,0.0453226,0.0297909,11,0
0.93,1,0.0457116,0.0299502,30,0
0.85,1,0.0460803,0.0301824,11,0
0.88,1,0.0464279,0.0300475,18,0
0.92,1,0.0470579,0.0303303,52,0
0.89,1,0.0466163,0.0304528,13,0
0.87,1,0.0465355,0.0304242,23,0
0.88,1,0.0468731,0.0306659,23,0
0.87,1,0.0477021,0.0306113,27,0
0.87,1,0.0476072,0.0310097,23,0
0.87,1,0.0478098,0.031096,27,0
0.86,1,0.0486456,0.0312043,28,0
0.88,1,0.0481544,0.0312878,31,0
0.88,1,0.0489319,0.0313473,17,0
0.85,0.96,0.0481451,0.0311687,39,4
0.79,0.98,0.04758,0.0309115,52,2
0.81,0.98,0.0476492,0.0309506,50,5
0.86,0.97,0.0484743,0.0314647,39,9
0.85,0.98,0.0480686,0.0310146,52,52
0.87,0.95,0.0484281,0.0316029,50,5
0.91,0.98,0.0485313,0.0315089,9,5
0.91,0.99,0.0487034,0.0314953,36,2
