0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost,0water_price
0,0,0,0,2.90858e-33,2.17294e+07,0,0,1.39407e+07
0,0,0,0,0,2.1735e+07,0,0,1.39407e+07
0,0,0,0,0,2.17405e+07,0,0,1.39407e+07
0,0,0,0,0,2.17461e+07,0,0,1.39407e+07
0,0,0,0,0,2.40848e+07,0,0,1.39407e+07
0,0,0,0,0,2.40909e+07,0,0,1.39407e+07
0,0,0,0,0,2.40971e+07,0,0,1.39407e+07
0,0,0,0,0,2.41032e+07,0,0,1.39407e+07
0,0,0,0,0,2.08829e+07,0,0,1.39407e+07
0,0,0,0,0,2.08882e+07,0,0,1.39407e+07
0,0,0,0,0,2.08936e+07,0,0,1.39407e+07
0,0,0,0,0,2.08989e+07,0,0,1.39407e+07
0,0,0,0,0,2.09042e+07,0,0,1.39407e+07
0,0,0,0,0,2.17109e+07,0,0,1.39407e+07
0,0,0,0,0,2.17165e+07,0,0,1.39407e+07
0,0,0,0,0,2.1722e+07,0,0,1.39407e+07
0,0,0,0,0,2.17275e+07,0,0,1.39407e+07
0,0,0,0,0,2.14205e+07,0,0,1.39407e+07
0,0,0,0,0,2.1426e+07,0,0,1.39407e+07
0,0,0,0,0,2.14314e+07,0,0,1.39407e+07
0,0,0,0,0,2.14369e+07,0,0,1.39407e+07
0,0,0,0,0,2.25286e+07,0,0,1.39407e+07
0,0,0,0,0,2.25344e+07,0,0,1.39407e+07
0,0,0,0,0,2.25401e+07,0,0,1.39407e+07
0,0,0,0,0,2.25459e+07,0,0,1.39407e+07
0,0,0,0,0,2.25516e+07,0,0,1.39407e+07
0,0,0,0,0,2.27641e+07,0,0,1.39407e+07
0,0,0,0,0,2.27699e+07,0,0,1.39407e+07
0,0,0,0,0,2.27757e+07,0,0,1.39407e+07
0,0,0,0,0,2.27815e+07,0,0,1.39407e+07
0,0,0,0,0,2.33315e+07,0,0,1.39407e+07
0,0,0,0,0,2.33375e+07,0,0,1.39407e+07
0,0,0,0,0,2.33434e+07,0,0,1.39407e+07
0,0,0,0,0,2.33494e+07,0,0,1.39407e+07
0,0,0,0,0,2.51394e+07,0,0,1.39407e+07
0,0,0,0,0,2.51458e+07,0,0,1.39407e+07
0,0,0,0,0,2.51522e+07,0,0,1.39407e+07
0,0,0,0,0,2.51587e+07,0,0,1.39407e+07
0,0,0,0,0,2.51651e+07,0,0,1.39407e+07
0,0,0,0,0,2.41812e+07,0,0,1.39407e+07
0,0,0,0,0,2.41873e+07,0,0,1.39407e+07
0,0,0,0,0,2.41935e+07,0,0,1.39407e+07
0,0,0,0,0,2.54521e+07,-804987,804987,1.39407e+07
0,0,0,0,0,2.45886e+07,-803963,803963,1.39407e+07
0,0,0,0,0,2.48802e+07,-987564,987564,1.39407e+07
0,0,0,0,0,2.33497e+07,0,0,1.39407e+07
0,0,0,0,0,2.33556e+07,0,0,1.39407e+07
0,0,0,0,0,2.13134e+07,0,0,1.39407e+07
0,0,0,0,0,2.13188e+07,0,0,1.39407e+07
0,0,0,0,0,2.13242e+07,0,0,1.39407e+07
0,0,0,0,0,2.13297e+07,0,0,1.39407e+07
0,0,40224.6,0,0,2.13351e+07,0,40224.6,1.39407e+07
0,0,0,0,2.90858e-33,2.20194e+07,0,0,1.39407e+07
0,0,0,0,0,2.20249e+07,0,0,1.39407e+07
0,0,0,0,0,2.20303e+07,0,0,1.39407e+07
0,0,0,0,0,2.20358e+07,0,0,1.39407e+07
0,0,0,0,0,2.44054e+07,0,0,1.39407e+07
0,0,0,0,0,2.44115e+07,0,0,1.39407e+07
0,0,0,0,0,2.44175e+07,0,0,1.39407e+07
0,0,0,0,0,2.44235e+07,0,0,1.39407e+07
0,0,0,0,0,2.11603e+07,0,0,1.39407e+07
0,0,0,0,0,2.11655e+07,0,0,1.39407e+07
0,0,0,0,0,2.11707e+07,0,0,1.39407e+07
0,0,0,0,0,2.11759e+07,0,0,1.39407e+07
0,0,0,0,0,2.11812e+07,0,0,1.39407e+07
0,0,0,0,0,2.19984e+07,0,0,1.39407e+07
0,0,0,0,0,2.20038e+07,0,0,1.39407e+07
0,0,0,0,0,2.20093e+07,0,0,1.39407e+07
0,0,0,0,0,2.20147e+07,0,0,1.39407e+07
0,0,0,0,0,2.17035e+07,0,0,1.39407e+07
0,0,0,0,0,2.17088e+07,0,0,1.39407e+07
0,0,0,0,0,2.17142e+07,0,0,1.39407e+07
0,0,0,0,0,2.17196e+07,0,0,1.39407e+07
0,0,0,0,0,2.28255e+07,0,0,1.39407e+07
0,0,0,0,0,2.28311e+07,0,0,1.39407e+07
0,0,0,0,0,2.28368e+07,0,0,1.39407e+07
0,0,0,0,0,2.28424e+07,0,0,1.39407e+07
0,0,0,0,0,2.28481e+07,0,0,1.39407e+07
0,0,0,0,0,2.30631e+07,0,0,1.39407e+07
0,0,0,0,0,2.30688e+07,0,0,1.39407e+07
0,0,0,0,0,2.30745e+07,0,0,1.39407e+07
0,0,0,0,0,2.30802e+07,0,0,1.39407e+07
0,0,0,0,0,2.36373e+07,0,0,1.39407e+07
0,0,0,0,0,2.36432e+07,0,0,1.39407e+07
0,0,0,0,0,2.3649e+07,0,0,1.39407e+07
