0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0agg_price,0res_price,0gross_rev,0drought_cost,0cont_contrib,0debt_serv,0infra_npv,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1agg_price,1res_price,1gross_rev,1drought_cost,1cont_contrib,1debt_serv,1infra_npv
85.1408,85.1408,3.26891,0,0,2.46977,2.46977,0,0,4.6872,4.3563e+06,2.98116e+06,1.07591e+07,0,0,0,0,62.338,61.3098,2.94581,0,0,1.12031,1.12031,0,0,1.90512,9.05328e+06,3.98472e+06,1.01424e+07,0,0,0,0
85.1408,85.1408,3.39803,0,0,2.47076,2.47076,0,0.462835,4.6872,4.3563e+06,2.98116e+06,1.07634e+07,0,0,0,0,62.338,61.3098,2.57799,0,0,1.12076,1.12076,0,0.865549,1.90512,9.05328e+06,3.98472e+06,1.01465e+07,0,0,0,0
85.1408,85.1408,4.89049,0,0,2.47176,2.47176,0,0.463021,4.6872,4.3563e+06,2.98116e+06,1.07677e+07,0,0,0,0,62.338,61.3098,3.74124,0,0,1.12121,1.12121,0,0.865896,1.90512,9.05328e+06,3.98472e+06,1.01506e+07,0,0,0,0
85.1408,85.1408,6.11299,0,0,2.47275,2.47275,0,0.463207,4.6872,4.3563e+06,2.98116e+06,1.0772e+07,0,0,0,0,62.338,61.3098,5.04956,0,0,1.12166,1.12166,0,0.866244,1.90512,9.05328e+06,3.98472e+06,1.01547e+07,0,0,0,0
85.1408,85.1408,5.12589,0,0,2.71503,2.71503,0,0.463393,4.6872,4.3563e+06,2.98116e+06,1.18275e+07,0,0,0,0,62.338,61.3098,6.78212,0,0,1.25404,1.25404,0,0.866592,1.90512,9.05328e+06,3.98472e+06,1.13532e+07,0,0,0,0
85.1408,85.1408,5.45186,0,0,2.71612,2.71612,0,0.508796,4.6872,4.3563e+06,2.98116e+06,1.18322e+07,0,0,0,0,62.338,61.3098,6.65588,0,0,1.25455,1.25455,0,0.968874,1.90512,9.05328e+06,3.98472e+06,1.13578e+07,0,0,0,0
85.1408,85.1408,5.13949,0,0,2.71721,2.71721,0,0.509,4.6872,4.3563e+06,2.98116e+06,1.1837e+07,0,0,0,0,62.338,61.3098,5.52901,0,0,1.25505,1.25505,0,0.969263,1.90512,9.05328e+06,3.98472e+06,1.13623e+07,0,0,0,0
85.1408,85.1408,8.19764,0,0,2.7183,2.7183,0,0.509204,4.6872,4.3563e+06,2.98116e+06,1.18417e+07,0,0,0,0,62.338,61.3098,6.0234,0,0,1.25555,1.25555,0,0.969652,1.90512,9.05328e+06,3.98472e+06,1.13669e+07,0,0,0,0
85.1408,85.1408,5.7381,0,0,2.37469,2.37469,0,0.509409,4.6872,4.3563e+06,2.98116e+06,1.03449e+07,0,0,0,0,62.338,61.3098,4.86469,0,0,1.07871,1.07871,0,0.970041,1.90512,9.05328e+06,3.98472e+06,9.7659e+06,0,0,0,0
85.1408,85.1408,5.92721,0,0,2.37564,2.37564,0,0.445017,4.6872,4.3563e+06,2.98116e+06,1.0349e+07,0,0,0,0,62.338,61.3098,3.85016,0,0,1.07915,1.07915,0,0.833414,1.90512,9.05328e+06,3.98472e+06,9.76982e+06,0,0,0,0
85.1408,85.1408,4.26357,0,0,2.37659,2.37659,0,0.445195,4.6872,4.3563e+06,2.98116e+06,1.03532e+07,0,0,0,0,62.338,61.3098,3.14301,0,0,1.07958,1.07958,0,0.833749,1.90512,9.05328e+06,3.98472e+06,9.77374e+06,0,0,0,0
85.1408,85.1408,5.06337,0,0,2.37755,2.37755,0,0.445374,4.6872,4.3563e+06,2.98116e+06,1.03573e+07,0,0,0,0,62.338,61.3098,3.35995,0,0,1.08001,1.08001,0,0.834083,1.90512,9.05328e+06,3.98472e+06,9.77766e+06,0,0,0,0
85.1408,85.1408,5.4135,0,0,2.3785,2.3785,0,0.445552,4.6872,4.3563e+06,2.98116e+06,1.03615e+07,0,0,0,0,62.338,61.3098,3.83818,0,0,1.08045,1.08045,0,0.834418,1.90512,9.05328e+06,3.98472e+06,9.78158e+06,0,0,0,0
85.1408,85.1408,6.79702,0,0,2.46639,2.46639,0,0.445731,4.6872,4.3563e+06,2.98116e+06,1.07444e+07,0,0,0,0,62.338,61.3098,8.22998,0,0,1.12435,1.12435,0,0.834752,1.90512,9.05328e+06,3.98472e+06,1.01791e+07,0,0,0,0
85.1408,85.1408,6.66282,0,0,2.46738,2.46738,0,0.462202,4.6872,4.3563e+06,2.98116e+06,1.07487e+07,0,0,0,0,62.338,61.3098,6.87833,0,0,1.1248,1.1248,0,0.868674,1.90512,9.05328e+06,3.98472e+06,1.01831e+07,0,0,0,0
