0_Descoberto(id0),1_Torto / Santa Maria(id1),0_Corumba IV(id2),0_Lago Paranoa(id3)
1,1,1,1
1,1,1,1
0.997998,1,1,1
0.995996,1,1,1
0.992993,1,1,1
0.992993,1,1,1
0.991992,1,1,1
0.991992,1,1,1
0.986987,1,0.998999,1
0.971972,1,0.998999,1
0.972973,1,1,1
0.966967,1,1,1
0.965966,1,1,1
0.957958,1,1,1
0.941942,1,1,1
0.933934,1,1,1
0.917918,1,1,1
0.90991,1,1,1
0.894895,1,1,1
0.900901,1,1,1
0.883884,1,1,1
0.868869,1,1,1
0.858859,1,1,1
0.857858,1,1,1
0.846847,1,1,1
0.842843,0.998999,1,1
0.833834,0.998999,1,1
0.828829,1,1,1
0.820821,1,1,1
0.834835,1,1,1
0.821822,1,1,1
0.804805,0.998999,1,1
0.813814,0.997998,1,1
0.816817,0.998999,1,1
0.80981,1,1,1
0.794795,0.998999,0.998999,1
0.816817,0.997998,1,1
0.814815,0.996997,1,1
0.817818,0.998999,1,1
0.806807,1,1,1
