0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost,0water_price
0,0,0,0,2.90858e-33,1.95896e+07,0,0,1.25679e+07
0,0,0,0,0,1.95976e+07,0,0,1.25679e+07
0,0,0,0,0,1.96056e+07,0,0,1.25679e+07
0,0,0,0,0,1.96136e+07,0,0,1.25679e+07
0,0,0,0,0,2.17263e+07,0,0,1.25679e+07
0,0,0,0,0,2.17352e+07,0,0,1.25679e+07
0,0,0,0,0,2.1744e+07,0,0,1.25679e+07
0,0,0,0,0,2.17529e+07,0,0,1.25679e+07
0,0,0,0,0,1.88495e+07,0,0,1.25679e+07
0,0,0,0,0,1.88571e+07,0,0,1.25679e+07
0,0,0,0,0,1.88648e+07,0,0,1.25679e+07
0,0,0,0,0,1.88725e+07,0,0,1.25679e+07
0,0,0,0,0,1.88802e+07,0,0,1.25679e+07
0,0,0,0,0,1.96118e+07,0,0,1.25679e+07
0,0,0,0,0,1.96198e+07,0,0,1.25679e+07
0,0,0,0,0,1.96278e+07,0,0,1.25679e+07
0,0,0,0,0,1.96357e+07,0,0,1.25679e+07
0,0,0,0,0,1.93612e+07,0,0,1.25679e+07
0,0,0,0,0,1.93691e+07,0,0,1.25679e+07
0,0,0,0,0,1.9377e+07,0,0,1.25679e+07
0,0,0,0,0,1.93848e+07,0,0,1.25679e+07
0,0,0,0,0,2.03752e+07,0,0,1.25679e+07
0,0,0,0,0,2.03834e+07,0,0,1.25679e+07
0,0,0,0,0,2.03917e+07,0,0,1.25679e+07
0,0,0,0,0,2.04e+07,0,0,1.25679e+07
0,0,0,0,0,2.04083e+07,0,0,1.25679e+07
0,0,0,0,0,2.06037e+07,0,0,1.25679e+07
0,0,0,0,0,2.06121e+07,0,0,1.25679e+07
0,0,0,0,0,2.06204e+07,0,0,1.25679e+07
0,0,0,0,0,2.06288e+07,0,0,1.25679e+07
0,0,0,0,0,2.11301e+07,0,0,1.25679e+07
0,0,0,0,0,2.11387e+07,0,0,1.25679e+07
0,0,0,0,0,2.11472e+07,0,0,1.25679e+07
0,0,0,0,0,2.11558e+07,0,0,1.25679e+07
0,0,0,0,0,2.27811e+07,0,0,1.25679e+07
0,0,0,0,0,2.27904e+07,0,0,1.25679e+07
0,0,0,0,0,2.3622e+07,-528560,528560,1.25679e+07
0,0,0,0,0,2.36288e+07,-527013,527013,1.25679e+07
0,0,0,0,0,2.36356e+07,-525465,525465,1.25679e+07
0,0,0,0,0,2.27444e+07,-523917,523917,1.25679e+07
0,0,0,0,0,2.30368e+07,-706119,706119,1.25679e+07
0,0,0,0,0,2.30434e+07,-704645,704645,1.25679e+07
0,0,0,0,0,2.305e+07,-703170,703170,1.25679e+07
0,0,0,0,0,2.22689e+07,-701695,701695,1.25679e+07
0,0,0,0,0,2.25358e+07,-867751,867751,1.25679e+07
0,0,0,0,0,2.25422e+07,-866343,866343,1.25679e+07
0,0,0,0,0,2.25486e+07,-864934,864934,1.25679e+07
0,0,0,0,0,2.06953e+07,-863525,863525,1.25679e+07
0,0,0,0,0,2.12446e+07,-1.2116e+06,1.2116e+06,1.25679e+07
0,0,0,0,0,2.12505e+07,-1.21033e+06,1.21033e+06,1.25679e+07
0,0,0,0,0,2.12564e+07,-1.20907e+06,1.20907e+06,1.25679e+07
0,0,36923.4,0,0,2.12623e+07,-1.2078e+06,1.24472e+06,1.25679e+07
0,0,0,0,2.90858e-33,2.18849e+07,-1.20653e+06,1.20653e+06,1.25679e+07
0,0,0,0,0,2.00156e+07,0,0,1.25679e+07
0,0,0,0,0,2.00235e+07,0,0,1.25679e+07
0,0,0,0,0,2.00313e+07,0,0,1.25679e+07
0,0,0,0,0,2.21886e+07,0,0,1.25679e+07
0,0,0,0,0,2.21973e+07,0,0,1.25679e+07
0,0,0,0,0,2.2206e+07,0,0,1.25679e+07
0,0,0,0,0,2.22147e+07,0,0,1.25679e+07
0,0,0,0,0,1.92494e+07,0,0,1.25679e+07
0,0,0,0,0,2.11617e+07,-1.22431e+06,1.22431e+06,1.25679e+07
0,0,0,0,0,1.92644e+07,0,0,1.25679e+07
0,0,0,0,0,1.9272e+07,0,0,1.25679e+07
0,0,0,0,0,1.92795e+07,0,0,1.25679e+07
0,0,0,0,0,2.00263e+07,0,0,1.25679e+07
0,0,0,0,0,2.00341e+07,0,0,1.25679e+07
0,0,0,0,0,2.0042e+07,0,0,1.25679e+07
0,0,0,0,0,2.00498e+07,0,0,1.25679e+07
0,0,0,0,0,1.97692e+07,0,0,1.25679e+07
0,0,0,0,0,1.97769e+07,0,0,1.25679e+07
0,0,0,0,0,1.97846e+07,0,0,1.25679e+07
0,0,0,0,0,1.97924e+07,0,0,1.25679e+07
0,0,0,0,0,2.08032e+07,0,0,1.25679e+07
0,0,0,0,0,2.08113e+07,0,0,1.25679e+07
0,0,0,0,0,2.08195e+07,0,0,1.25679e+07
0,0,0,0,0,2.08276e+07,0,0,1.25679e+07
