0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0agg_price,0res_price,0gross_rev,0drought_cost,0cont_contrib,0debt_serv,0infra_npv,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1agg_price,1res_price,1gross_rev,1drought_cost,1cont_contrib,1debt_serv,1infra_npv
85.1408,85.1408,5.61044,0,0,2.46977,2.46977,0,0,4.6872,4.42321e+06,3.02694e+06,1.09243e+07,0,0,0,0,62.0219,61.3098,3.14105,0,0,1.12031,1.12031,0,0,1.90512,9.19233e+06,4.04592e+06,1.02982e+07,0,0,0,0
85.1408,85.1408,3.13363,0,0,2.4704,2.4704,0,0.462835,4.6872,4.42321e+06,3.02694e+06,1.09271e+07,0,0,0,0,61.8984,61.3098,2.10681,0,0,1.12059,1.12059,0,0.865549,1.90512,9.19233e+06,4.04592e+06,1.03008e+07,0,0,0,0
84.5974,85.1408,2.40446,0,0,2.47102,2.47102,0,0.462952,4.6872,4.42321e+06,3.02694e+06,1.09298e+07,0,0,0,0,62.1654,61.3098,1.86803,0,0,1.12087,1.12087,0,0.865767,1.90512,9.19233e+06,4.04592e+06,1.03034e+07,0,0,0,0
84.7024,85.1408,3.16292,0,0,2.47164,2.47164,0,0.463069,4.6872,4.42321e+06,3.02694e+06,1.09326e+07,0,0,0,0,62.338,61.3098,2.29176,0,0,1.12115,1.12115,0,0.865985,1.90512,9.19233e+06,4.04592e+06,1.0306e+07,0,0,0,0
85.1408,85.1408,3.74612,0,0,2.7134,2.7134,0,0.463186,4.6872,4.42321e+06,3.02694e+06,1.20019e+07,0,0,0,0,62.2549,61.3098,3.27319,0,0,1.25329,1.25329,0,0.866203,1.90512,9.19233e+06,4.04592e+06,1.15207e+07,0,0,0,0
85.0733,85.1408,3.17335,0,0,2.71409,2.71409,0,0.508492,4.6872,4.42321e+06,3.02694e+06,1.2005e+07,0,0,0,0,62.1465,61.3098,2.42227,0,0,1.25361,1.25361,0,0.968295,1.90512,9.19233e+06,4.04592e+06,1.15236e+07,0,0,0,0
85.1408,85.1408,3.49125,0,0,2.71477,2.71477,0,0.50862,4.6872,4.42321e+06,3.02694e+06,1.2008e+07,0,0,0,0,61.8532,61.3098,2.36358,0,0,1.25393,1.25393,0,0.968539,1.90512,9.19233e+06,4.04592e+06,1.15265e+07,0,0,0,0
84.6109,85.1408,2.70104,0,0,2.71546,2.71546,0,0.508748,4.6872,4.42321e+06,3.02694e+06,1.2011e+07,0,0,0,0,62.2454,61.3098,1.95154,0,0,1.25424,1.25424,0,0.968783,1.90512,9.19233e+06,4.04592e+06,1.15294e+07,0,0,0,0
85.1408,85.1408,8.16555,0,0,2.37185,2.37185,0,0.508876,4.6872,4.42321e+06,3.02694e+06,1.04912e+07,0,0,0,0,62.338,61.3098,8.9538,0,0,1.07743,1.07743,0,0.969027,1.90512,9.19233e+06,4.04592e+06,9.90405e+06,0,0,0,0
85.1408,85.1408,7.53139,0,0,2.37245,2.37245,0,0.444485,4.6872,4.42321e+06,3.02694e+06,1.04938e+07,0,0,0,0,62.338,61.3098,9.26758,0,0,1.0777,1.0777,0,0.832419,1.90512,9.19233e+06,4.04592e+06,9.90655e+06,0,0,0,0
85.1408,85.1408,6.65136,0,0,2.37305,2.37305,0,0.444597,4.6872,4.42321e+06,3.02694e+06,1.04965e+07,0,0,0,0,62.338,61.3098,6.4663,0,0,1.07797,1.07797,0,0.832629,1.90512,9.19233e+06,4.04592e+06,9.90904e+06,0,0,0,0
85.1408,85.1408,4.9078,0,0,2.37365,2.37365,0,0.444709,4.6872,4.42321e+06,3.02694e+06,1.04991e+07,0,0,0,0,62.338,61.3098,4.36113,0,0,1.07824,1.07824,0,0.832839,1.90512,9.19233e+06,4.04592e+06,9.91154e+06,0,0,0,0
85.1408,85.1408,4.82747,0,0,2.37425,2.37425,0,0.444821,4.6872,4.42321e+06,3.02694e+06,1.05018e+07,0,0,0,0,62.338,61.3098,4.93973,0,0,1.07851,1.07851,0,0.833049,1.90512,9.19233e+06,4.04592e+06,9.91404e+06,0,0,0,0
