0reliability,1reliability,0afford,1afford,0severity,1severity
1,1,0.0370226,0.0244104,0,0
1,1,0.0376791,0.0248462,0,0
0.997998,1,0.038421,0.0253354,0,0
0.995996,1,0.0391609,0.0258193,0,0
0.992993,1,0.0399564,0.026318,0,0
0.992993,1,0.0407001,0.0267963,0,0
0.991992,1,0.0415945,0.0273522,0,0
0.991992,1,0.0424524,0.027871,0,0
0.986987,1,0.0433938,0.0284067,4,0
0.971972,1,0.0441727,0.0290295,10,0
0.972973,1,0.0455905,0.0296005,9,0
0.966967,1,0.0461628,0.0302908,10,0
0.965966,1,0.0473596,0.0310727,10,0
0.957958,1,0.0481357,0.0316171,11,0
0.941942,1,0.0487486,0.0315614,13,0
0.933934,1,0.0491833,0.0319381,15,0
0.917918,1,0.0498105,0.0322919,14,0
0.90991,1,0.0501512,0.0323905,16,0
0.894895,1,0.0504345,0.0325864,19,0
0.900901,1,0.0508207,0.0326728,22,0
0.883884,1,0.0511196,0.0327512,21,0
0.868869,1,0.0511581,0.0328031,20,0
0.858859,1,0.0514351,0.0328739,22,0
0.857858,1,0.0512954,0.0328942,23,0
0.846847,1,0.0513314,0.0330532,23,0
0.842843,0.998999,0.0515609,0.0329888,32,0
0.833834,0.998999,0.051481,0.0329609,26,0
0.828829,0.997998,0.0517242,0.0330312,31,0
0.820821,0.992993,0.0517921,0.0331774,40,0
0.834835,0.982983,0.0518196,0.033095,28,3
0.821822,0.985986,0.0517142,0.0330835,34,2
0.804805,0.982983,0.0517589,0.0331373,31,2
0.813814,0.96997,0.0517933,0.0332124,45,4
0.816817,0.973974,0.05196,0.0331958,33,3
0.80981,0.978979,0.0520704,0.0331794,38,2
0.794795,0.972973,0.0520236,0.0331571,36,4
0.816817,0.963964,0.0520036,0.0333253,28,4
0.814815,0.968969,0.0519769,0.0332736,28,4
0.817818,0.975976,0.0520795,0.0332477,30,4
0.806807,0.978979,0.0521004,0.0332251,31,2
