0_Descoberto(id0),1_Torto / Santa Maria(id1),0_Corumba IV(id2),0_Lago Paranoa(id3)
1,1,1,1
0.996997,1,1,1
0.992993,1,1,1
0.984985,1,1,1
0.984985,1,1,1
0.972973,1,1,1
0.96997,1,1,1
0.972973,1,1,1
0.964965,1,0.998999,1
0.947948,1,0.998999,1
0.933934,1,1,1
0.922923,1,1,1
0.914915,1,1,1
0.8999,1,1,1
0.883884,1,1,1
0.863864,1,1,1
0.848849,0.998999,1,1
0.82983,0.997998,1,1
0.814815,0.998999,1,1
0.80981,1,1,1
0.781782,0.998999,1,1
0.766767,0.998999,1,1
0.751752,0.998999,1,1
0.763764,0.997998,1,1
0.740741,0.997998,1,1
0.744745,0.998999,1,1
0.717718,0.995996,1,1
0.702703,0.998999,1,1
0.701702,0.998999,1,1
0.721722,0.997998,1,1
0.696697,0.998999,1,1
0.671672,0.998999,1,1
0.676677,0.995996,1,1
0.678679,0.995996,1,1
0.661662,0.998999,1,1
0.660661,0.998999,0.998999,1
0.683684,0.996997,1,1
0.685686,0.995996,1,1
0.680681,0.996997,1,1
0.678679,0.997998,1,1
