0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost,0water_price
0,0,0,0,3.31186e-33,2.06652e+07,0,0,1.3258e+07
0,0,0,0,0,2.06707e+07,0,0,1.3258e+07
0,0,0,0,0,2.06762e+07,0,0,1.3258e+07
0,0,0,0,0,2.06817e+07,0,0,1.3258e+07
0,0,0,0,0,2.29061e+07,0,0,1.3258e+07
0,0,0,0,0,2.29122e+07,0,0,1.3258e+07
0,0,0,0,0,2.29183e+07,0,0,1.3258e+07
0,0,0,0,0,2.29244e+07,0,0,1.3258e+07
0,0,0,0,0,1.98618e+07,0,0,1.3258e+07
0,0,0,0,0,1.9867e+07,0,0,1.3258e+07
0,0,0,0,0,1.98723e+07,0,0,1.3258e+07
0,0,0,0,0,1.98776e+07,0,0,1.3258e+07
0,0,0,0,0,1.98829e+07,0,0,1.3258e+07
0,0,0,0,0,2.06503e+07,0,0,1.3258e+07
0,0,0,0,0,2.06558e+07,0,0,1.3258e+07
0,0,0,0,0,2.06613e+07,0,0,1.3258e+07
0,0,0,0,0,2.06668e+07,0,0,1.3258e+07
0,0,0,0,0,2.03749e+07,0,0,1.3258e+07
0,0,0,0,0,2.03803e+07,0,0,1.3258e+07
0,0,0,0,0,2.03858e+07,0,0,1.3258e+07
0,0,0,0,0,2.03912e+07,0,0,1.3258e+07
0,0,0,0,0,2.14298e+07,0,0,1.3258e+07
0,0,0,0,0,2.14355e+07,0,0,1.3258e+07
0,0,0,0,0,2.14412e+07,0,0,1.3258e+07
0,0,0,0,0,2.14469e+07,0,0,1.3258e+07
0,0,0,0,0,2.14526e+07,0,0,1.3258e+07
0,0,0,0,0,2.16549e+07,0,0,1.3258e+07
0,0,0,0,0,2.16606e+07,0,0,1.3258e+07
0,0,0,0,0,2.16664e+07,0,0,1.3258e+07
0,0,0,0,0,2.16721e+07,0,0,1.3258e+07
0,0,0,0,0,2.21956e+07,0,0,1.3258e+07
0,0,0,0,0,2.22015e+07,0,0,1.3258e+07
0,0,0,0,0,2.22074e+07,0,0,1.3258e+07
0,0,0,0,0,2.22133e+07,0,0,1.3258e+07
0,0,0,0,0,2.39164e+07,0,0,1.3258e+07
0,0,0,0,0,2.39228e+07,0,0,1.3258e+07
0,0,0,0,0,2.39291e+07,0,0,1.3258e+07
0,0,0,0,0,2.39355e+07,0,0,1.3258e+07
0,0,0,0,0,2.39418e+07,0,0,1.3258e+07
0,0,0,0,0,2.3006e+07,0,0,1.3258e+07
