0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost,0water_price
2.73456e+06,0,0,0,2.31943e-52,2.20666e+07,2.73456e+06,0,1.40261e+07
2.73456e+06,0,0,0,0,1.93409e+07,0,0,1.24027e+07
2.73456e+06,0,0,0,0,1.93497e+07,0,0,1.24027e+07
2.73456e+06,0,0,0,0,1.93586e+07,0,0,1.24027e+07
2.73456e+06,0,0,0,0,2.14448e+07,0,0,1.24027e+07
2.73456e+06,0,0,0,0,2.14546e+07,0,0,1.24027e+07
2.73456e+06,0,0,0,0,2.14644e+07,0,0,1.24027e+07
2.73456e+06,0,0,0,0,2.14742e+07,0,0,1.24027e+07
2.73456e+06,0,0,0,0,1.86089e+07,0,0,1.24027e+07
2.73456e+06,0,0,0,0,1.86174e+07,0,0,1.24027e+07
2.73456e+06,0,0,0,0,1.86259e+07,0,0,1.24027e+07
2.73456e+06,0,0,0,0,1.86344e+07,0,0,1.24027e+07
2.73456e+06,0,0,0,0,1.86429e+07,0,0,1.24027e+07
2.73456e+06,0,0,0,0,1.93662e+07,0,0,1.24027e+07
2.73456e+06,0,0,0,0,1.93751e+07,0,0,1.24027e+07
2.73456e+06,0,0,0,0,1.93839e+07,0,0,1.24027e+07
2.73456e+06,0,0,0,0,1.93927e+07,0,0,1.24027e+07
2.73456e+06,0,0,0,0,1.91225e+07,0,0,1.24027e+07
2.73456e+06,0,0,0,0,1.91313e+07,0,0,1.24027e+07
2.73456e+06,0,0,0,0,1.914e+07,0,0,1.24027e+07
2.73456e+06,0,0,0,0,1.91487e+07,0,0,1.24027e+07
2.73456e+06,0,0,0,0,2.01279e+07,0,0,1.24027e+07
2.73456e+06,0,0,0,0,2.01371e+07,0,0,1.24027e+07
2.73456e+06,0,0,0,0,2.01463e+07,0,0,1.24027e+07
2.73456e+06,0,0,0,0,2.01554e+07,0,0,1.24027e+07
2.73456e+06,0,0,0,0,2.01646e+07,0,0,1.24027e+07
2.73456e+06,0,0,0,0,2.03586e+07,0,0,1.24027e+07
2.73456e+06,0,0,0,0,2.03679e+07,0,0,1.24027e+07
