0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0agg_price,0res_price,0gross_rev,0drought_cost,0cont_contrib,0debt_serv,0infra_npv,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1agg_price,1res_price,1gross_rev,1drought_cost,1cont_contrib,1debt_serv,1infra_npv
85.1408,85.1408,3.21633,0,0,2.46977,2.46977,0,0,4.6872,4.25138e+06,2.78251e+06,1.04999e+07,0,0,0,0,62.338,61.3098,5.47754,0,0,1.12031,1.12031,0,0,1.90512,8.8076e+06,3.7192e+06,9.86721e+06,0,0,0,0
84.8779,85.1408,2.78761,0,0,2.47034,2.47034,0,0.462835,4.6872,4.06601e+06,2.78251e+06,1.00444e+07,0,0,0,0,62.338,61.3098,4.5328,0,0,1.12056,1.12056,0,0.865549,1.90512,8.45001e+06,3.7192e+06,9.46876e+06,0,0,0,0
84.2648,85.1408,2.30109,0,0,2.4709,2.4709,0,0.462941,4.6872,4.06601e+06,2.78251e+06,1.00467e+07,0,0,0,0,62.338,61.3098,3.97407,0,0,1.12082,1.12082,0,0.865746,1.90512,8.45001e+06,3.7192e+06,9.47092e+06,0,0,0,0
83.4584,85.1408,2.09724,0,0,2.47147,2.47147,0,0.463047,4.6872,4.06601e+06,2.78251e+06,1.0049e+07,0,0,0,0,62.338,61.3098,3.60532,0,0,1.12107,1.12107,0,0.865944,1.90512,8.45001e+06,3.7192e+06,9.47308e+06,0,0,0,0
83.3984,85.1408,3.09604,0,0,2.71315,2.71315,0,0.463153,4.6872,4.06601e+06,2.78251e+06,1.10317e+07,0,0,0,0,62.338,61.3098,4.88997,0,0,1.25318,1.25318,0,0.866142,1.90512,8.45001e+06,3.7192e+06,1.05893e+07,0,0,0,0
83.6043,85.1408,3.40395,0,0,2.71377,2.71377,0,0.508444,4.6872,4.06601e+06,2.78251e+06,1.10342e+07,0,0,0,0,62.3239,61.3098,3.97545,0,0,1.25346,1.25346,0,0.968203,1.90512,8.45001e+06,3.7192e+06,1.05918e+07,0,0,0,0
82.3362,85.1408,1.8002,0,0,2.71439,2.71439,0,0.50856,4.6872,4.06601e+06,2.78251e+06,1.10367e+07,0,0,0,0,62.338,61.3098,2.37615,0,0,1.25375,1.25375,0,0.968424,1.90512,8.45001e+06,3.7192e+06,1.05942e+07,0,0,0,0
81.5628,85.1408,2.28667,0,0,2.71501,2.71501,0,0.508676,4.6872,4.06601e+06,2.78251e+06,1.10393e+07,0,0,0,0,62.338,61.3098,2.93923,0,0,1.25403,1.25403,0,0.968646,1.90512,8.45001e+06,3.7192e+06,1.05966e+07,0,0,0,0
81.7777,85.1408,3.03528,0,0,2.3714,2.3714,0,0.508792,4.6872,4.06601e+06,2.78251e+06,9.64216e+06,0,0,0,0,62.338,61.3098,4.06429,0,0,1.07722,1.07722,0,0.968867,1.90512,8.45001e+06,3.7192e+06,9.10253e+06,0,0,0,0
83.0432,85.1408,4.20295,0,0,2.37195,2.37195,0,0.444401,4.6872,4.06601e+06,2.78251e+06,9.64437e+06,0,0,0,0,62.338,61.3098,5.01103,0,0,1.07747,1.07747,0,0.832262,1.90512,8.45001e+06,3.7192e+06,9.10461e+06,0,0,0,0
