0reliability,1reliability,0afford,1afford,0severity,1severity
1,1,0.036949,0.0243647,0,0
1,1,0.0375884,0.0247863,0,0
1,1,0.0382033,0.0251918,0,0
1,1,0.0388045,0.0255882,0,0
1,1,0.0394459,0.0260112,0,0
1,1,0.0400411,0.0264037,0,0
0.98,1,0.0406641,0.0268145,11,0
0.99,1,0.041256,0.0272048,8,0
1,1,0.0418712,0.0276105,0,0
0.99,1,0.0424775,0.0280103,9,0
0.98,1,0.0431353,0.028444,13,0
0.96,1,0.0436758,0.0288005,10,0
0.99,1,0.0442668,0.0291901,2,0
0.95,1,0.0448264,0.0295592,10,0
0.95,1,0.0450291,0.0296606,13,0
0.98,1,0.0453501,0.0299045,9,0
0.93,1,0.0458056,0.0299557,15,0
0.92,1,0.046218,0.0304768,9,0
0.93,1,0.0466502,0.030506,10,0
0.93,1,0.0465083,0.0305291,23,0
0.86,1,0.0467772,0.0306805,12,0
0.87,1,0.0470801,0.0307853,19,0
0.92,1,0.0474112,0.0310267,51,0
0.89,1,0.0476008,0.0312108,13,0
0.88,1,0.0480104,0.0308925,21,0
0.87,1,0.0482788,0.0315776,24,0
0.86,1,0.0484184,0.0309932,21,0
0.85,1,0.0487875,0.0318343,24,0
0.88,0.99,0.0486759,0.0318528,31,4
0.86,1,0.0488859,0.0320686,27,0
0.88,0.99,0.0492475,0.0321625,19,2
0.86,1,0.0488975,0.0321567,19,0
0.86,0.97,0.0495437,0.0321889,40,4
0.78,0.98,0.0487597,0.0315782,52,5
0.82,0.98,0.0491799,0.0324199,48,5
0.84,0.96,0.0494126,0.0324398,35,8
0.82,0.98,0.0495148,0.0321227,52,52
0.86,0.95,0.0495337,0.0321889,51,5
0.91,0.98,0.0495347,0.032085,9,5
0.89,0.99,0.0494097,0.0320667,38,2
