Realization	utility	WSS	week	infra.
1	0	0	1304	7
2	0	0	1408	7
3	0	0	1930	7
4	0	0	1722	7
5	0	0	1669	7
7	0	0	1200	7
9	0	0	1513	7
10	0	0	991	7
10	0	0	1461	5
12	0	0	1200	7
13	0	0	1252	7
14	0	0	1095	7
14	0	0	1826	5
17	0	0	1878	7
18	0	0	991	7
18	0	0	1513	5
21	0	0	1826	7
22	0	0	1148	7
22	0	0	1878	5
25	0	0	1461	7
27	0	0	1200	7
30	0	0	1148	7
30	0	0	1878	5
31	0	0	1200	7
32	0	0	991	7
32	0	0	1513	5
33	0	0	1356	7
34	0	0	939	7
34	0	0	1356	5
35	0	0	1722	7
37	0	0	939	7
37	0	0	1356	5
38	0	0	1461	7
39	0	0	1513	7
40	0	0	1043	7
40	0	0	1565	5
42	0	0	1565	7
43	0	0	991	7
43	0	0	1513	5
44	0	0	1408	7
46	0	0	1043	7
46	0	0	1617	5
47	0	0	1148	7
47	0	0	1930	5
48	0	0	1304	7
49	0	0	1356	7
50	0	0	991	7
50	0	0	1461	5
51	0	0	1200	7
54	0	0	1148	7
54	0	0	1982	5
55	0	0	1356	7
56	0	0	939	7
56	0	0	1408	5
58	0	0	1356	7
59	0	0	991	7
59	0	0	1461	5
61	0	0	1148	7
61	0	0	2035	5
62	0	0	1148	7
62	0	0	1930	5
65	0	0	1826	7
67	0	0	1148	7
68	0	0	1095	7
68	0	0	1878	5
70	0	0	1095	7
70	0	0	1878	5
71	0	0	1200	7
73	0	0	1252	7
74	0	0	1252	7
75	0	0	1043	7
75	0	0	1565	5
76	0	0	1304	7
77	0	0	1722	7
80	0	0	1304	7
81	0	0	1408	7
83	0	0	1252	7
84	0	0	1461	7
87	0	0	1982	7
88	0	0	1669	7
89	0	0	1513	7
91	0	0	991	7
91	0	0	1408	5
92	0	0	1774	7
93	0	0	1148	7
95	0	0	1408	7
97	0	0	1461	7
99	0	0	1408	7
100	0	0	991	7
100	0	0	1513	5
101	0	0	1148	7
101	0	0	2035	5
102	0	0	1043	7
102	0	0	1565	5
103	0	0	1148	7
103	0	0	1930	5
108	0	0	939	7
108	0	0	1408	5
109	0	0	1095	7
109	0	0	1774	5
110	0	0	1148	7
110	0	0	1982	5
113	0	0	991	7
113	0	0	1513	5
115	0	0	1565	7
116	0	0	939	7
116	0	0	1356	5
117	0	0	1669	7
119	0	0	1982	7
120	0	0	1669	7
121	0	0	1304	7
125	0	0	1043	7
125	0	0	1617	5
127	0	0	1930	7
129	0	0	991	7
129	0	0	1461	5
131	0	0	1252	7
132	0	0	1148	7
132	0	0	1982	5
133	0	0	1669	7
134	0	0	1148	7
134	0	0	1982	5
135	0	0	1148	7
137	0	0	939	7
137	0	0	1408	5
138	0	0	1252	7
140	0	0	1095	7
140	0	0	1878	5
141	0	0	1095	7
141	0	0	1722	5
142	0	0	991	7
142	0	0	1513	5
143	0	0	1095	7
143	0	0	1878	5
144	0	0	1252	7
147	0	0	1200	7
148	0	0	1043	7
148	0	0	1669	5
149	0	0	1408	7
150	0	0	939	7
150	0	0	1356	5
151	0	0	1252	7
152	0	0	1878	7
153	0	0	939	7
153	0	0	1408	5
157	0	0	991	7
157	0	0	1565	5
158	0	0	1200	7
159	0	0	939	7
159	0	0	1356	5
160	0	0	1148	7
161	0	0	1252	7
162	0	0	991	7
162	0	0	1461	5
164	0	0	1304	7
165	0	0	1148	7
165	0	0	1878	5
168	0	0	1148	7
169	0	0	991	7
169	0	0	1513	5
170	0	0	1095	7
170	0	0	1722	5
171	0	0	1095	7
171	0	0	1774	5
174	0	0	1722	7
176	0	0	1252	7
177	0	0	939	7
177	0	0	1356	5
178	0	0	1252	7
180	0	0	1356	7
181	0	0	1356	7
182	0	0	1461	7
184	0	0	1252	7
186	0	0	1513	7
187	0	0	939	7
187	0	0	1408	5
188	0	0	1200	7
189	0	0	1252	7
190	0	0	1043	7
190	0	0	1669	5
191	0	0	1043	7
191	0	0	1669	5
192	0	0	1043	7
192	0	0	1617	5
193	0	0	1565	7
194	0	0	1304	7
195	0	0	1043	7
195	0	0	1565	5
196	0	0	1461	7
197	0	0	1252	7
198	0	0	991	7
198	0	0	1461	5
1	1	1	1304	7
2	1	1	1408	7
3	1	1	1930	7
4	1	1	1722	7
5	1	1	1669	7
7	1	1	1200	7
9	1	1	1513	7
10	1	1	991	7
12	1	1	1200	7
13	1	1	1252	7
14	1	1	1095	7
17	1	1	1878	7
18	1	1	991	7
21	1	1	1826	7
22	1	1	1148	7
25	1	1	1461	7
27	1	1	1200	7
30	1	1	1148	7
31	1	1	1200	7
32	1	1	991	7
33	1	1	1356	7
34	1	1	939	7
35	1	1	1722	7
37	1	1	939	7
38	1	1	1461	7
39	1	1	1513	7
40	1	1	1043	7
42	1	1	1565	7
43	1	1	991	7
44	1	1	1408	7
46	1	1	1043	7
47	1	1	1148	7
48	1	1	1304	7
49	1	1	1356	7
50	1	1	991	7
51	1	1	1200	7
54	1	1	1148	7
55	1	1	1356	7
56	1	1	939	7
58	1	1	1356	7
59	1	1	991	7
61	1	1	1148	7
62	1	1	1148	7
65	1	1	1826	7
67	1	1	1148	7
68	1	1	1095	7
70	1	1	1095	7
71	1	1	1200	7
73	1	1	1252	7
74	1	1	1252	7
75	1	1	1043	7
76	1	1	1304	7
77	1	1	1722	7
80	1	1	1304	7
81	1	1	1408	7
83	1	1	1252	7
84	1	1	1461	7
87	1	1	1982	7
88	1	1	1669	7
89	1	1	1513	7
91	1	1	991	7
92	1	1	1774	7
93	1	1	1148	7
95	1	1	1408	7
97	1	1	1461	7
99	1	1	1408	7
100	1	1	991	7
101	1	1	1148	7
102	1	1	1043	7
103	1	1	1148	7
108	1	1	939	7
109	1	1	1095	7
110	1	1	1148	7
113	1	1	991	7
115	1	1	1565	7
116	1	1	939	7
117	1	1	1669	7
119	1	1	1982	7
120	1	1	1669	7
121	1	1	1304	7
125	1	1	1043	7
127	1	1	1930	7
129	1	1	991	7
131	1	1	1252	7
132	1	1	1148	7
133	1	1	1669	7
134	1	1	1148	7
135	1	1	1148	7
137	1	1	939	7
138	1	1	1252	7
140	1	1	1095	7
141	1	1	1095	7
142	1	1	991	7
143	1	1	1095	7
144	1	1	1252	7
147	1	1	1200	7
148	1	1	1043	7
149	1	1	1408	7
150	1	1	939	7
151	1	1	1252	7
152	1	1	1878	7
153	1	1	939	7
157	1	1	991	7
158	1	1	1200	7
159	1	1	939	7
160	1	1	1148	7
161	1	1	1252	7
162	1	1	991	7
164	1	1	1304	7
165	1	1	1148	7
168	1	1	1148	7
169	1	1	991	7
170	1	1	1095	7
171	1	1	1095	7
174	1	1	1722	7
176	1	1	1252	7
177	1	1	939	7
178	1	1	1252	7
180	1	1	1356	7
181	1	1	1356	7
182	1	1	1461	7
184	1	1	1252	7
186	1	1	1513	7
187	1	1	939	7
188	1	1	1200	7
189	1	1	1252	7
190	1	1	1043	7
191	1	1	1043	7
192	1	1	1043	7
193	1	1	1565	7
194	1	1	1304	7
195	1	1	1043	7
196	1	1	1461	7
197	1	1	1252	7
198	1	1	991	7
