0_Descoberto(id0),1_Torto / Santa Maria(id1),0_Corumba IV(id2),0_Lago Paranoa(id3)
1,1,1,1
0.995,1,1,1
1,1,1,1
0.985,1,1,1
0.98,1,1,1
0.965,1,1,1
0.965,1,1,1
0.965,1,1,1
0.955,1,1,1
0.94,1,1,1
0.93,1,1,1
0.935,1,1,1
0.93,1,1,1
0.895,1,1,1
0.86,1,1,1
0.84,1,1,1
0.84,1,1,1
0.81,1,1,1
0.805,1,1,1
0.815,1,1,1
0.77,1,1,1
0.775,1,1,1
0.785,1,1,1
0.77,1,1,1
0.735,1,1,1
0.75,1,1,1
0.755,1,1,1
0.76,1,1,1
0.72,1,1,1
0.76,1,1,1
0.68,1,1,1
0.685,1,1,1
0.715,1,1,1
0.64,1,1,1
0.71,1,1,1
0.69,1,1,1
0.71,1,1,1
0.74,1,1,1
0.775,1,1,1
0.78,1,1,1
