0_Descoberto(id0),1_Torto / Santa Maria(id1),0_Corumba IV(id2),0_Lago Paranoa(id3)
1,1,1,1
0.995,1,1,1
1,1,1,1
0.985,1,1,1
0.98,1,1,1
0.965,1,1,1
0.965,1,1,1
0.97,1,1,1
0.955,1,1,1
0.94,1,1,1
0.93,1,1,1
0.935,1,1,1
0.935,1,1,1
0.9,1,1,1
0.865,1,1,1
0.85,1,1,1
0.85,1,1,1
0.81,1,1,1
0.83,1,1,1
0.855,1,1,1
0.795,1,1,1
0.805,1,1,1
0.835,1,1,1
0.81,1,1,1
0.775,1,1,1
0.82,1,1,1
0.805,1,1,1
0.805,1,1,1
0.79,1,1,1
0.785,1,1,1
0.735,1,1,1
0.725,1,1,1
0.77,1,1,1
0.71,1,1,1
0.75,1,1,1
0.735,1,1,1
0.785,1,1,1
0.795,1,1,1
0.805,1,1,1
0.825,1,1,1
