0reliability,1reliability,0afford,1afford,0severity,1severity
1,1,0.0368811,0.02432,0,0
0.995,1,0.0374879,0.0247201,0,0
1,1,0.0380729,0.0251059,0,0
0.985,1,0.0388043,0.0255881,9,0
0.98,1,0.0394804,0.026034,10,0
0.965,1,0.040091,0.0264366,10,0
0.965,1,0.0407372,0.0268627,15,0
0.97,1,0.0413952,0.0272966,12,0
0.955,1,0.0420453,0.0277253,14,0
0.94,1,0.0427128,0.0281655,21,0
0.93,1,0.0433437,0.0285815,16,0
0.935,1,0.0439378,0.0289732,14,0
0.935,1,0.0444789,0.02933,17,0
0.9,1,0.0450984,0.0297385,15,0
0.865,1,0.0455894,0.03006,19,0
0.85,1,0.0460443,0.0303403,18,0
0.85,1,0.0465088,0.0306686,24,0
0.81,1,0.0470407,0.0310194,21,0
0.83,1,0.0475483,0.031354,23,0
0.855,1,0.0479282,0.0316046,32,0
0.795,1,0.0483813,0.0319034,16,0
0.805,1,0.0487277,0.0321317,18,0
0.835,1,0.0487969,0.032106,42,0
0.81,1,0.0493884,0.0325674,23,0
0.775,1,0.0496444,0.0327362,25,0
0.82,1,0.0499815,0.0329585,38,0
0.805,1,0.0503209,0.0331824,20,0
0.805,1,0.0504493,0.033267,17,0
0.79,1,0.0507087,0.033438,22,0
0.785,1,0.0509554,0.033571,28,0
0.735,1,0.0509848,0.0336201,18,0
0.725,1,0.051298,0.0337098,19,0
0.77,1,0.0514457,0.0338689,28,0
0.71,1,0.0515449,0.0339873,24,0
0.75,1,0.051592,0.0339986,32,0
0.735,1,0.0514087,0.0338996,29,0
0.785,1,0.05137,0.0337752,22,0
0.795,1,0.0514903,0.0339535,20,0
0.805,1,0.0516465,0.0340564,13,0
0.825,1,0.0516794,0.0340774,20,0
