0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost,0water_price
213224,0,0,0,2.21297e-52,2.13224e+07,213224,0,1.36796e+07
426506,0,0,0,0,2.13283e+07,213283,0,1.36796e+07
639848,0,0,0,0,2.13342e+07,213342,0,1.36796e+07
853250,0,0,0,0,2.13401e+07,213401,0,1.36796e+07
1.08961e+06,0,0,0,0,2.36357e+07,236357,0,1.36796e+07
1.32603e+06,0,0,0,0,2.36423e+07,236423,0,1.36796e+07
1.56252e+06,0,0,0,0,2.36489e+07,236489,0,1.36796e+07
1.79907e+06,0,0,0,0,2.36554e+07,236554,0,1.36796e+07
2.00403e+06,0,0,0,0,2.04954e+07,204954,0,1.36796e+07
2.20904e+06,0,0,0,0,2.05011e+07,205011,0,1.36796e+07
2.41411e+06,0,0,0,0,2.05068e+07,205068,0,1.36796e+07
2.61923e+06,0,0,0,0,2.05125e+07,205125,0,1.36796e+07
2.82441e+06,0,0,0,0,2.05182e+07,205182,0,1.36796e+07
3.03752e+06,0,0,0,0,2.13105e+07,213105,0,1.36796e+07
3.25068e+06,0,0,0,0,2.13164e+07,213164,0,1.36796e+07
3.46391e+06,0,0,0,0,2.13224e+07,213224,0,1.36796e+07
3.67719e+06,0,0,0,0,2.13283e+07,213283,0,1.36796e+07
3.88746e+06,0,0,0,0,2.10274e+07,210274,0,1.36796e+07
4.09779e+06,0,0,0,0,2.10332e+07,210332,0,1.36796e+07
4.30818e+06,0,0,0,0,2.1039e+07,210390,0,1.36796e+07
4.51863e+06,0,0,0,0,2.10449e+07,210449,0,1.36796e+07
4.73981e+06,0,0,0,0,2.21172e+07,221172,0,1.36796e+07
4.96104e+06,0,0,0,0,2.21233e+07,221233,0,1.36796e+07
5.18233e+06,0,0,0,0,2.21295e+07,221295,0,1.36796e+07
5.40369e+06,0,0,0,0,2.21356e+07,221356,0,1.36796e+07
5.62511e+06,0,0,0,0,2.21418e+07,221418,0,1.36796e+07
5.84862e+06,0,0,0,0,2.23508e+07,223508,0,1.36796e+07
6.07219e+06,0,0,0,0,2.2357e+07,223570,0,1.36796e+07
6.29582e+06,0,0,0,0,2.23633e+07,223633,0,1.36796e+07
6.51951e+06,0,0,0,0,2.23695e+07,223695,0,1.36796e+07
6.74861e+06,0,0,0,0,2.29101e+07,229101,0,1.36796e+07
6.97778e+06,0,0,0,0,2.29165e+07,229165,0,1.36796e+07
7.20701e+06,0,0,0,0,2.29228e+07,229228,0,1.36796e+07
7.4363e+06,0,0,0,0,2.29292e+07,229292,0,1.36796e+07
7.68317e+06,0,0,0,0,2.46875e+07,246875,0,1.36796e+07
7.93012e+06,0,0,0,0,2.46944e+07,246944,0,1.36796e+07
8.17713e+06,0,0,0,0,2.47013e+07,247013,0,1.36796e+07
8.42421e+06,0,0,0,0,2.47081e+07,247081,0,1.36796e+07
8.67136e+06,0,0,0,0,2.4715e+07,247150,0,1.36796e+07
8.90885e+06,0,0,0,0,2.37492e+07,237492,0,1.36796e+07
9.14641e+06,0,0,0,0,2.37558e+07,237558,0,1.36796e+07
9.38404e+06,0,0,0,0,2.37624e+07,237624,0,1.36796e+07
9.62173e+06,0,0,0,0,2.3769e+07,237690,0,1.36796e+07
9.85096e+06,0,0,0,0,2.2923e+07,229230,0,1.36796e+07
1.00803e+07,0,0,0,0,2.29293e+07,229293,0,1.36796e+07
1.03096e+07,0,0,0,0,2.29357e+07,229357,0,1.36796e+07
1.0539e+07,0,0,0,0,2.29421e+07,229421,0,1.36796e+07
1.07484e+07,0,0,0,0,2.09364e+07,209364,0,1.36796e+07
1.09578e+07,0,0,0,0,2.09422e+07,209422,0,1.36796e+07
1.11673e+07,0,0,0,0,2.09481e+07,209481,0,1.36796e+07
1.13768e+07,0,0,0,0,2.09539e+07,209539,0,1.36796e+07
1.15864e+07,0,0,0,0,2.09597e+07,209597,0,1.36796e+07
1.18028e+07,0,0,0,2.21297e-52,2.16324e+07,216324,0,1.36796e+07
1.20191e+07,0,0,0,0,2.16383e+07,216383,0,1.36796e+07
1.22356e+07,0,0,0,0,2.16441e+07,216441,0,1.36796e+07
1.24521e+07,0,0,0,0,2.16499e+07,216499,0,1.36796e+07
1.26919e+07,0,0,0,0,2.39786e+07,239786,0,1.36796e+07
1.29317e+07,0,0,0,0,2.3985e+07,239850,0,1.36796e+07
1.31716e+07,0,0,0,0,2.39915e+07,239915,0,1.36796e+07
1.34116e+07,0,0,0,0,2.3998e+07,239980,0,1.36796e+07
1.36195e+07,0,0,0,0,2.0792e+07,207920,0,1.36796e+07
1.38275e+07,0,0,0,0,2.07976e+07,207976,0,1.36796e+07
1.40355e+07,0,0,0,0,2.08032e+07,208032,0,1.36796e+07
1.42436e+07,0,0,0,0,2.08088e+07,208088,0,1.36796e+07
1.44518e+07,0,0,0,0,2.08144e+07,208144,0,1.36796e+07
1.46679e+07,0,0,0,0,2.16179e+07,216179,0,1.36796e+07
1.48842e+07,0,0,0,0,2.16237e+07,216237,0,1.36796e+07
1.51005e+07,0,0,0,0,2.16296e+07,216296,0,1.36796e+07
1.53168e+07,0,0,0,0,2.16354e+07,216354,0,1.36796e+07
1.55301e+07,0,0,0,0,2.13299e+07,213299,0,1.36796e+07
1.57435e+07,0,0,0,0,2.13357e+07,213357,0,1.36796e+07
1.59569e+07,0,0,0,0,2.13414e+07,213414,0,1.36796e+07
1.61704e+07,0,0,0,0,2.13471e+07,213471,0,1.36796e+07
1.63947e+07,0,0,0,0,2.24346e+07,224346,0,1.36796e+07
1.66191e+07,0,0,0,0,2.24406e+07,224406,0,1.36796e+07
1.68436e+07,0,0,0,0,2.24467e+07,224467,0,1.36796e+07
1.70681e+07,0,0,0,0,2.24527e+07,224527,0,1.36796e+07
1.72927e+07,0,0,0,0,2.24588e+07,224588,0,1.36796e+07
1.75194e+07,0,0,0,0,2.26706e+07,226706,0,1.36796e+07
1.77462e+07,0,0,0,0,2.26767e+07,226767,0,1.36796e+07
1.7973e+07,0,0,0,0,2.26828e+07,226828,0,1.36796e+07
1.81999e+07,0,0,0,0,2.26889e+07,226889,0,1.36796e+07
1.84323e+07,0,0,0,0,2.32371e+07,232371,0,1.36796e+07
1.86647e+07,0,0,0,0,2.32433e+07,232433,0,1.36796e+07
1.88972e+07,0,0,0,0,2.32496e+07,232496,0,1.36796e+07
1.91298e+07,0,0,0,0,2.32558e+07,232558,0,1.36796e+07
1.93801e+07,0,0,0,0,2.5039e+07,250390,0,1.36796e+07
1.96306e+07,0,0,0,0,2.50457e+07,250457,0,1.36796e+07
1.98811e+07,0,0,0,0,2.50525e+07,250525,0,1.36796e+07
2.01317e+07,0,0,0,0,2.50592e+07,250592,0,1.36796e+07
2.03824e+07,0,0,0,0,2.50659e+07,250659,0,1.36796e+07
2.06232e+07,0,0,0,0,2.40862e+07,240862,0,1.36796e+07
2.08642e+07,0,0,0,0,2.40927e+07,240927,0,1.36796e+07
2.11052e+07,0,0,0,0,2.40992e+07,240992,0,1.36796e+07
2.13462e+07,0,0,0,0,2.41057e+07,241057,0,1.36796e+07
2.15787e+07,0,0,0,0,2.32474e+07,232474,0,1.36796e+07
2.18112e+07,0,0,0,0,2.32537e+07,232537,0,1.36796e+07
2.20438e+07,0,0,0,0,2.32599e+07,232599,0,1.36796e+07
2.22765e+07,0,0,0,0,2.32662e+07,232662,0,1.36796e+07
2.24888e+07,0,0,0,0,2.1232e+07,212320,0,1.36796e+07
2.27012e+07,0,0,0,0,2.12377e+07,212377,0,1.36796e+07
2.29136e+07,0,0,0,0,2.12434e+07,212434,0,1.36796e+07
2.31261e+07,0,0,0,0,2.12491e+07,212491,0,1.36796e+07
2.33387e+07,0,0,0,0,2.12549e+07,212549,0,1.36796e+07
2.3558e+07,0,0,0,2.21297e-52,2.19369e+07,219369,0,1.36796e+07
2.37775e+07,0,0,0,0,2.19426e+07,219426,0,1.36796e+07
2.39969e+07,0,0,0,0,2.19483e+07,219483,0,1.36796e+07
2.42165e+07,0,0,0,0,2.1954e+07,219540,0,1.36796e+07
2.44596e+07,0,0,0,0,2.43152e+07,243152,0,1.36796e+07
2.47028e+07,0,0,0,0,2.43215e+07,243215,0,1.36796e+07
2.49461e+07,0,0,0,0,2.43278e+07,243278,0,1.36796e+07
2.51895e+07,0,0,0,0,2.43341e+07,243341,0,1.36796e+07
2.54003e+07,0,0,0,0,2.10831e+07,210831,0,1.36796e+07
2.56112e+07,0,0,0,0,2.10885e+07,210885,0,1.36796e+07
2.58221e+07,0,0,0,0,2.1094e+07,210940,0,1.36796e+07
2.60331e+07,0,0,0,0,2.10995e+07,210995,0,1.36796e+07
2.62442e+07,0,0,0,0,2.1105e+07,211050,0,1.36796e+07
2.64634e+07,0,0,0,0,2.19195e+07,219195,0,1.36796e+07
2.66826e+07,0,0,0,0,2.19252e+07,219252,0,1.36796e+07
2.69019e+07,0,0,0,0,2.19309e+07,219309,0,1.36796e+07
2.71213e+07,0,0,0,0,2.19366e+07,219366,0,1.36796e+07
2.73376e+07,0,0,0,0,2.16267e+07,216267,0,1.36796e+07
2.75539e+07,0,0,0,0,2.16323e+07,216323,0,1.36796e+07
2.77703e+07,0,0,0,0,2.1638e+07,216380,0,1.36796e+07
2.79867e+07,0,0,0,0,2.16436e+07,216436,0,1.36796e+07
2.82142e+07,0,0,0,0,2.2746e+07,227460,0,1.36796e+07
2.84417e+07,0,0,0,0,2.27519e+07,227519,0,1.36796e+07
2.86693e+07,0,0,0,0,2.27578e+07,227578,0,1.36796e+07
2.88969e+07,0,0,0,0,2.27637e+07,227637,0,1.36796e+07
2.91246e+07,0,0,0,0,2.27696e+07,227696,0,1.36796e+07
2.93544e+07,0,0,0,0,2.29842e+07,229842,0,1.36796e+07
2.95843e+07,0,0,0,0,2.29902e+07,229902,0,1.36796e+07
2.98143e+07,0,0,0,0,2.29961e+07,229961,0,1.36796e+07
3.00443e+07,0,0,0,0,2.30021e+07,230021,0,1.36796e+07
3.02799e+07,0,0,0,0,2.35576e+07,235576,0,1.36796e+07
3.05155e+07,0,0,0,0,2.35637e+07,235637,0,1.36796e+07
3.07512e+07,0,0,0,0,2.35698e+07,235698,0,1.36796e+07
3.0987e+07,0,0,0,0,2.3576e+07,235760,0,1.36796e+07
3.12408e+07,0,0,0,0,2.53835e+07,253835,0,1.36796e+07
3.14947e+07,0,0,0,0,2.539e+07,253900,0,1.36796e+07
3.17487e+07,0,0,0,0,2.53966e+07,253966,0,1.36796e+07
3.20027e+07,0,0,0,0,2.54032e+07,254032,0,1.36796e+07
3.22568e+07,0,0,0,0,2.54098e+07,254098,0,1.36796e+07
3.2501e+07,0,0,0,0,2.44165e+07,244165,0,1.36796e+07
3.27452e+07,0,0,0,0,2.44228e+07,244228,0,1.36796e+07
3.29895e+07,0,0,0,0,2.44292e+07,244292,0,1.36796e+07
3.32339e+07,0,0,0,0,2.44355e+07,244355,0,1.36796e+07
3.34695e+07,0,0,0,0,2.35653e+07,235653,0,1.36796e+07
3.37052e+07,0,0,0,0,2.35714e+07,235714,0,1.36796e+07
3.3941e+07,0,0,0,0,2.35775e+07,235775,0,1.36796e+07
3.41768e+07,0,0,0,0,2.35837e+07,235837,0,1.36796e+07
3.4392e+07,0,0,0,0,2.15215e+07,215215,0,1.36796e+07
3.46073e+07,0,0,0,0,2.15271e+07,215271,0,1.36796e+07
3.48226e+07,0,0,0,0,2.15327e+07,215327,0,1.36796e+07
3.5038e+07,0,0,0,0,2.15383e+07,215383,0,1.36796e+07
3.52535e+07,0,0,0,0,2.15439e+07,215439,0,1.36796e+07
3.54758e+07,0,0,0,2.21297e-52,2.2235e+07,222350,0,1.36796e+07
3.56982e+07,0,0,0,0,2.22406e+07,222406,0,1.36796e+07
3.59207e+07,0,0,0,0,2.22461e+07,222461,0,1.36796e+07
3.61432e+07,0,0,0,0,2.22517e+07,222517,0,1.36796e+07
3.63897e+07,0,0,0,0,2.46447e+07,246447,0,1.36796e+07
3.66362e+07,0,0,0,0,2.46509e+07,246508,0,1.36796e+07
3.68827e+07,0,0,0,0,2.4657e+07,246570,0,1.36796e+07
3.71294e+07,0,0,0,0,2.46632e+07,246632,0,1.36796e+07
3.7343e+07,0,0,0,0,2.1368e+07,213680,0,1.36796e+07
3.75568e+07,0,0,0,0,2.13733e+07,213733,0,1.36796e+07
3.77706e+07,0,0,0,0,2.13787e+07,213787,0,1.36796e+07
3.79844e+07,0,0,0,0,2.13841e+07,213841,0,1.36796e+07
3.81983e+07,0,0,0,0,2.13894e+07,213894,0,1.36796e+07
3.84204e+07,0,0,0,0,2.22147e+07,222147,0,1.36796e+07
3.86426e+07,0,0,0,0,2.22203e+07,222203,0,1.36796e+07
3.88649e+07,0,0,0,0,2.22259e+07,222259,0,1.36796e+07
3.90872e+07,0,0,0,0,2.22314e+07,222314,0,1.36796e+07
3.93064e+07,0,0,0,0,2.19172e+07,219172,0,1.36796e+07
3.95256e+07,0,0,0,0,2.19227e+07,219227,0,1.36796e+07
3.97449e+07,0,0,0,0,2.19282e+07,219282,0,1.36796e+07
3.99642e+07,0,0,0,0,2.19337e+07,219337,0,1.36796e+07
4.01947e+07,0,0,0,0,2.30506e+07,230506,0,1.36796e+07
4.04253e+07,0,0,0,0,2.30564e+07,230564,0,1.36796e+07
4.06559e+07,0,0,0,0,2.30621e+07,230621,0,1.36796e+07
4.08866e+07,0,0,0,0,2.30679e+07,230679,0,1.36796e+07
4.11173e+07,0,0,0,0,2.30737e+07,230737,0,1.36796e+07
4.13503e+07,0,0,0,0,2.32909e+07,232909,0,1.36796e+07
4.15832e+07,0,0,0,0,2.32968e+07,232968,0,1.36796e+07
4.18162e+07,0,0,0,0,2.33026e+07,233026,0,1.36796e+07
4.20493e+07,0,0,0,0,2.33084e+07,233084,0,1.36796e+07
4.2288e+07,0,0,0,0,2.38711e+07,238711,0,1.36796e+07
4.25268e+07,0,0,0,0,2.38771e+07,238771,0,1.36796e+07
4.27656e+07,0,0,0,0,2.38831e+07,238831,0,1.36796e+07
