0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0agg_price,0res_price,0gross_rev,0drought_cost,0cont_contrib,0debt_serv,0infra_npv,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1agg_price,1res_price,1gross_rev,1drought_cost,1cont_contrib,1debt_serv,1infra_npv
85.1575,85.1575,3.82616,0,0,2.46977,2.46977,0,0,4.47637,4.20005e+06,2.87423e+06,1.03732e+07,0,103732,0,0,71.5777,70.5495,2.89914,0,0,1.12031,1.12031,0,0,2.11595,8.72855e+06,3.8418e+06,9.77865e+06,0,97786.5,0,0
85.1575,85.1575,3.73559,0,0,2.47029,2.47029,0,0.462835,4.47637,4.20005e+06,2.87423e+06,1.03753e+07,0,103753,0,0,71.5777,70.5495,3.04678,0,0,1.12054,1.12054,0,0.865549,2.11595,8.72855e+06,3.8418e+06,9.7807e+06,0,97807,0,0
85.1575,85.1575,4.10243,0,0,2.47081,2.47081,0,0.462933,4.47637,4.20005e+06,2.87423e+06,1.03775e+07,0,103775,0,0,71.5777,70.5495,3.7507,0,0,1.12078,1.12078,0,0.86573,2.11595,8.72855e+06,3.8418e+06,9.78276e+06,0,97827.6,0,0
85.1575,85.1575,5.7348,0,0,2.47133,2.47133,0,0.46303,4.47637,4.20005e+06,2.87423e+06,1.03797e+07,0,103797,0,0,71.5777,70.5495,3.46241,0,0,1.12101,1.12101,0,0.865912,2.11595,8.72855e+06,3.8418e+06,9.78481e+06,0,97848.1,0,0
85.1575,85.1575,5.11502,0,0,2.71295,2.71295,0,0.463127,4.47637,4.20005e+06,2.87423e+06,1.13945e+07,0,113945,0,0,71.5777,70.5495,3.21368,0,0,1.25308,1.25308,0,0.866094,2.11595,8.72855e+06,3.8418e+06,1.09376e+07,0,109376,0,0
85.1575,85.1575,4.78239,0,0,2.71352,2.71352,0,0.508406,4.47637,4.20005e+06,2.87423e+06,1.13969e+07,0,113969,0,0,71.5777,70.5495,3.40823,0,0,1.25335,1.25335,0,0.968131,2.11595,8.72855e+06,3.8418e+06,1.09399e+07,0,109399,0,0
85.0034,85.1575,3.11295,0,0,2.71409,2.71409,0,0.508513,4.47637,4.20005e+06,2.87423e+06,1.13993e+07,0,113993,0,0,71.5777,70.5495,2.82246,0,0,1.25361,1.25361,0,0.968335,2.11595,8.72855e+06,3.8418e+06,1.09422e+07,0,109422,0,0
85.1575,85.1575,3.46138,0,0,2.71466,2.71466,0,0.50862,4.47637,4.20005e+06,2.87423e+06,1.14017e+07,0,114017,0,0,71.5777,70.5495,2.99085,0,0,1.25387,1.25387,0,0.968538,2.11595,8.72855e+06,3.8418e+06,1.09445e+07,0,109445,0,0
85.1575,85.1575,6.20188,0,0,2.37105,2.37105,0,0.508727,4.47637,4.20005e+06,2.87423e+06,9.95854e+06,0,99585.4,0,0,71.5777,70.5495,6.58739,0,0,1.07706,1.07706,0,0.968742,2.11595,8.72855e+06,3.8418e+06,9.4012e+06,0,94012,0,0
85.1575,85.1575,7.13203,0,0,2.37155,2.37155,0,0.444336,4.47637,4.20005e+06,2.87423e+06,9.96063e+06,0,99606.3,0,0,71.5777,70.5495,8.77005,0,0,1.07729,1.07729,0,0.832139,2.11595,8.72855e+06,3.8418e+06,9.40317e+06,0,94031.7,0,0
85.1575,85.1575,6.29836,0,0,2.37205,2.37205,0,0.444429,4.47637,4.20005e+06,2.87423e+06,9.96272e+06,0,99627.2,0,0,71.5777,70.5495,8.3246,0,0,1.07752,1.07752,0,0.832314,2.11595,8.72855e+06,3.8418e+06,9.40515e+06,0,94051.5,0,0
85.1575,85.1575,8.12256,0,0,2.37255,2.37255,0,0.444522,4.47637,4.20005e+06,2.87423e+06,9.96481e+06,0,99648.1,0,0,71.5777,70.5495,9.26299,0,0,1.07774,1.07774,0,0.832488,2.11595,8.72855e+06,3.8418e+06,9.40712e+06,0,94071.2,0,0
85.1575,85.1575,8.36722,0,0,2.37305,2.37305,0,0.444616,4.47637,4.20005e+06,2.87423e+06,9.96691e+06,0,99669.1,0,0,71.5777,70.5495,10.4618,0,0,1.07797,1.07797,0,0.832663,2.11595,8.72855e+06,3.8418e+06,9.4091e+06,0,94091,0,0
85.1575,85.1575,10.0314,0,0,2.46027,2.46027,0,0.444709,4.47637,4.20005e+06,2.87423e+06,1.03332e+07,0,103332,0,0,71.5777,70.5495,14.2947,0,0,1.12156,1.12156,0,0.832838,2.11595,8.72855e+06,3.8418e+06,9.78958e+06,0,97895.8,0,0
85.1575,85.1575,6.23189,0,0,2.46079,2.46079,0,0.461055,4.47637,4.20005e+06,2.87423e+06,1.03354e+07,0,103354,0,0,71.5777,70.5495,9.52218,0,0,1.12179,1.12179,0,0.866516,2.11595,8.72855e+06,3.8418e+06,9.79164e+06,0,97916.4,0,0
85.1575,85.1575,5.14633,0,0,2.4613,2.4613,0,0.461151,4.47637,4.20005e+06,2.87423e+06,1.03376e+07,0,103376,0,0,71.5777,70.5495,8.70913,0,0,1.12203,1.12203,0,0.866698,2.11595,8.72855e+06,3.8418e+06,9.7937e+06,0,97937,0,0
