Realization	utility	week	infra.
0	0	365	7
1	0	365	7
2	0	365	7
3	0	365	7
4	0	365	7
5	0	365	7
6	0	417	7
7	0	365	7
8	0	417	7
9	0	365	7
10	0	313	7
11	0	417	7
12	0	313	7
13	0	365	7
14	0	313	7
15	0	417	7
16	0	417	7
17	0	365	7
18	0	313	7
19	0	365	7
20	0	417	7
21	0	365	7
22	0	313	7
23	0	417	7
24	0	417	7
25	0	365	7
26	0	365	7
27	0	313	7
28	0	417	7
29	0	417	7
30	0	313	7
31	0	313	7
32	0	313	7
33	0	365	7
34	0	313	7
35	0	365	7
36	0	365	7
37	0	313	7
38	0	365	7
39	0	365	7
40	0	313	7
41	0	417	7
42	0	365	7
43	0	313	7
44	0	365	7
45	0	417	7
46	0	313	7
47	0	313	7
48	0	365	7
49	0	365	7
0	1	313	11
1	1	313	11
2	1	313	11
3	1	313	11
4	1	313	11
5	1	313	11
6	1	313	11
7	1	313	11
8	1	313	11
9	1	313	11
10	1	313	11
11	1	313	11
12	1	313	11
13	1	313	11
14	1	313	11
15	1	313	11
16	1	313	11
17	1	313	11
18	1	313	11
19	1	313	11
20	1	313	11
21	1	313	11
22	1	313	11
23	1	313	11
24	1	313	11
25	1	313	11
26	1	313	11
27	1	313	11
28	1	313	11
29	1	313	11
30	1	313	11
31	1	313	11
32	1	313	11
33	1	313	11
34	1	313	11
35	1	313	11
36	1	313	11
37	1	313	11
38	1	313	11
39	1	313	11
40	1	313	11
41	1	313	11
42	1	313	11
43	1	313	11
44	1	313	11
45	1	313	11
46	1	313	11
47	1	313	11
48	1	313	11
49	1	313	11
