0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1cont_fund,1ins_pout,1ins_price,1infra_npv,1debt_serv
72.29,72.29,5.82782,0.05,1,2.16737,2.46977,0,0,3.6288,0,0,0,0,0,99.3022,98.274,7.2986,0,1,1.73502,1.43262,0,0,2.1168,948105,0,0,0,0
72.29,72.29,5.20968,0.05,1,2.18923,2.47089,0,0.406166,3.6288,0,0,0,0,0,99.3022,98.274,6.90044,0,1,1.71493,1.43327,0,1.34047,2.1168,1.83995e+06,0,0,0,0
72.29,72.29,3.84101,0.05,1,2.191,2.47201,0,0.410262,3.6288,0,0,0,0,0,99.3022,98.274,5.31424,0,1,1.71493,1.43392,0,1.32495,2.1168,2.73009e+06,0,0,0,0
72.29,72.29,4.83339,0.05,1,2.19277,2.47313,0,0.410593,3.6288,0,0,0,0,0,99.3022,98.274,6.44736,0,1,1.71493,1.43457,0,1.32495,2.1168,3.61852e+06,0,0,0,0
72.29,72.29,3.55876,0.05,1,2.43587,2.71559,0,0.410925,3.6288,0,0,0,0,0,99.3022,98.274,5.15233,0,1,1.88368,1.60397,0,1.32496,2.1168,4.52018e+06,0,0,0,0
72.29,72.29,3.57051,0.05,1,2.60651,2.71682,0,0.456483,3.6288,136740,0,0,0,0,99.3022,98.274,4.74885,0,1,1.71501,1.60469,0,1.45533,2.1168,4.96183e+06,0,0,0,0
72.29,72.29,5.13582,0.05,1,2.60846,2.71805,0,0.488459,3.6288,274645,0,0,0,0,99.3022,98.274,6.75695,0,1,1.71501,1.60542,0,1.32501,2.1168,5.40157e+06,0,0,0,0
72.29,72.29,3.60373,0.05,1,2.61042,2.71928,0,0.488826,3.6288,413713,0,0,0,0,99.3022,98.274,5.26973,0,1,1.71501,1.60615,0,1.32501,2.1168,5.83941e+06,0,0,0,0
72.2691,72.29,2.90269,0.05,1,2.26754,2.37567,0,0.489193,3.6288,516732,0,0,0,0,99.3022,98.274,4.18508,0,1,1.48813,1.38,0,1.32501,2.1168,6.25524e+06,0,0,0,0
72.29,72.29,3.90272,0.08,1,2.07435,2.37675,0,0.424937,3.6288,344364,0,0,0,0,99.3022,98.274,3.40876,0,1,1.68303,1.38063,0,1.14973,2.1168,7.19875e+06,0,0,0,0
72.29,72.29,4.69119,0.05,1,2.07542,2.37782,0,0.388733,3.6288,172112,0,0,0,0,99.3022,98.274,5.08127,0,1,1.68365,1.38125,0,1.30031,2.1168,8.1423e+06,0,0,0,0
