0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1cont_fund,1ins_pout,1ins_price,1infra_npv,1debt_serv,1gross_rev,1cont_contrib,1drought_cost
72.29,72.29,6.11084,0.05,0.24,2.46977,2.46977,0,0,3.6288,165986,0,0,0,0,3.70386e+06,165986,0,99.3022,98.274,5.67484,0,1,1.43262,1.43262,0,0,2.1168,222347,0,0,0,0,3.71818e+06,222347,0
72.29,72.29,6.62824,0.05,0.24,2.4709,2.4709,0,0.462835,3.6288,332047,0,0,0,0,3.70555e+06,166062,0,99.3022,98.274,6.37904,0,1,1.43327,1.43327,0,1.10684,2.1168,444796,0,0,0,0,3.71988e+06,222449,0
72.29,72.29,6.74436,0.05,0.24,2.47203,2.47203,0,0.463047,3.6288,498185,0,0,0,0,3.70725e+06,166138,0,99.3022,98.274,7.05879,0,1,1.43393,1.43393,0,1.10735,2.1168,667346,0,0,0,0,3.72158e+06,222550,0
72.29,72.29,13.2604,0.05,0.24,2.47316,2.47316,0,0.463259,3.6288,664399,0,0,0,0,3.70894e+06,166214,0,99.3022,98.274,10.2031,0,1,1.43458,1.43458,0,1.10785,2.1168,889998,0,0,0,0,3.72328e+06,222652,0
72.29,72.29,7.78974,0.05,0.24,2.71563,2.71563,0,0.463471,3.6288,846908,0,0,0,0,4.07256e+06,182509,0,99.3022,98.274,9.04366,0,1,1.60399,1.60399,0,1.10836,2.1168,1.13894e+06,0,0,0,0,4.16296e+06,248945,0
72.29,72.29,15.511,0.05,0.24,2.71687,2.71687,0,0.508909,3.6288,1.0295e+06,0,0,0,0,4.07443e+06,182592,0,99.3022,98.274,13.0581,0,1,1.60473,1.60473,0,1.23924,2.1168,1.388e+06,0,0,0,0,4.16486e+06,249059,0
72.29,72.29,6.14316,0.05,0.24,2.71811,2.71811,0,0.509142,3.6288,1.21218e+06,0,0,0,0,4.07629e+06,182676,0,99.3022,98.274,6.58728,0,1,1.60546,1.60546,0,1.23981,2.1168,1.63717e+06,0,0,0,0,4.16677e+06,249173,0
72.29,72.29,4.7219,0.05,0.24,2.71935,2.71935,0,0.509374,3.6288,1.39494e+06,0,0,0,0,4.07815e+06,182759,0,99.3022,98.274,5.69195,0,1,1.60619,1.60619,0,1.24038,2.1168,1.88646e+06,0,0,0,0,4.16867e+06,249286,0
72.29,72.29,5.60547,0.05,0.24,2.37574,2.37574,0,0.509607,3.6288,1.5546e+06,0,0,0,0,3.56284e+06,159666,0,99.3022,98.274,7.70516,0,1,1.38004,1.38004,0,1.24094,2.1168,2.10065e+06,0,0,0,0,3.58173e+06,214187,0
72.29,72.29,5.50252,0.05,0.24,2.37683,2.37683,0,0.445214,3.6288,1.71434e+06,0,0,0,0,3.56447e+06,159739,0,99.3022,98.274,6.95569,0,1,1.38067,1.38067,0,1.06622,2.1168,2.31493e+06,0,0,0,0,3.58336e+06,214285,0
72.29,72.29,4.93416,0.05,0.24,2.37791,2.37791,0,0.445418,3.6288,1.87415e+06,0,0,0,0,3.5661e+06,159812,0,99.3022,98.274,6.84514,0,1,1.3813,1.3813,0,1.06671,2.1168,2.52932e+06,0,0,0,0,3.585e+06,214383,0
72.29,72.29,6.84702,0.05,0.24,2.379,2.379,0,0.445621,3.6288,2.03404e+06,0,0,0,0,3.56773e+06,159885,0,99.3022,98.274,7.95274,0,1,1.38193,1.38193,0,1.06719,2.1168,2.7438e+06,0,0,0,0,3.58663e+06,214481,0
72.29,72.29,6.54812,0.05,0.24,2.38008,2.38008,0,0.445824,3.6288,2.194e+06,0,0,0,0,3.56936e+06,159958,0,99.3022,98.274,8.26311,0,1,1.38256,1.38256,0,1.06768,2.1168,2.95838e+06,0,0,0,0,3.58827e+06,214579,0
72.29,72.29,8.15452,0.05,0.24,2.46817,2.46817,0,0.446028,3.6288,2.35987e+06,0,0,0,0,3.70146e+06,165878,0,99.3022,98.274,12.2384,0,1,1.43883,1.43883,0,1.06817,2.1168,3.18169e+06,0,0,0,0,3.73429e+06,223311,0
72.29,72.29,5.84257,0.05,0.24,2.4693,2.4693,0,0.462536,3.6288,2.52583e+06,0,0,0,0,3.70315e+06,165954,0,99.3022,98.274,9.56861,0,1,1.43948,1.43948,0,1.11164,2.1168,3.4051e+06,0,0,0,0,3.73599e+06,223412,0
72.29,72.29,5.0237,0.05,0.24,2.47042,2.47042,0,0.462747,3.6288,2.69186e+06,0,0,0,0,3.70484e+06,166030,0,99.3022,98.274,9.07895,0,1,1.44014,1.44014,0,1.11214,2.1168,3.62861e+06,0,0,0,0,3.7377e+06,223514,0
72.29,72.29,4.58771,0.05,0.24,2.47155,2.47155,0,0.462958,3.6288,2.85796e+06,0,0,0,0,3.70653e+06,166105,0,99.3022,98.274,9.42787,0,1,1.4408,1.4408,0,1.11265,2.1168,3.85223e+06,0,0,0,0,3.7394e+06,223616,0
72.29,72.29,3.89489,0.05,0.24,2.4386,2.4386,0,0.463169,3.6288,3.02185e+06,0,0,0,0,3.65711e+06,163891,0,99.3022,98.274,5.58373,0,1,1.41981,1.41981,0,1.11316,2.1168,4.07259e+06,0,0,0,0,3.68493e+06,220359,0
72.29,72.29,3.47744,0.05,0.24,2.43971,2.43971,0,0.456993,3.6288,3.18582e+06,0,0,0,0,3.65878e+06,163965,0,99.3022,98.274,4.64624,0,1,1.42045,1.42045,0,1.09694,2.1168,4.29305e+06,0,0,0,0,3.68661e+06,220459,0
72.29,72.29,3.12967,0.05,0.24,2.44082,2.44082,0,0.457202,3.6288,3.34986e+06,0,0,0,0,3.66044e+06,164040,0,99.3022,98.274,4.42846,0,1,1.4211,1.4211,0,1.09744,2.1168,4.51361e+06,0,0,0,0,3.68829e+06,220560,0
72.2443,72.29,2.95609,0.04,0.24,2.44193,2.44193,0,0.45741,3.6288,3.51397e+06,0,0,0,0,3.66211e+06,164115,0,99.3022,98.274,4.28568,0,1,1.42175,1.42175,0,1.09794,2.1168,4.73427e+06,0,0,0,0,3.68997e+06,220660,0
72.007,72.29,2.86611,0.06,0.24,2.55894,2.55894,0,0.457618,3.6288,3.68595e+06,0,0,0,0,3.83758e+06,171978,0,99.3022,98.274,4.39503,0,1,1.4993,1.4993,0,1.09844,2.1168,4.96696e+06,0,0,0,0,3.89124e+06,232696,0
71.5506,72.29,2.62759,0.06,0.24,2.5601,2.5601,0,0.479545,3.6288,3.85801e+06,0,0,0,0,3.83932e+06,172057,0,99.3022,98.274,3.60777,0,1,1.49998,1.49998,0,1.15836,2.1168,5.19977e+06,0,0,0,0,3.89301e+06,232802,0
70.7986,72.29,2.33255,0.05,0.24,2.56127,2.56127,0,0.479763,3.6288,4.03014e+06,0,0,0,0,3.84107e+06,172135,0,99.3022,98.274,3.30619,0,1,1.50066,1.50066,0,1.15889,2.1168,5.43267e+06,0,0,0,0,3.89478e+06,232908,0
69.8668,72.29,2.14365,0.04,0.24,2.56243,2.56243,0,0.479982,3.6288,4.20236e+06,0,0,0,0,3.84282e+06,172213,0,99.3022,98.274,3.25095,0,1,1.50135,1.50135,0,1.15941,2.1168,5.66569e+06,0,0,0,0,3.89656e+06,233014,0
68.959,72.29,2.14398,0.04,0.24,2.5636,2.5636,0,0.4802,3.6288,4.37465e+06,0,0,0,0,3.84457e+06,172292,0,99.3022,98.274,3.0345,0,1,1.50203,1.50203,0,1.15994,2.1168,5.89881e+06,0,0,0,0,3.89833e+06,233120,0
68.5407,72.29,2.60808,0.03,0.24,2.5418,2.5418,0,0.480419,3.6288,4.54548e+06,0,0,0,0,3.81187e+06,170826,0,99.3022,98.274,3.82367,0,1,1.54508,1.54508,0,1.16047,2.1168,6.13861e+06,0,0,0,0,4.01005e+06,239801,0
67.9902,72.29,2.47676,0.03,0.24,2.54295,2.54295,0,0.476333,3.6288,4.71638e+06,0,0,0,0,3.81361e+06,170904,0,99.3022,98.274,3.63354,0,1,1.54578,1.54578,0,1.19373,2.1168,6.37852e+06,0,0,0,0,4.01188e+06,239910,0
67.2572,72.29,2.29482,0.03,0.24,2.54411,2.54411,0,0.476549,3.6288,4.88736e+06,0,0,0,0,3.81534e+06,170982,0,99.3022,98.274,3.39155,0,1,1.54648,1.54648,0,1.19427,2.1168,6.61854e+06,0,0,0,0,4.0137e+06,240019,0
66.4234,72.29,2.1945,0.05,0.24,2.54527,2.54527,0,0.476766,3.6288,5.05842e+06,0,0,0,0,3.81708e+06,171060,0,99.3022,98.274,3.16236,0,1,1.54719,1.54719,0,1.19481,2.1168,6.85867e+06,0,0,0,0,4.01553e+06,240129,0
65.4477,72.29,2.08715,0.04,0.24,2.60585,2.60585,0,0.476983,3.6288,5.23355e+06,0,0,0,0,3.90793e+06,175131,0,99.3022,98.274,3.10023,0,1,1.58571,1.58571,0,1.19536,2.1168,7.10478e+06,0,0,0,0,4.11552e+06,246108,0
64.3066,72.29,1.92145,0.04,0.24,2.60704,2.60704,0,0.488337,3.6288,5.40876e+06,0,0,0,0,3.90971e+06,175211,0,99.3022,98.274,3.14694,0,1,1.58643,1.58643,0,1.22512,2.1168,7.351e+06,0,0,0,0,4.11739e+06,246220,0
63.0031,72.29,1.75937,0.04,0.24,2.60822,2.60822,0,0.488559,3.6288,5.58405e+06,0,0,0,0,3.91149e+06,175291,0,99.3022,98.274,2.75921,0,1,1.58716,1.58716,0,1.22568,2.1168,7.59733e+06,0,0,0,0,4.11926e+06,246332,0
61.808,72.29,1.8589,0.04,0.24,2.60941,2.60941,0,0.488781,3.6288,5.75942e+06,0,0,0,0,3.91327e+06,175370,0,99.3022,98.274,3.30407,0,1,1.58788,1.58788,0,1.22624,2.1168,7.84377e+06,0,0,0,0,4.12113e+06,246444,0
60.416,72.29,1.84272,0.04,0.24,2.78494,2.78494,0,0.489003,3.6288,5.94659e+06,0,0,0,0,4.17651e+06,187167,0,99.3022,98.274,3.29132,0,1,1.72537,1.72537,0,1.22679,2.1168,8.11155e+06,0,0,0,0,4.47798e+06,267783,0
58.742,72.29,1.5633,0.04,0.24,2.78621,2.78621,0,0.521898,3.6288,6.13384e+06,0,0,0,0,4.17841e+06,187252,0,99.2741,98.274,2.91729,0,1,1.72615,1.72615,0,1.33302,2.1168,8.37946e+06,0,0,0,0,4.48001e+06,267905,0
57.1696,72.29,1.66467,0.04,0.24,2.78747,2.78747,0,0.522135,3.6288,6.32118e+06,0,0,0,0,4.18031e+06,187337,0,99.3022,98.274,3.55926,0,1,1.72694,1.72694,0,1.33363,2.1168,8.64749e+06,0,0,0,0,4.48205e+06,268027,0
55.3021,72.29,1.36952,0.07,0.24,2.78874,2.78874,0,0.522373,3.6288,6.5086e+06,0,0,0,0,4.18221e+06,187423,0,99.1988,98.274,2.5172,0,1,1.72772,1.72772,0,1.33423,2.1168,8.91563e+06,0,0,0,0,4.48408e+06,268148,0
53.7721,72.29,1.70668,0.08,0.24,2.79001,2.79001,0,0.52261,3.6288,6.69611e+06,0,0,0,0,4.1841e+06,187508,0,99.3022,98.274,4.70465,0,1,1.72851,1.72851,0,1.33484,2.1168,9.1839e+06,0,0,0,0,4.48612e+06,268270,0
52.4622,72.29,1.88838,0.08,0.24,2.70611,2.70611,0,0.522847,3.6288,6.87798e+06,0,0,0,0,4.05828e+06,181869,0,99.3022,98.274,3.85047,0,1,1.64609,1.64609,0,1.33544,2.1168,9.43938e+06,0,0,0,0,4.27221e+06,255478,0
51.914,72.29,2.64961,0.12,0.24,2.70733,2.70733,0,0.507124,3.6288,7.05993e+06,0,0,0,0,4.06013e+06,181952,0,99.3022,98.274,5.92331,0,1,1.64683,1.64683,0,1.27177,2.1168,9.69498e+06,0,0,0,0,4.27415e+06,255594,0
51.2473,72.29,2.53154,0.12,0.24,2.70856,2.70856,0,0.507355,3.6288,7.24197e+06,0,0,0,0,4.06197e+06,182034,0,99.3022,98.274,4.9476,0,1,1.64758,1.64758,0,1.27234,2.1168,9.95069e+06,0,0,0,0,4.27609e+06,255710,0
50.2537,72.29,2.20503,0.12,0.24,2.70979,2.70979,0,0.507585,3.6288,7.42408e+06,0,0,0,0,4.06381e+06,182117,0,99.3022,98.274,4.84725,0,1,1.64833,1.64833,0,1.27292,2.1168,1.02065e+07,0,0,0,0,4.27803e+06,255826,0
48.8118,72.29,1.76532,0.13,0.24,2.64099,2.64099,0,0.507815,3.6288,7.60158e+06,0,0,0,0,3.96063e+06,177493,0,99.3022,98.274,4.45164,0,1,1.5732,1.5732,0,1.2735,2.1168,1.04507e+07,0,0,0,0,4.08305e+06,244166,0
46.9019,72.29,1.30774,0.13,0.24,2.64219,2.64219,0,0.494921,3.6288,7.77915e+06,0,0,0,0,3.96242e+06,177573,0,99.3022,98.274,3.84883,0,1,1.57392,1.57392,0,1.21546,2.1168,1.0695e+07,0,0,0,0,4.0849e+06,244277,0
