0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost,0water_price
0,0,0,0,0.000499492,2.57429e+07,-934482,934482,1.37261e+07
0,0,0,0,0,2.56502e+07,-870401,870401,1.37261e+07
0,0,0,0,0,2.56552e+07,-869118,869118,1.37261e+07
0,0,0,0,0,2.56603e+07,-867835,867835,1.37261e+07
0,0,0,0,0,2.83035e+07,-866551,866551,1.37261e+07
0,0,0,0,0,2.74986e+07,-344131,344131,1.37261e+07
0,0,0,0,0,2.75041e+07,-342695,342695,1.37261e+07
0,0,0,0,0,2.75097e+07,-341259,341259,1.37261e+07
0,0,0,0,0,2.38799e+07,-339823,339823,1.37261e+07
0,0,0,0,0,2.48119e+07,-934482,934482,1.37261e+07
0,0,0,0,0,2.48186e+07,-934482,934482,1.37261e+07
0,0,0,0,0,2.48254e+07,-934482,934482,1.37261e+07
0,0,0,0,0,2.48322e+07,-934482,934482,1.37261e+07
0,0,0,0,0,2.57405e+07,-934482,934482,1.37261e+07
0,0,0,0,0,2.5633e+07,-860856,860856,1.37261e+07
0,0,0,0,0,2.5638e+07,-859571,859571,1.37261e+07
0,0,0,0,0,2.5643e+07,-858286,858286,1.37261e+07
0,0,0,0,0,2.52965e+07,-857000,857000,1.37261e+07
0,0,0,0,0,2.54052e+07,-922415,922415,1.37261e+07
0,0,0,0,0,2.54102e+07,-921147,921147,1.37261e+07
0,0,0,0,0,2.54152e+07,-919880,919880,1.37261e+07
0,0,0,0,0,2.66453e+07,-918612,918612,1.37261e+07
0,0,0,0,0,2.62822e+07,-680529,680529,1.37261e+07
0,0,0,0,0,2.62874e+07,-679193,679193,1.37261e+07
0,0,0,0,0,2.62926e+07,-677855,677855,1.37261e+07
0,0,0,0,0,2.62978e+07,-676517,676517,1.37261e+07
0,0,0,0,0,2.6592e+07,-675179,675179,1.37261e+07
0,0,0,0,0,2.63945e+07,-543495,543495,1.37261e+07
0,0,0,0,0,2.63997e+07,-542119,542119,1.37261e+07
0,0,0,0,0,2.6405e+07,-540741,540741,1.37261e+07
0,0,0,0,0,2.70227e+07,-539364,539364,1.37261e+07
0,0,0,0,0,2.68472e+07,-421686,421686,1.37261e+07
0,0,0,0,0,2.68526e+07,-420274,420274,1.37261e+07
0,0,0,0,0,2.6858e+07,-418862,418862,1.37261e+07
