0_Descoberto(id0),1_Torto / Santa Maria(id1),0_Corumba IV(id2),1_Lago Paranoa(id3)
1,1,1,1
0.998999,1,1,1
0.996997,1,1,1
0.98999,1,1,1
0.987988,1,1,1
0.991992,1,1,1
0.992993,1,1,1
0.995996,1,1,1
0.994995,1,0.998999,1
0.98999,1,1,1
0.991992,1,1,1
0.990991,1,1,1
0.990991,1,1,1
0.990991,1,1,1
0.987988,1,1,1
0.983984,1,1,1
0.982983,1,1,1
0.977978,1,1,1
0.972973,1,1,1
0.962963,1,1,1
0.958959,1,0.998999,1
0.941942,1,1,1
0.931932,1,1,1
0.928929,1,1,1
0.915916,1,1,1
0.908909,1,0.997998,1
0.904905,1,1,1
0.886887,1,1,1
0.872873,1,0.998999,1
0.878879,1,1,1
0.870871,1,1,1
0.847848,1,1,1
0.852853,1,1,1
0.85986,1,0.998999,1
0.844845,1,0.998999,1
0.822823,1,1,1
0.836837,1,1,1
0.84985,1,1,1
0.842843,1,1,1
0.832833,1,0.997998,1
