0_Descoberto(id0),1_Torto / Santa Maria(id1),0_Corumba IV(id2)
1,1,1
0.998999,0.986987,1
0.996997,0.978979,1
0.98999,0.973974,1
0.987988,0.972973,1
0.991992,0.977978,1
0.992993,0.964965,1
0.995996,0.963964,1
0.993994,0.964965,0.998999
0.985986,0.961962,1
0.990991,0.95996,1
0.988989,0.960961,1
0.990991,0.972973,1
0.98999,0.970971,1
0.987988,0.96997,1
0.982983,0.95996,1
0.981982,0.952953,1
0.977978,0.95996,1
0.970971,0.952953,1
0.961962,0.953954,1
0.956957,0.951952,0.998999
0.943944,0.94995,1
0.935936,0.952953,1
0.928929,0.948949,1
0.911912,0.946947,1
0.907908,0.951952,0.997998
0.902903,0.958959,1
0.888889,0.958959,1
0.871872,0.963964,0.998999
0.878879,0.964965,1
0.871872,0.958959,1
0.846847,0.958959,1
0.852853,0.966967,1
0.85986,0.96997,0.998999
0.844845,0.970971,0.998999
0.823824,0.964965,0.998999
0.836837,0.961962,1
0.845846,0.961962,1
0.842843,0.95996,1
0.831832,0.967968,0.997998
