0reliability,1reliability,0afford,1afford,0severity,1severity
1,1,0.0334817,0.0230849,0,0
0.998999,0.986987,0.0342783,0.0231347,0.001001,0.154154
0.996997,0.978979,0.0350593,0.0231839,0.022022,0.207207
0.98999,0.973974,0.035823,0.0232326,0.0660661,0.455455
0.987988,0.972973,0.0365896,0.0232811,0.0900901,0.391391
0.991992,0.977978,0.0411415,0.0270306,0.0500501,0.517518
0.992993,0.964965,0.037049,0.0277624,0.042042,0.716717
0.995996,0.963964,0.0376482,0.0282017,0.019019,0.632633
0.993994,0.964965,0.0382755,0.0286398,0.048048,0.604605
0.985986,0.961962,0.0389903,0.029349,0.0670671,0.774775
0.990991,0.95996,0.0397049,0.0308095,0.047047,0.756757
0.988989,0.960961,0.0409831,0.0322795,0.0840841,0.604605
0.990991,0.972973,0.0415369,0.0326231,0.0760761,0.3003
0.98999,0.970971,0.0433934,0.034254,0.0640641,0.45045
0.987988,0.96997,0.0441977,0.0348668,0.0940941,0.506507
0.982983,0.95996,0.0446701,0.035074,0.117117,0.727728
0.981982,0.952953,0.0459748,0.0357484,0.12012,0.763764
0.977978,0.95996,0.0468246,0.0362961,0.15015,0.661662
0.970971,0.952953,0.0472311,0.0368353,0.229229,0.797798
0.961962,0.953954,0.0477842,0.037193,0.347347,0.765766
0.956957,0.951952,0.0482339,0.0374807,0.343343,0.853854
0.943944,0.94995,0.0486806,0.0378566,0.474474,0.95996
0.935936,0.952953,0.0490281,0.0379893,0.55956,0.717718
0.928929,0.948949,0.0489833,0.0379947,0.757758,0.93994
0.911912,0.946947,0.0492852,0.0381929,0.801802,1.02603
0.907908,0.951952,0.0490459,0.0380172,0.985986,0.855856
0.902903,0.958959,0.0491868,0.0380467,0.970971,0.793794
0.888889,0.958959,0.049356,0.0381492,1.04304,0.567568
0.871872,0.963964,0.0491962,0.038062,1.28929,0.614615
0.878879,0.964965,0.0496805,0.0381814,1.31732,0.553554
0.871872,0.958959,0.0497275,0.038403,1.40641,0.594595
0.846847,0.958959,0.0496158,0.0383239,1.42743,0.702703
0.852853,0.966967,0.0504321,0.0387735,1.61161,0.586587
0.85986,0.96997,0.0506898,0.0389342,1.41141,0.527528
0.844845,0.970971,0.0507994,0.0389489,1.64464,0.367367
0.823824,0.964965,0.0500019,0.0386042,1.68969,0.556557
0.836837,0.961962,0.0502038,0.0386085,1.52853,0.541542
0.845846,0.961962,0.0502745,0.038593,1.55455,0.605606
0.842843,0.95996,0.0502009,0.0386997,1.47047,0.533534
0.831832,0.967968,0.0503902,0.038952,1.67568,0.563564
