0reliability,1reliability,0afford,1afford,0severity,1severity
1,1,0.0334817,0.0230849,0,0
0.998999,0.996997,0.0342783,0.0231347,0.001001,0.038038
0.996997,0.997998,0.0350593,0.0231839,0.022022,0.00900901
0.98999,0.994995,0.035823,0.0232326,0.0660661,0.0760761
0.987988,0.993994,0.0365896,0.0232811,0.0900901,0.0680681
0.991992,0.992993,0.0411415,0.0270306,0.0500501,0.0660661
0.992993,0.985986,0.037049,0.0277624,0.042042,0.112112
0.995996,0.988989,0.0376412,0.0282017,0.019019,0.0770771
0.994995,0.987988,0.0382584,0.0286398,0.033033,0.168168
0.98999,0.985986,0.0389903,0.029349,0.0510511,0.142142
0.991992,0.983984,0.0396584,0.0308095,0.043043,0.189189
0.990991,0.97998,0.0409581,0.0323942,0.0710711,0.249249
0.990991,0.981982,0.0414611,0.0326231,0.0760761,0.159159
0.990991,0.972973,0.0433618,0.034254,0.0620621,0.259259
0.987988,0.972973,0.0441977,0.0348668,0.0880881,0.309309
0.983984,0.968969,0.0446701,0.0350753,0.114114,0.333333
0.982983,0.964965,0.0458475,0.0357484,0.115115,0.325325
0.977978,0.968969,0.0466268,0.0364237,0.147147,0.326326
0.972973,0.958959,0.0471711,0.036841,0.222222,0.388388
0.960961,0.958959,0.0477842,0.037193,0.368368,0.517518
0.953954,0.95996,0.0480366,0.0373281,0.356356,0.483483
0.936937,0.954955,0.0481669,0.0375366,0.556557,0.475475
0.92993,0.95996,0.0484436,0.037803,0.606607,0.551552
0.923924,0.954955,0.0486289,0.0378573,0.76977,0.651652
0.914915,0.952953,0.0488778,0.0380835,0.771772,0.624625
0.906907,0.952953,0.0488372,0.0379561,0.946947,0.524525
0.902903,0.94995,0.0491112,0.0380567,0.998999,0.541542
0.886887,0.958959,0.049078,0.03809,1.01301,0.422422
0.875876,0.956957,0.0491962,0.038062,1.27227,0.584585
0.878879,0.951952,0.0496109,0.0382419,1.28228,0.454454
0.870871,0.950951,0.049688,0.038403,1.4024,0.48048
0.847848,0.953954,0.0496158,0.0383702,1.40741,0.538539
0.852853,0.954955,0.0502028,0.0388441,1.6006,0.631632
0.85986,0.954955,0.0504389,0.0388679,1.40741,0.534535
0.844845,0.943944,0.0505279,0.0389569,1.64364,0.520521
0.822823,0.950951,0.0499306,0.0386646,1.68268,0.581582
0.836837,0.94995,0.0499891,0.0386085,1.51752,0.537538
0.84985,0.957958,0.0502135,0.038648,1.53854,0.567568
0.842843,0.960961,0.050134,0.0388429,1.46547,0.407407
0.832833,0.956957,0.05031,0.038952,1.67067,0.479479
