0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost,0water_price
0,0,0,0,0.000499492,2.63226e+07,-955528,955528,1.40352e+07
0,0,0,0,0,2.62322e+07,-890004,890004,1.40352e+07
0,0,0,0,0,2.62405e+07,-887898,887898,1.40352e+07
0,0,0,0,0,2.62488e+07,-885792,885792,1.40352e+07
0,0,0,0,0,2.89566e+07,-883685,883685,1.40352e+07
0,0,0,0,0,2.81365e+07,-348330,348330,1.40352e+07
0,0,0,0,0,2.81457e+07,-345974,345974,1.40352e+07
0,0,0,0,0,2.81548e+07,-343617,343617,1.40352e+07
0,0,0,0,0,2.44415e+07,-341260,341260,1.40352e+07
0,0,0,0,0,2.54083e+07,-955528,955528,1.40352e+07
0,0,0,0,0,2.54194e+07,-955528,955528,1.40352e+07
0,0,0,0,0,2.54305e+07,-955528,955528,1.40352e+07
0,0,0,0,0,2.54417e+07,-955528,955528,1.40352e+07
0,0,0,0,0,2.63767e+07,-955528,955528,1.40352e+07
0,0,0,0,0,2.62551e+07,-869923,869923,1.40352e+07
0,0,0,0,0,2.62633e+07,-867813,867813,1.40352e+07
0,0,0,0,0,2.62716e+07,-865703,865703,1.40352e+07
0,0,0,0,0,2.59193e+07,-863592,863592,1.40352e+07
0,0,0,0,0,2.60339e+07,-929887,929887,1.40352e+07
0,0,0,0,0,2.6042e+07,-927807,927807,1.40352e+07
0,0,0,0,0,2.60502e+07,-925726,925726,1.40352e+07
0,0,0,0,0,2.73157e+07,-923645,923645,1.40352e+07
0,0,0,0,0,2.69463e+07,-678527,678527,1.40352e+07
0,0,0,0,0,2.69549e+07,-676332,676332,1.40352e+07
0,0,0,0,0,2.69634e+07,-674137,674137,1.40352e+07
0,0,0,0,0,2.6972e+07,-671941,671941,1.40352e+07
0,0,0,0,0,2.72773e+07,-669745,669745,1.40352e+07
0,0,0,0,0,2.70778e+07,-533662,533662,1.40352e+07
0,0,0,0,0,2.70864e+07,-531402,531402,1.40352e+07
0,0,0,0,0,2.7095e+07,-529142,529142,1.40352e+07
0,0,0,0,0,2.77332e+07,-526881,526881,1.40352e+07
0,0,0,0,0,2.75561e+07,-405077,405077,1.40352e+07
0,0,0,0,0,2.75649e+07,-402760,402760,1.40352e+07
0,0,0,0,0,2.75738e+07,-400442,400442,1.40352e+07
0,0,0,0,0,2.96741e+07,-398124,398124,1.40352e+07
0,0,0,0,0,2.90682e+07,0,0,1.40352e+07
0,0,0,0,0,2.90816e+07,0,0,1.40352e+07
0,0,0,0,0,2.9095e+07,0,0,1.40352e+07
0,0,0,0,0,2.91084e+07,0,0,1.40352e+07
0,0,0,0,0,2.79448e+07,0,0,1.40352e+07
0,0,0,0,0,2.82905e+07,-213905,213905,1.40352e+07
0,0,0,0,0,2.82997e+07,-211504,211504,1.40352e+07
0,0,0,0,0,2.83088e+07,-209102,209102,1.40352e+07
0,0,0,0,0,2.72794e+07,-206700,206700,1.40352e+07
0,0,0,0,0,2.76612e+07,-444124,444124,1.40352e+07
0,0,0,0,0,2.76701e+07,-441831,441831,1.40352e+07
