0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0agg_price,0res_price,0gross_rev,0drought_cost,0cont_contrib,0debt_serv,0infra_npv,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1agg_price,1res_price,1gross_rev,1drought_cost,1cont_contrib,1debt_serv,1infra_npv
85.139,85.139,7.63239,0,0,2.46977,2.46977,0,0,4.47552,4.41281e+06,2.70226e+06,1.08986e+07,0,0,0,0,62.3362,61.308,3.09451,0,1,1.43262,1.43262,0,0,2.1168,9.17072e+06,3.61194e+06,1.31381e+07,0,0,0,0
85.139,85.139,4.31198,0,0,2.47036,2.47036,0,0.462835,4.47552,4.41281e+06,2.70226e+06,1.09012e+07,0,0,0,0,62.3362,61.308,2.63847,0,1,1.43296,1.43296,0,1.10684,2.1168,9.17072e+06,3.61194e+06,1.31412e+07,0,0,0,0
85.0178,85.139,2.88004,0,0,2.47094,2.47094,0,0.462945,4.47552,4.41281e+06,2.70226e+06,1.09038e+07,0,0,0,0,62.3362,61.308,2.91355,0,1,1.4333,1.4333,0,1.1071,2.1168,9.17072e+06,3.61194e+06,1.31444e+07,0,0,0,0
85.139,85.139,10.5775,0,0,2.47153,2.47153,0,0.463055,4.47552,4.41281e+06,2.70226e+06,1.09064e+07,0,0,0,0,62.3362,61.308,8.30306,0,1,1.43364,1.43364,0,1.10736,2.1168,9.17072e+06,3.61194e+06,1.31475e+07,0,0,0,0
85.139,85.139,6.09454,0,0,2.71324,2.71324,0,0.463165,4.47552,4.41281e+06,2.70226e+06,1.1973e+07,0,0,0,0,62.3362,61.308,4.15429,0,1,1.60258,1.60258,0,1.10763,2.1168,9.17072e+06,3.61194e+06,1.46968e+07,0,0,0,0
85.139,85.139,5.9455,0,0,2.71388,2.71388,0,0.508461,4.47552,4.41281e+06,2.70226e+06,1.19758e+07,0,0,0,0,62.3362,61.308,4.01096,0,1,1.60296,1.60296,0,1.23815,2.1168,9.17072e+06,3.61194e+06,1.47003e+07,0,0,0,0
85.139,85.139,9.45741,0,0,2.71453,2.71453,0,0.508582,4.47552,4.41281e+06,2.70226e+06,1.19787e+07,0,0,0,0,62.3362,61.308,5.00476,0,1,1.60334,1.60334,0,1.23845,2.1168,9.17072e+06,3.61194e+06,1.47038e+07,0,0,0,0
85.139,85.139,8.80837,0,0,2.71517,2.71517,0,0.508702,4.47552,4.41281e+06,2.70226e+06,1.19815e+07,0,0,0,0,62.3362,61.308,4.90006,0,1,1.60372,1.60372,0,1.23874,2.1168,9.17072e+06,3.61194e+06,1.47073e+07,0,0,0,0
85.139,85.139,3.97079,0,0,2.37157,2.37157,0,0.508823,4.47552,4.41281e+06,2.70226e+06,1.04653e+07,0,0,0,0,62.3362,61.308,3.05858,0,1,1.37762,1.37762,0,1.23903,2.1168,9.17072e+06,3.61194e+06,1.26337e+07,0,0,0,0
85.139,85.139,4.48416,0,0,2.37213,2.37213,0,0.444431,4.47552,4.41281e+06,2.70226e+06,1.04677e+07,0,0,0,0,62.3362,61.308,4.78658,0,1,1.37794,1.37794,0,1.06435,2.1168,9.17072e+06,3.61194e+06,1.26367e+07,0,0,0,0
85.139,85.139,4.00061,0,0,2.37269,2.37269,0,0.444537,4.47552,4.41281e+06,2.70226e+06,1.04702e+07,0,0,0,0,62.3362,61.308,3.44986,0,1,1.37827,1.37827,0,1.0646,2.1168,9.17072e+06,3.61194e+06,1.26397e+07,0,0,0,0
85.139,85.139,3.30021,0,0,2.37325,2.37325,0,0.444642,4.47552,4.41281e+06,2.70226e+06,1.04727e+07,0,0,0,0,62.3362,61.308,2.99711,0,1,1.3786,1.3786,0,1.06485,2.1168,9.17072e+06,3.61194e+06,1.26427e+07,0,0,0,0
85.139,85.139,3.83482,0,0,2.37382,2.37382,0,0.444747,4.47552,4.41281e+06,2.70226e+06,1.04752e+07,0,0,0,0,62.3362,61.308,3.15845,0,1,1.37892,1.37892,0,1.0651,2.1168,9.17072e+06,3.61194e+06,1.26457e+07,0,0,0,0
85.139,85.139,3.56686,0,0,2.46113,2.46113,0,0.444853,4.47552,4.41281e+06,2.70226e+06,1.08605e+07,0,0,0,0,62.3181,61.308,2.72184,0,1,1.43472,1.43472,0,1.06536,2.1168,9.17072e+06,3.61194e+06,1.31574e+07,0,0,0,0
85.139,85.139,3.02684,0,0,2.46172,2.46172,0,0.461216,4.47552,4.41281e+06,2.70226e+06,1.08631e+07,0,0,0,0,62.3362,61.308,2.40608,0,1,1.43506,1.43506,0,1.10847,2.1168,9.17072e+06,3.61194e+06,1.31605e+07,0,0,0,0
85.0184,85.139,2.8528,0,0,2.4623,2.4623,0,0.461326,4.47552,4.41281e+06,2.70226e+06,1.08657e+07,0,0,0,0,62.3362,61.308,2.56376,0,1,1.4354,1.4354,0,1.10873,2.1168,9.17072e+06,3.61194e+06,1.31637e+07,0,0,0,0
84.9765,85.139,2.89965,0,0,2.46288,2.46288,0,0.461435,4.47552,4.41281e+06,2.70226e+06,1.08682e+07,0,0,0,0,62.3362,61.308,2.33856,0,1,1.43574,1.43574,0,1.10899,2.1168,9.17072e+06,3.61194e+06,1.31668e+07,0,0,0,0
84.6791,85.139,2.60745,0,0,2.42951,2.42951,0,0.461544,4.47552,4.41281e+06,2.70226e+06,1.0721e+07,0,0,0,0,62.3362,61.308,2.46213,0,1,1.41452,1.41452,0,1.10925,2.1168,9.17072e+06,3.61194e+06,1.29721e+07,0,0,0,0
84.1938,85.139,2.31585,0,0,2.43009,2.43009,0,0.455291,4.47552,4.41281e+06,2.70226e+06,1.07235e+07,0,0,0,0,62.3362,61.308,2.18981,0,1,1.41485,1.41485,0,1.09286,2.1168,9.17072e+06,3.61194e+06,1.29752e+07,0,0,0,0
83.6701,85.139,2.2569,0,0,2.43067,2.43067,0,0.455399,4.47552,4.41281e+06,2.70226e+06,1.07261e+07,0,0,0,0,62.3362,61.308,2.38878,0,1,1.41519,1.41519,0,1.09311,2.1168,9.17072e+06,3.61194e+06,1.29783e+07,0,0,0,0
83.0104,85.139,2.10733,0,0,2.43124,2.43124,0,0.455507,4.47552,4.41281e+06,2.70226e+06,1.07286e+07,0,0,0,0,62.3362,61.308,2.19373,0,1,1.41552,1.41552,0,1.09337,2.1168,9.17072e+06,3.61194e+06,1.29814e+07,0,0,0,0
82.27,85.139,2.1143,0,0,2.54718,2.54718,0,0.455615,4.47552,4.41281e+06,2.70226e+06,1.12402e+07,0,0,0,0,62.2628,61.308,2.15209,0,1,1.49241,1.49241,0,1.09363,2.1168,9.17072e+06,3.61194e+06,1.36864e+07,0,0,0,0
81.4301,85.139,1.98964,0,0,2.54778,2.54778,0,0.477341,4.47552,4.41281e+06,2.70226e+06,1.12429e+07,0,0,0,0,62.161,61.308,2.09697,0,1,1.49276,1.49276,0,1.15303,2.1168,9.17072e+06,3.61194e+06,1.36897e+07,0,0,0,0
80.3889,85.139,1.77205,0,0,2.54838,2.54838,0,0.477454,4.47552,4.41281e+06,2.70226e+06,1.12455e+07,0,0,0,0,61.974,61.308,1.91517,0,1,1.49312,1.49312,0,1.15331,2.1168,9.17072e+06,3.61194e+06,1.36929e+07,0,0,0,0
79.3098,85.139,1.66814,0,0,2.54899,2.54899,0,0.477567,4.47552,4.41281e+06,2.70226e+06,1.12482e+07,0,0,0,0,61.6469,61.308,1.84185,0,1,1.49347,1.49347,0,1.15358,2.1168,9.17072e+06,3.61194e+06,1.36962e+07,0,0,0,0
78.1451,85.139,1.56954,0,0,2.54959,2.54959,0,0.477681,4.47552,4.41281e+06,2.70226e+06,1.12509e+07,0,0,0,0,61.3549,61.308,1.73391,0,1,1.49382,1.49382,0,1.15385,2.1168,9.17072e+06,3.61194e+06,1.36994e+07,0,0,0,0
76.7705,85.139,1.30158,0,0,2.52736,2.52736,0,0.477794,4.47552,4.41281e+06,2.70226e+06,1.11527e+07,0,0,0,0,60.9533,61.308,1.79644,0,1,1.5363,1.5363,0,1.15413,2.1168,9.17072e+06,3.61194e+06,1.4089e+07,0,0,0,0
75.2835,85.139,1.17508,0,0,2.52796,2.52796,0,0.473627,4.47552,4.41281e+06,2.70226e+06,1.11554e+07,0,0,0,0,60.5012,61.308,1.59898,0,1,1.53666,1.53666,0,1.18695,2.1168,9.17072e+06,3.61194e+06,1.40923e+07,0,0,0,0
73.7797,85.139,1.11964,0,0,2.52856,2.52856,0,0.473739,4.47552,4.41281e+06,2.70226e+06,1.1158e+07,0,0,0,0,59.9466,61.308,1.55788,0,1,1.53703,1.53703,0,1.18723,2.1168,9.17072e+06,3.61194e+06,1.40957e+07,0,0,0,0
72.1796,85.139,0.999145,0,0,2.52916,2.52916,0,0.473851,4.47552,4.41281e+06,2.70226e+06,1.11607e+07,0,0,0,0,59.2427,61.308,1.50714,0,1,1.53739,1.53739,0,1.18751,2.1168,9.17072e+06,3.61194e+06,1.4099e+07,0,0,0,0
70.5406,85.139,0.989099,0,0,2.58879,2.58879,0,0.473964,4.47552,4.41281e+06,2.70226e+06,1.14239e+07,0,0,0,0,58.5656,61.308,1.43292,0,1,1.57533,1.57533,0,1.18779,2.1168,9.17072e+06,3.61194e+06,1.44469e+07,0,0,0,0
68.9196,85.139,1.0107,0,0,2.58941,2.58941,0,0.48514,4.47552,4.41281e+06,2.70226e+06,1.14266e+07,0,0,0,0,57.871,61.308,1.43655,0,1,1.57571,1.57571,0,1.2171,2.1168,9.17072e+06,3.61194e+06,1.44504e+07,0,0,0,0
67.2508,85.139,0.936187,0,0,2.59002,2.59002,0,0.485255,4.47552,4.41281e+06,2.70226e+06,1.14293e+07,0,0,0,0,56.9953,61.308,1.38773,0,1,1.57608,1.57608,0,1.21739,2.1168,9.17072e+06,3.61194e+06,1.44538e+07,0,0,0,0
65.5165,85.139,0.852431,0,0,2.59064,2.59064,0,0.48537,4.47552,4.41281e+06,2.70226e+06,1.1432e+07,0,0,0,0,56.3445,61.308,1.21556,0,1,1.57645,1.57645,0,1.21768,2.1168,9.17072e+06,3.61194e+06,1.44572e+07,0,0,0,0
63.6813,85.139,0.864871,0,0,2.76431,2.76431,0,0.485485,4.47552,4.41281e+06,2.70226e+06,1.21984e+07,0,0,0,0,55.2643,61.308,1.51643,0,1,1.71259,1.71259,0,1.21797,2.1168,9.17072e+06,3.61194e+06,1.57056e+07,0,0,0,0
61.5294,85.139,0.51386,0,0,2.76496,2.76496,0,0.518032,4.47552,4.41281e+06,2.70226e+06,1.22013e+07,0,0,0,0,54.0404,61.308,1.01013,0,1,1.71299,1.71299,0,1.32314,2.1168,9.17072e+06,3.61194e+06,1.57094e+07,0,0,0,0
59.3721,85.139,0.483929,0,0,2.76562,2.76562,0,0.518154,4.47552,4.41281e+06,2.70226e+06,1.22042e+07,0,0,0,0,52.8833,61.308,0.941586,0,1,1.7134,1.7134,0,1.32346,2.1168,9.17072e+06,3.61194e+06,1.57131e+07,0,0,0,0
57.4057,85.139,0.655972,0,0,2.76628,2.76628,0,0.518277,4.47552,4.41281e+06,2.70226e+06,1.22071e+07,0,0,0,0,51.8529,61.308,1.06082,0,1,1.7138,1.7138,0,1.32377,2.1168,9.17072e+06,3.61194e+06,1.57168e+07,0,0,0,0
55.7185,85.139,0.964152,0.01,0,2.76646,2.76693,0,0.5184,4.47552,4.41281e+06,2.70226e+06,1.22078e+07,0,0,0,0,51.3095,61.308,1.25791,0,1,1.71469,1.71421,0,1.32409,2.1168,9.17072e+06,3.61194e+06,1.57249e+07,0,0,0,0
53.8283,85.139,0.620539,0.02,0,2.68308,2.68315,0,0.518434,4.47552,4.41281e+06,2.70226e+06,1.18399e+07,0,0,0,0,50.488,61.308,1.83935,0,1,1.63219,1.63212,0,1.32477,2.1168,9.17072e+06,3.61194e+06,1.49683e+07,0,0,0,0
