0rest_m,1rest_m,0transf,1transf
1.000000,1.000000,0.6048,-0.6048
1.000000,1.000000,0.281663,-0.281663
1.000000,1.000000,0.281193,-0.281193
1.000000,1.000000,0.280723,-0.280723
1.000000,1.000000,0.280253,-0.280253
1.000000,1.000000,0.111117,-0.111117
1.000000,1.000000,0.110591,-0.110591
1.000000,1.000000,0.110065,-0.110065
1.000000,1.000000,0.109539,-0.109539
1.000000,1.000000,0.335662,-0.335662
1.000000,1.000000,0.335211,-0.335211
1.000000,1.000000,0.334759,-0.334759
1.000000,1.000000,0.334306,-0.334306
1.000000,1.000000,0.333854,-0.333854
1.000000,1.000000,0.277864,-0.277864
1.000000,1.000000,0.277393,-0.277393
1.000000,1.000000,0.276922,-0.276922
1.000000,1.000000,0.276451,-0.276451
1.000000,1.000000,0.297579,-0.297579
1.000000,1.000000,0.297115,-0.297115
1.000000,1.000000,0.296651,-0.296651
1.000000,1.000000,0.296186,-0.296186
1.000000,1.000000,0.219027,-0.219027
1.000000,1.000000,0.218538,-0.218538
1.000000,1.000000,0.218048,-0.218048
1.000000,1.000000,0.217558,-0.217558
1.000000,1.000000,0.217068,-0.217068
1.000000,1.000000,0.174356,-0.174356
1.000000,1.000000,0.173852,-0.173852
1.000000,1.000000,0.173348,-0.173348
1.000000,1.000000,0.172843,-0.172843
1.000000,1.000000,0.13466,-0.13466
1.000000,1.000000,0.134144,-0.134144
1.000000,1.000000,0.133626,-0.133626
1.000000,1.000000,0.133109,-0.133109
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0.0763929,-0.0763929
1.000000,1.000000,0.0758573,-0.0758573
1.000000,1.000000,0.0753214,-0.0753214
1.000000,1.000000,0.0747855,-0.0747855
1.000000,1.000000,0.149707,-0.149707
1.000000,1.000000,0.149195,-0.149195
1.000000,1.000000,0.148684,-0.148684
1.000000,1.000000,0.148172,-0.148172
1.000000,1.000000,0.305022,-0.305022
1.000000,1.000000,0.304561,-0.304561
1.000000,1.000000,0.3041,-0.3041
1.000000,1.000000,0.30364,-0.30364
1.000000,1.000000,0.303179,-0.303179
1.000000,1.000000,0.257085,-0.257085
1.000000,1.000000,0.256623,-0.256623
1.000000,1.000000,0.256162,-0.256162
1.000000,1.000000,0.2557,-0.2557
1.000000,1.000000,0.083686,-0.083686
1.000000,1.000000,0.0831698,-0.0831698
1.000000,1.000000,0.0826535,-0.0826535
1.000000,1.000000,0.0821371,-0.0821371
1.000000,1.000000,0.312137,-0.312137
1.000000,1.000000,0.311694,-0.311694
1.000000,1.000000,0.31125,-0.31125
1.000000,1.000000,0.310806,-0.310806
1.000000,1.000000,0.310362,-0.310362
1.000000,1.000000,0.253435,-0.253435
1.000000,1.000000,0.252973,-0.252973
1.000000,1.000000,0.252511,-0.252511
1.000000,1.000000,0.252048,-0.252048
1.000000,1.000000,0.273551,-0.273551
1.000000,1.000000,0.273095,-0.273095
1.000000,1.000000,0.272639,-0.272639
1.000000,1.000000,0.272183,-0.272183
1.000000,1.000000,0.193735,-0.193735
1.000000,1.000000,0.193255,-0.193255
1.000000,1.000000,0.192774,-0.192774
1.000000,1.000000,0.192293,-0.192293
1.000000,1.000000,0.191812,-0.191812
1.000000,1.000000,0.148397,-0.148397
