0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost,0water_price
0,0,0,0,1.62844e-42,2.62116e+07,-1.80126e+06,1.80126e+06,1.32288e+07
0,0,0,0,0,2.47208e+07,-838872,838872,1.32288e+07
0,0,0,0,0,2.47254e+07,-837688,837688,1.32288e+07
0,0,0,0,0,2.47301e+07,-836505,836505,1.32288e+07
0,0,0,0,0,2.72772e+07,-835320,835320,1.32288e+07
0,0,0,0,0,2.65012e+07,-331902,331902,1.32288e+07
0,0,0,0,0,2.65064e+07,-330578,330578,1.32288e+07
0,0,0,0,0,2.65115e+07,-329253,329253,1.32288e+07
0,0,0,0,0,2.30133e+07,-327929,327929,1.32288e+07
0,0,0,0,0,2.40673e+07,-1.00136e+06,1.00136e+06,1.32288e+07
0,0,0,0,0,2.40718e+07,-1.00022e+06,1.00022e+06,1.32288e+07
0,0,0,0,0,2.40762e+07,-999078,999078,1.32288e+07
0,0,0,0,0,2.40807e+07,-997940,997940,1.32288e+07
0,0,0,0,0,2.49539e+07,-996800,996800,1.32288e+07
0,0,0,0,0,2.47014e+07,-830363,830363,1.32288e+07
0,0,0,0,0,2.47061e+07,-829177,829177,1.32288e+07
0,0,0,0,0,2.47107e+07,-827991,827991,1.32288e+07
0,0,0,0,0,2.43766e+07,-826805,826805,1.32288e+07
0,0,0,0,0,2.44812e+07,-889890,889890,1.32288e+07
0,0,0,0,0,2.44858e+07,-888721,888721,1.32288e+07
0,0,0,0,0,2.44904e+07,-887551,887551,1.32288e+07
0,0,0,0,0,2.56754e+07,-886382,886382,1.32288e+07
0,0,0,0,0,2.53253e+07,-657036,657036,1.32288e+07
0,0,0,0,0,2.53301e+07,-655802,655802,1.32288e+07
0,0,0,0,0,2.53349e+07,-654568,654568,1.32288e+07
0,0,0,0,0,2.53398e+07,-653334,653334,1.32288e+07
0,0,0,0,0,2.56229e+07,-652100,652100,1.32288e+07
0,0,0,0,0,2.54324e+07,-525282,525282,1.32288e+07
0,0,0,0,0,2.54373e+07,-524012,524012,1.32288e+07
0,0,0,0,0,2.54421e+07,-522742,522742,1.32288e+07
0,0,0,0,0,2.6037e+07,-521471,521471,1.32288e+07
0,0,0,0,0,2.58677e+07,-408154,408154,1.32288e+07
0,0,0,0,0,2.58727e+07,-406852,406852,1.32288e+07
0,0,0,0,0,2.58777e+07,-405549,405549,1.32288e+07
0,0,0,0,0,2.78415e+07,-404246,404246,1.32288e+07
0,0,0,0,0,2.72201e+07,0,0,1.32288e+07
0,0,0,0,0,2.72277e+07,0,0,1.32288e+07
0,0,0,0,0,2.72352e+07,0,0,1.32288e+07
0,0,0,0,0,2.72428e+07,0,0,1.32288e+07
0,0,0,0,0,2.61489e+07,0,0,1.32288e+07
0,0,0,0,0,2.6525e+07,-237069,237069,1.32288e+07
0,0,0,0,0,2.65301e+07,-235720,235720,1.32288e+07
0,0,0,0,0,2.65353e+07,-234370,234370,1.32288e+07
0,0,0,0,0,2.55693e+07,-233020,233020,1.32288e+07
0,0,0,0,0,2.59231e+07,-455919,455919,1.32288e+07
0,0,0,0,0,2.5928e+07,-454630,454630,1.32288e+07
0,0,0,0,0,2.5933e+07,-453341,453341,1.32288e+07
0,0,0,0,0,2.36867e+07,-452052,452052,1.32288e+07
0,0,0,0,0,2.44185e+07,-918326,918326,1.32288e+07
0,0,0,0,0,2.44231e+07,-917166,917166,1.32288e+07
0,0,0,0,0,2.44276e+07,-916005,916005,1.32288e+07
0,0,0,0,0,2.44322e+07,-914844,914844,1.32288e+07
0,0,0,8.28113e+07,1.62844e-42,2.51703e+07,-913683,913683,1.32288e+07
0,0,0,8.28113e+07,0,2.4964e+07,-776962,776962,1.32288e+07
0,0,0,8.28113e+07,0,2.49686e+07,-775799,775799,1.32288e+07
0,0,0,8.28113e+07,0,2.49731e+07,-774637,774637,1.32288e+07
0,0,0,8.28113e+07,0,2.7557e+07,-773474,773474,1.32288e+07
0,0,0,8.28113e+07,0,2.67696e+07,-262808,262808,1.32288e+07
0,0,0,8.28113e+07,0,2.67746e+07,-261508,261508,1.32288e+07
0,0,0,8.28113e+07,0,2.67797e+07,-260207,260207,1.32288e+07
0,0,0,8.28113e+07,0,2.32308e+07,-258906,258906,1.32288e+07
0,0,0,8.28113e+07,0,2.42999e+07,-942099,942099,1.32288e+07
0,0,0,8.28113e+07,0,2.43043e+07,-940981,940981,1.32288e+07
0,0,0,8.28113e+07,0,2.43087e+07,-939863,939863,1.32288e+07
0,0,0,8.28113e+07,0,2.43131e+07,-938745,938745,1.32288e+07
0,0,0,8.28113e+07,0,2.51987e+07,-937626,937626,1.32288e+07
0,0,0,8.28113e+07,0,2.49424e+07,-768830,768830,1.32288e+07
0,0,0,8.28113e+07,0,2.4947e+07,-767666,767666,1.32288e+07
0,0,0,8.28113e+07,0,2.49516e+07,-766501,766501,1.32288e+07
0,0,0,8.28113e+07,0,2.46125e+07,-765337,765337,1.32288e+07
0,0,0,8.28113e+07,0,2.47184e+07,-829366,829366,1.32288e+07
0,0,0,8.28113e+07,0,2.47229e+07,-828218,828218,1.32288e+07
0,0,0,8.28113e+07,0,2.47274e+07,-827070,827070,1.32288e+07
0,0,0,8.28113e+07,0,2.59293e+07,-825922,825922,1.32288e+07
0,0,0,8.28113e+07,0,2.5574e+07,-593329,593329,1.32288e+07
0,0,0,8.28113e+07,0,2.55787e+07,-592118,592118,1.32288e+07
0,0,0,8.28113e+07,0,2.55835e+07,-590907,590907,1.32288e+07
0,0,0,8.28113e+07,0,2.55882e+07,-589695,589695,1.32288e+07
0,0,0,8.28113e+07,0,2.58752e+07,-588483,588483,1.32288e+07
0,0,0,8.28113e+07,0,2.56819e+07,-459895,459895,1.32288e+07
0,0,0,8.28113e+07,0,2.56866e+07,-458648,458648,1.32288e+07
0,0,0,8.28113e+07,0,2.56914e+07,-457401,457401,1.32288e+07
0,0,0,8.28113e+07,0,2.62946e+07,-456154,456154,1.32288e+07
0,0,0,8.28113e+07,0,2.61227e+07,-341264,341264,1.32288e+07
0,0,0,8.28113e+07,0,2.61276e+07,-339986,339986,1.32288e+07
0,0,0,8.28113e+07,0,2.61325e+07,-338707,338707,1.32288e+07
0,0,0,8.28113e+07,0,2.81241e+07,-337428,337428,1.32288e+07
0,0,0,8.28113e+07,0,2.76065e+07,0,0,1.32288e+07
0,0,0,8.28113e+07,0,2.76139e+07,0,0,1.32288e+07
0,0,0,8.28113e+07,0,2.76213e+07,0,0,1.32288e+07
0,0,0,8.28113e+07,0,2.76287e+07,0,0,1.32288e+07
0,0,0,8.28113e+07,0,2.65191e+07,0,0,1.32288e+07
0,0,0,8.28113e+07,0,2.67878e+07,-168138,168138,1.32288e+07
0,0,0,8.28113e+07,0,2.67929e+07,-166813,166813,1.32288e+07
0,0,0,8.28113e+07,0,2.67979e+07,-165488,165488,1.32288e+07
0,0,0,8.28113e+07,0,2.58181e+07,-164163,164163,1.32288e+07
0,0,0,8.28113e+07,0,2.61768e+07,-390253,390253,1.32288e+07
0,0,0,8.28113e+07,0,2.61816e+07,-388989,388989,1.32288e+07
0,0,0,8.28113e+07,0,2.61865e+07,-387723,387723,1.32288e+07
0,0,0,8.28113e+07,0,2.39084e+07,-386458,386458,1.32288e+07
0,0,0,8.28113e+07,0,2.46504e+07,-859341,859341,1.32288e+07
0,0,0,8.28113e+07,0,2.46548e+07,-858203,858203,1.32288e+07
0,0,0,8.28113e+07,0,2.46593e+07,-857064,857064,1.32288e+07
0,0,0,8.28113e+07,0,2.46638e+07,-855924,855924,1.32288e+07
0,0,0,8.28113e+07,1.62844e-42,2.54121e+07,-854784,854784,1.32288e+07
0,0,0,8.28113e+07,0,2.52028e+07,-716182,716182,1.32288e+07
0,0,0,8.28113e+07,0,2.52072e+07,-715044,715044,1.32288e+07
0,0,0,8.28113e+07,0,2.52117e+07,-713905,713905,1.32288e+07
0,0,0,8.28113e+07,0,2.78316e+07,-712766,712766,1.32288e+07
0,0,0,8.28113e+07,0,2.7033e+07,-194989,194989,1.32288e+07
0,0,0,8.28113e+07,0,2.70379e+07,-193715,193715,1.32288e+07
0,0,0,8.28113e+07,0,2.70429e+07,-192441,192441,1.32288e+07
0,0,0,8.28113e+07,0,2.34443e+07,-191167,191167,1.32288e+07
0,0,0,8.28113e+07,0,2.45281e+07,-883947,883947,1.32288e+07
0,0,0,8.28113e+07,0,2.45324e+07,-882852,882852,1.32288e+07
0,0,0,8.28113e+07,0,2.45367e+07,-881757,881757,1.32288e+07
0,0,0,8.28113e+07,0,2.4541e+07,-880662,880662,1.32288e+07
0,0,0,8.28113e+07,0,2.54388e+07,-879566,879566,1.32288e+07
0,0,0,8.28113e+07,0,2.51789e+07,-708459,708459,1.32288e+07
0,0,0,8.28113e+07,0,2.51833e+07,-707319,707319,1.32288e+07
0,0,0,8.28113e+07,0,2.51878e+07,-706178,706178,1.32288e+07
0,0,0,8.28113e+07,0,2.48439e+07,-705037,705037,1.32288e+07
0,0,0,8.28113e+07,0,2.49511e+07,-769996,769996,1.32288e+07
0,0,0,8.28113e+07,0,2.49555e+07,-768872,768872,1.32288e+07
0,0,0,8.28113e+07,0,2.49599e+07,-767748,767748,1.32288e+07
0,0,0,8.28113e+07,0,2.61782e+07,-766623,766623,1.32288e+07
0,0,0,8.28113e+07,0,2.58179e+07,-530849,530849,1.32288e+07
0,0,0,8.28113e+07,0,2.58225e+07,-529663,529663,1.32288e+07
0,0,0,8.28113e+07,0,2.58272e+07,-528477,528477,1.32288e+07
0,0,0,8.28113e+07,0,2.58318e+07,-527291,527291,1.32288e+07
0,0,0,8.28113e+07,0,2.61227e+07,-526104,526104,1.32288e+07
0,0,0,8.28113e+07,0,2.59265e+07,-395783,395783,1.32288e+07
0,0,0,8.28113e+07,0,2.59311e+07,-394562,394562,1.32288e+07
0,0,0,8.28113e+07,0,2.59358e+07,-393341,393341,1.32288e+07
0,0,0,8.28113e+07,0,2.65471e+07,-392119,392119,1.32288e+07
0,0,0,8.28113e+07,0,2.63727e+07,-275691,275691,1.32288e+07
0,0,0,8.28113e+07,0,2.63775e+07,-274439,274439,1.32288e+07
0,0,0,8.28113e+07,0,2.63823e+07,-273187,273187,1.32288e+07
0,0,0,8.28113e+07,0,2.8401e+07,-271935,271935,1.32288e+07
0,0,0,8.28113e+07,0,2.79852e+07,0,0,1.32288e+07
0,0,0,8.28113e+07,0,2.79924e+07,0,0,1.32288e+07
0,0,0,8.28113e+07,0,2.79997e+07,0,0,1.32288e+07
0,0,0,8.28113e+07,0,2.8007e+07,0,0,1.32288e+07
0,0,0,8.28113e+07,0,2.68819e+07,0,0,1.32288e+07
0,0,0,8.28113e+07,0,2.70454e+07,-100593,100593,1.32288e+07
0,0,0,8.28113e+07,0,2.70503e+07,-99296.1,99296.1,1.32288e+07
