0_Descoberto(id0),1_Torto / Santa Maria(id1),0_Corumba IV(id2),1_Lago Paranoa(id3)
1,1,1,1
0.998999,1,1,1
0.996997,1,1,1
0.98999,1,1,1
0.987988,1,1,1
0.985986,1,1,1
0.993994,1,1,1
0.995996,1,1,1
0.995996,1,1,1
0.992993,1,1,1
0.994995,1,0.998999,1
0.98999,1,1,1
0.992993,1,1,1
0.988989,1,1,1
0.986987,1,1,1
0.986987,1,1,1
0.976977,1,1,1
0.976977,1,1,1
0.976977,1,1,1
0.966967,1,1,1
0.957958,1,0.998999,1
0.944945,1,1,1
0.942943,1,1,1
0.931932,1,1,1
0.925926,1,1,1
0.916917,1,0.997998,1
0.907908,1,1,1
0.890891,1,1,1
0.881882,1,0.998999,1
0.881882,1,1,1
0.85986,1,1,1
0.836837,1,1,1
0.853854,1,1,1
0.854855,1,0.998999,1
0.834835,1,0.998999,1
0.828829,1,0.998999,1
0.837838,1,1,1
0.844845,1,1,1
0.837838,1,1,1
0.826827,1,0.997998,1
