0reliability,1reliability,0afford,1afford,0severity,1severity
1,1,0.0321582,0.027231,0,0
0.998999,1,0.032756,0.0255086,0,0
0.996997,1,0.0332694,0.0260063,0,0
0.98999,1,0.0338109,0.0265896,1,0
0.987988,1,0.0345416,0.0269254,1,0
0.985986,1,0.0364532,0.0284146,6,0
0.993994,1,0.037119,0.0334585,0,0
0.995996,1,0.0355185,0.0346518,0,0
0.995996,1,0.0359241,0.0346877,0,0
0.992993,1,0.0363217,0.0347257,0,0
0.994995,1,0.036854,0.0347674,0,0
0.98999,1,0.0373528,0.0369605,1,0
0.992993,1,0.0379139,0.0382688,0,0
0.988989,1,0.038584,0.0406868,3,0
0.986987,1,0.0394132,0.041429,3,0
0.986987,1,0.039926,0.0416582,4,0
0.976977,1,0.0401755,0.0431017,7,0
0.976977,1,0.040195,0.0440547,8,0
0.976977,1,0.0404168,0.0446269,8,0
0.966967,1,0.0407284,0.0452565,14,0
0.957958,1,0.0409591,0.045767,13,0
0.944945,1,0.0415014,0.0456313,14,0
0.942943,1,0.0418023,0.0457391,16,0
0.931932,1,0.0417824,0.0456844,15,0
0.925926,1,0.0420552,0.0453405,18,0
0.916917,1,0.0428284,0.0453471,22,0
0.907908,1,0.0432115,0.0457374,20,0
0.890891,1,0.0433136,0.0452529,19,0
0.881882,1,0.0432299,0.0451099,21,0
0.881882,1,0.0436895,0.0455405,21,0
0.85986,1,0.0440224,0.0454079,24,0
0.836837,1,0.0439502,0.0455118,20,0
0.853854,1,0.0443517,0.0457696,24,0
0.854855,1,0.0444727,0.0455116,24,0
0.834835,1,0.044342,0.0455374,30,0
0.828829,1,0.0443857,0.0454618,24,0
0.837838,1,0.04434,0.045205,22,0
0.844845,1,0.0444919,0.0454433,24,0
0.837838,1,0.0441726,0.0453686,22,0
0.826827,1,0.0445475,0.0454946,23,0
