0rest_m,1rest_m,0transf,1transf
1.000000,1.000000,1.71428,-1.71428
1.000000,1.000000,0.593974,-0.593974
1.000000,1.000000,0.593721,-0.593721
1.000000,1.000000,0.593468,-0.593468
1.000000,1.000000,0.593215,-0.593215
1.000000,1.000000,0.461119,-0.461119
1.000000,1.000000,0.460836,-0.460836
1.000000,1.000000,0.460553,-0.460553
1.000000,1.000000,0.46027,-0.46027
1.000000,1.000000,0.637082,-0.637082
1.000000,1.000000,0.636838,-0.636838
1.000000,1.000000,0.636595,-0.636595
1.000000,1.000000,0.636352,-0.636352
1.000000,1.000000,0.636108,-0.636108
1.000000,1.000000,0.592492,-0.592492
1.000000,1.000000,0.592239,-0.592239
1.000000,1.000000,0.591985,-0.591985
1.000000,1.000000,0.591732,-0.591732
1.000000,1.000000,0.608339,-0.608339
1.000000,1.000000,0.608089,-0.608089
1.000000,1.000000,0.60784,-0.60784
1.000000,1.000000,0.60759,-0.60759
1.000000,1.000000,0.547493,-0.547493
1.000000,1.000000,0.547229,-0.547229
1.000000,1.000000,0.546966,-0.546966
1.000000,1.000000,0.546702,-0.546702
1.000000,1.000000,0.546438,-0.546438
1.000000,1.000000,0.513245,-0.513245
1.000000,1.000000,0.512973,-0.512973
1.000000,1.000000,0.512702,-0.512702
1.000000,1.000000,0.51243,-0.51243
1.000000,1.000000,0.482784,-0.482784
1.000000,1.000000,0.482506,-0.482506
1.000000,1.000000,0.482228,-0.482228
1.000000,1.000000,0.48195,-0.48195
1.000000,1.000000,0.375549,-0.375549
1.000000,1.000000,0.375246,-0.375246
1.000000,1.000000,0.374944,-0.374944
1.000000,1.000000,0.374641,-0.374641
1.000000,1.000000,0.374338,-0.374338
1.000000,1.000000,0.438521,-0.438521
1.000000,1.000000,0.438232,-0.438232
1.000000,1.000000,0.437944,-0.437944
1.000000,1.000000,0.437656,-0.437656
1.000000,1.000000,0.496118,-0.496118
1.000000,1.000000,0.495842,-0.495842
1.000000,1.000000,0.495567,-0.495567
1.000000,1.000000,0.495292,-0.495292
1.000000,1.000000,0.617487,-0.617487
1.000000,1.000000,0.617239,-0.617239
1.000000,1.000000,0.616991,-0.616991
1.000000,1.000000,0.616743,-0.616743
1.000000,1.000000,0.616495,-0.616495
1.000000,1.000000,0.580747,-0.580747
1.000000,1.000000,0.580498,-0.580498
1.000000,1.000000,0.58025,-0.58025
1.000000,1.000000,0.580001,-0.580001
1.000000,1.000000,0.446357,-0.446357
1.000000,1.000000,0.446079,-0.446079
1.000000,1.000000,0.445801,-0.445801
1.000000,1.000000,0.445523,-0.445523
1.000000,1.000000,0.624421,-0.624421
1.000000,1.000000,0.624182,-0.624182
1.000000,1.000000,0.623944,-0.623944
1.000000,1.000000,0.623705,-0.623705
1.000000,1.000000,0.623466,-0.623466
1.000000,1.000000,0.579345,-0.579345
1.000000,1.000000,0.579097,-0.579097
1.000000,1.000000,0.578848,-0.578848
1.000000,1.000000,0.578599,-0.578599
1.000000,1.000000,0.595408,-0.595408
1.000000,1.000000,0.595163,-0.595163
1.000000,1.000000,0.594918,-0.594918
1.000000,1.000000,0.594672,-0.594672
1.000000,1.000000,0.533882,-0.533882
1.000000,1.000000,0.533623,-0.533623
1.000000,1.000000,0.533364,-0.533364
1.000000,1.000000,0.533105,-0.533105
1.000000,1.000000,0.532846,-0.532846
1.000000,1.000000,0.499274,-0.499274
1.000000,1.000000,0.499008,-0.499008
1.000000,1.000000,0.498741,-0.498741
1.000000,1.000000,0.498475,-0.498475
1.000000,1.000000,0.468493,-0.468493
1.000000,1.000000,0.46822,-0.46822
1.000000,1.000000,0.467947,-0.467947
1.000000,1.000000,0.467674,-0.467674
1.000000,1.000000,0.360049,-0.360049
1.000000,1.000000,0.359752,-0.359752
1.000000,1.000000,0.359455,-0.359455
1.000000,1.000000,0.359158,-0.359158
1.000000,1.000000,0.358861,-0.358861
1.000000,1.000000,0.423793,-0.423793
1.000000,1.000000,0.42351,-0.42351
1.000000,1.000000,0.423227,-0.423227
1.000000,1.000000,0.422944,-0.422944
1.000000,1.000000,0.482088,-0.482088
1.000000,1.000000,0.481818,-0.481818
1.000000,1.000000,0.481547,-0.481547
1.000000,1.000000,0.481277,-0.481277
1.000000,1.000000,0.604885,-0.604885
1.000000,1.000000,0.604642,-0.604642
1.000000,1.000000,0.604398,-0.604398
1.000000,1.000000,0.604155,-0.604155
1.000000,1.000000,0.603911,-0.603911
1.000000,1.000000,0.567761,-0.567761
1.000000,1.000000,0.567517,-0.567517
1.000000,1.000000,0.567274,-0.567274
1.000000,1.000000,0.567031,-0.567031
1.000000,1.000000,0.431867,-0.431867
1.000000,1.000000,0.431594,-0.431594
1.000000,1.000000,0.431322,-0.431322
1.000000,1.000000,0.43105,-0.43105
1.000000,1.000000,0.611997,-0.611997
1.000000,1.000000,0.611763,-0.611763
1.000000,1.000000,0.611529,-0.611529
1.000000,1.000000,0.611295,-0.611295
1.000000,1.000000,0.611061,-0.611061
1.000000,1.000000,0.566447,-0.566447
1.000000,1.000000,0.566203,-0.566203
1.000000,1.000000,0.56596,-0.56596
1.000000,1.000000,0.565716,-0.565716
1.000000,1.000000,0.582723,-0.582723
1.000000,1.000000,0.582483,-0.582483
1.000000,1.000000,0.582243,-0.582243
1.000000,1.000000,0.582003,-0.582003
1.000000,1.000000,0.520533,-0.520533
1.000000,1.000000,0.520279,-0.520279
1.000000,1.000000,0.520026,-0.520026
1.000000,1.000000,0.519772,-0.519772
1.000000,1.000000,0.519519,-0.519519
1.000000,1.000000,0.485577,-0.485577
1.000000,1.000000,0.485316,-0.485316
1.000000,1.000000,0.485055,-0.485055
1.000000,1.000000,0.484794,-0.484794
1.000000,1.000000,0.454483,-0.454483
1.000000,1.000000,0.454216,-0.454216
1.000000,1.000000,0.453948,-0.453948
1.000000,1.000000,0.453681,-0.453681
1.000000,1.000000,0.344858,-0.344858
1.000000,1.000000,0.344567,-0.344567
1.000000,1.000000,0.344276,-0.344276
1.000000,1.000000,0.343985,-0.343985
1.000000,1.000000,0.343694,-0.343694
1.000000,1.000000,0.409362,-0.409362
1.000000,1.000000,0.409085,-0.409085
1.000000,1.000000,0.408808,-0.408808
1.000000,1.000000,0.408531,-0.408531
1.000000,1.000000,0.468343,-0.468343
1.000000,1.000000,0.468079,-0.468079
1.000000,1.000000,0.467814,-0.467814
1.000000,1.000000,0.467549,-0.467549
1.000000,1.000000,0.592541,-0.592541
1.000000,1.000000,0.592303,-0.592303
1.000000,1.000000,0.592064,-0.592064
1.000000,1.000000,0.591826,-0.591826
1.000000,1.000000,0.591588,-0.591588
