0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost,0water_price
0,0,0,0,60,2.10784e+07,-1.09579e+07,1.09579e+07,1.25874e+07
0,0,0,0,0,2.2245e+07,-1.68325e+06,1.68325e+06,1.25874e+07
0,0,0,0,0,2.22496e+07,-1.68225e+06,1.68225e+06,1.25874e+07
0,0,0,0,0,2.22543e+07,-1.68125e+06,1.68125e+06,1.25874e+07
0,0,0,0,0,2.4366e+07,-1.68025e+06,1.68025e+06,1.25874e+07
0,0,0,0,0,2.37898e+07,-1.30549e+06,1.30549e+06,1.25874e+07
0,0,0,0,0,2.37949e+07,-1.30437e+06,1.30437e+06,1.25874e+07
0,0,0,0,0,2.38e+07,-1.30325e+06,1.30325e+06,1.25874e+07
0,0,0,0,0,2.08905e+07,-1.30213e+06,1.30213e+06,1.25874e+07
0,0,0,0,0,2.16761e+07,-1.80323e+06,1.80323e+06,1.25874e+07
0,0,0,0,0,2.16805e+07,-1.80227e+06,1.80227e+06,1.25874e+07
0,0,0,0,0,2.1685e+07,-1.80131e+06,1.80131e+06,1.25874e+07
0,0,0,0,0,2.16894e+07,-1.80035e+06,1.80035e+06,1.25874e+07
0,0,0,0,0,2.2418e+07,-1.79939e+06,1.79939e+06,1.25874e+07
0,0,0,0,0,2.22312e+07,-1.67537e+06,1.67537e+06,1.25874e+07
0,0,0,0,0,2.22358e+07,-1.67437e+06,1.67437e+06,1.25874e+07
0,0,0,0,0,2.22404e+07,-1.67337e+06,1.67337e+06,1.25874e+07
0,0,0,0,0,2.19625e+07,-1.67237e+06,1.67237e+06,1.25874e+07
0,0,0,0,0,2.20415e+07,-1.71922e+06,1.71922e+06,1.25874e+07
0,0,0,0,0,2.20461e+07,-1.71823e+06,1.71823e+06,1.25874e+07
0,0,0,0,0,2.20506e+07,-1.71724e+06,1.71724e+06,1.25874e+07
0,0,0,0,0,2.30372e+07,-1.71626e+06,1.71626e+06,1.25874e+07
0,0,0,0,0,2.27777e+07,-1.54535e+06,1.54535e+06,1.25874e+07
0,0,0,0,0,2.27825e+07,-1.54431e+06,1.54431e+06,1.25874e+07
0,0,0,0,0,2.27873e+07,-1.54327e+06,1.54327e+06,1.25874e+07
0,0,0,0,0,2.27921e+07,-1.54223e+06,1.54223e+06,1.25874e+07
0,0,0,0,0,2.29838e+07,-1.54119e+06,1.54119e+06,1.25874e+07
0,0,0,0,0,2.28431e+07,-1.44661e+06,1.44661e+06,1.25874e+07
0,0,0,0,0,2.28479e+07,-1.44554e+06,1.44554e+06,1.25874e+07
0,0,0,0,0,2.28527e+07,-1.44446e+06,1.44446e+06,1.25874e+07
0,0,0,0,0,2.33498e+07,-1.44339e+06,1.44339e+06,1.25874e+07
0,0,0,0,0,2.32249e+07,-1.35885e+06,1.35885e+06,1.25874e+07
0,0,0,0,0,2.32298e+07,-1.35775e+06,1.35775e+06,1.25874e+07
0,0,0,0,0,2.32347e+07,-1.35665e+06,1.35665e+06,1.25874e+07
0,0,0,0,0,2.48538e+07,-1.35555e+06,1.35555e+06,1.25874e+07
0,0,0,0,0,2.43899e+07,-1.05281e+06,1.05281e+06,1.25874e+07
0,0,0,0,0,2.43952e+07,-1.05161e+06,1.05161e+06,1.25874e+07
0,0,0,0,0,2.44005e+07,-1.05042e+06,1.05042e+06,1.25874e+07
0,0,0,0,0,2.44058e+07,-1.04922e+06,1.04922e+06,1.25874e+07
0,0,0,0,0,2.35148e+07,-1.04803e+06,1.04803e+06,1.25874e+07
0,0,0,0,0,2.38051e+07,-1.2302e+06,1.2302e+06,1.25874e+07
0,0,0,0,0,2.38102e+07,-1.22907e+06,1.22907e+06,1.25874e+07
0,0,0,0,0,2.38153e+07,-1.22793e+06,1.22793e+06,1.25874e+07
0,0,0,0,0,2.30346e+07,-1.22679e+06,1.22679e+06,1.25874e+07
0,0,0,0,0,2.32995e+07,-1.39277e+06,1.39277e+06,1.25874e+07
0,0,0,0,0,2.33044e+07,-1.39168e+06,1.39168e+06,1.25874e+07
0,0,0,0,0,2.33094e+07,-1.3906e+06,1.3906e+06,1.25874e+07
0,0,0,0,0,2.14598e+07,-1.38951e+06,1.38951e+06,1.25874e+07
0,0,0,0,0,2.20063e+07,-1.73693e+06,1.73693e+06,1.25874e+07
0,0,0,0,0,2.20109e+07,-1.73595e+06,1.73595e+06,1.25874e+07
0,0,0,0,0,2.20154e+07,-1.73497e+06,1.73497e+06,1.25874e+07
0,0,0,0,0,2.202e+07,-1.73399e+06,1.73399e+06,1.25874e+07
0,0,0,0,60,2.26393e+07,-1.73301e+06,1.73301e+06,1.25874e+07
0,0,0,0,0,2.24866e+07,-1.63097e+06,1.63097e+06,1.25874e+07
0,0,0,0,0,2.24912e+07,-1.62999e+06,1.62999e+06,1.25874e+07
0,0,0,0,0,2.24957e+07,-1.62901e+06,1.62901e+06,1.25874e+07
0,0,0,0,0,2.4642e+07,-1.62803e+06,1.62803e+06,1.25874e+07
0,0,0,0,0,2.40561e+07,-1.24715e+06,1.24715e+06,1.25874e+07
0,0,0,0,0,2.40612e+07,-1.24605e+06,1.24605e+06,1.25874e+07
0,0,0,0,0,2.40662e+07,-1.24495e+06,1.24495e+06,1.25874e+07
0,0,0,0,0,2.11088e+07,-1.24385e+06,1.24385e+06,1.25874e+07
0,0,0,0,0,2.19071e+07,-1.7532e+06,1.7532e+06,1.25874e+07
0,0,0,0,0,2.19115e+07,-1.75226e+06,1.75226e+06,1.25874e+07
0,0,0,0,0,2.19158e+07,-1.75131e+06,1.75131e+06,1.25874e+07
0,0,0,0,0,2.19202e+07,-1.75037e+06,1.75037e+06,1.25874e+07
0,0,0,0,0,2.26605e+07,-1.74943e+06,1.74943e+06,1.25874e+07
0,0,0,0,0,2.24705e+07,-1.62342e+06,1.62342e+06,1.25874e+07
0,0,0,0,0,2.2475e+07,-1.62243e+06,1.62243e+06,1.25874e+07
0,0,0,0,0,2.24796e+07,-1.62145e+06,1.62145e+06,1.25874e+07
0,0,0,0,0,2.2197e+07,-1.62047e+06,1.62047e+06,1.25874e+07
0,0,0,0,0,2.22771e+07,-1.66812e+06,1.66812e+06,1.25874e+07
0,0,0,0,0,2.22816e+07,-1.66715e+06,1.66715e+06,1.25874e+07
0,0,0,0,0,2.2286e+07,-1.66618e+06,1.66618e+06,1.25874e+07
0,0,0,0,0,2.32885e+07,-1.66521e+06,1.66521e+06,1.25874e+07
0,0,0,0,0,2.30246e+07,-1.49156e+06,1.49156e+06,1.25874e+07
0,0,0,0,0,2.30293e+07,-1.49054e+06,1.49054e+06,1.25874e+07
0,0,0,0,0,2.3034e+07,-1.48952e+06,1.48952e+06,1.25874e+07
0,0,0,0,0,2.30387e+07,-1.4885e+06,1.4885e+06,1.25874e+07
0,0,0,0,0,2.32333e+07,-1.48747e+06,1.48747e+06,1.25874e+07
0,0,0,0,0,2.30902e+07,-1.3914e+06,1.3914e+06,1.25874e+07
0,0,0,0,0,2.30949e+07,-1.39035e+06,1.39035e+06,1.25874e+07
0,0,0,0,0,2.30997e+07,-1.3893e+06,1.3893e+06,1.25874e+07
0,0,0,0,0,2.36046e+07,-1.38824e+06,1.38824e+06,1.25874e+07
0,0,0,0,0,2.34775e+07,-1.30238e+06,1.30238e+06,1.25874e+07
0,0,0,0,0,2.34824e+07,-1.3013e+06,1.3013e+06,1.25874e+07
0,0,0,0,0,2.34872e+07,-1.30022e+06,1.30022e+06,1.25874e+07
0,0,0,0,0,2.51321e+07,-1.29914e+06,1.29914e+06,1.25874e+07
0,0,0,0,0,2.46606e+07,-991557,991557,1.25874e+07
0,0,0,0,0,2.46658e+07,-990384,990384,1.25874e+07
0,0,0,0,0,2.4671e+07,-989210,989210,1.25874e+07
0,0,0,0,0,2.46762e+07,-988036,988036,1.25874e+07
0,0,0,0,0,2.37707e+07,-986862,986862,1.25874e+07
0,0,0,0,0,2.40655e+07,-1.172e+06,1.172e+06,1.25874e+07
0,0,0,0,0,2.40705e+07,-1.17089e+06,1.17089e+06,1.25874e+07
