0_Descoberto(id0),1_Torto / Santa Maria(id1),0_Corumba IV(id2)
1,1,1
1,0.996997,1
1,0.998999,1
0.997998,0.994995,1
0.996997,0.992993,1
0.994995,0.992993,1
0.996997,0.990991,1
0.995996,0.990991,1
0.996997,0.997998,1
0.991992,0.993994,1
0.993994,0.98999,0.998999
0.990991,0.990991,1
0.995996,0.995996,1
0.990991,0.993994,1
0.986987,0.992993,1
0.988989,0.991992,1
0.97998,0.98999,1
0.977978,0.991992,1
0.981982,0.991992,1
0.972973,0.992993,1
0.963964,0.990991,0.998999
0.952953,0.988989,1
0.952953,0.993994,1
0.937938,0.98999,1
0.927928,0.98999,1
0.916917,0.991992,0.998999
0.912913,0.992993,1
0.898899,0.995996,1
0.890891,0.996997,0.998999
0.887888,0.995996,1
0.863864,0.997998,1
0.840841,0.994995,1
0.855856,0.991992,1
0.856857,0.994995,0.998999
0.836837,0.996997,0.998999
0.832833,0.997998,0.998999
0.838839,0.995996,1
0.845846,0.993994,1
0.83984,0.994995,1
0.82983,0.994995,0.997998
