0reliability,1reliability,0afford,1afford,0severity,1severity
1,1,0.034967,0.028292,0,0
1,0.996997,0.0355919,0.0247253,0,0
1,0.998999,0.036098,0.0247669,0,0
0.997998,0.994995,0.0366459,0.0248078,0,0
0.996997,0.992993,0.0372339,0.0248477,0,0
0.994995,0.992993,0.0376462,0.0345055,0,0
0.996997,0.990991,0.0380991,0.034544,0,0
0.995996,0.990991,0.0386208,0.03458,0,0
0.996997,0.997998,0.0390618,0.0346155,0,0
0.991992,0.993994,0.0394942,0.0346502,0,0
0.993994,0.98999,0.039957,0.0346852,0,5
0.990991,0.990991,0.0405476,0.0347183,0,0
0.995996,0.995996,0.0407853,0.0347549,0,0
0.990991,0.993994,0.0412556,0.0351892,0,0
0.986987,0.992993,0.0416203,0.0399772,3,0
0.988989,0.991992,0.0421009,0.0407795,3,0
0.97998,0.98999,0.0427183,0.0412444,7,1
0.977978,0.991992,0.0430537,0.0420983,7,0
0.981982,0.991992,0.0434189,0.0426837,8,0
0.972973,0.992993,0.0438163,0.0426682,13,0
0.963964,0.990991,0.04425,0.0433265,13,0
0.952953,0.988989,0.0447117,0.0430073,12,5
0.952953,0.993994,0.045053,0.0432017,15,0
0.937938,0.98999,0.0453979,0.0430514,16,2
0.927928,0.98999,0.0456199,0.042656,18,1
0.916917,0.991992,0.0459765,0.0426047,21,0
0.912913,0.992993,0.0462803,0.0423915,19,0
0.898899,0.995996,0.0464875,0.0419871,18,0
0.890891,0.996997,0.0467078,0.041903,20,0
0.887888,0.995996,0.046928,0.0418836,23,0
0.863864,0.997998,0.0470525,0.041348,25,0
0.840841,0.994995,0.047245,0.0415899,20,0
0.855856,0.991992,0.0474105,0.0413782,24,0
0.856857,0.994995,0.0474637,0.0413091,24,0
0.836837,0.996997,0.0475867,0.0413306,30,0
0.832833,0.997998,0.0475705,0.0413456,24,0
0.838839,0.995996,0.0476352,0.0411719,22,0
0.845846,0.993994,0.0476116,0.0404944,24,0
0.83984,0.994995,0.047563,0.0408304,22,0
0.82983,0.994995,0.0477397,0.0407167,22,0
