0rest_m,1rest_m,0transf,1transf
1.000000,1.000000,0.6048,-0.6048
1.000000,1.000000,0.281663,-0.281663
1.000000,1.000000,0.280988,-0.280988
1.000000,1.000000,0.280312,-0.280312
1.000000,1.000000,0.279636,-0.279636
1.000000,1.000000,0.110197,-0.110197
1.000000,1.000000,0.109442,-0.109442
1.000000,1.000000,0.108686,-0.108686
1.000000,1.000000,0.10793,-0.10793
1.000000,1.000000,0.334082,-0.334082
1.000000,1.000000,0.333433,-0.333433
1.000000,1.000000,0.332783,-0.332783
1.000000,1.000000,0.332133,-0.332133
1.000000,1.000000,0.331483,-0.331483
1.000000,1.000000,0.275191,-0.275191
1.000000,1.000000,0.274515,-0.274515
1.000000,1.000000,0.273838,-0.273838
1.000000,1.000000,0.273161,-0.273161
1.000000,1.000000,0.294135,-0.294135
1.000000,1.000000,0.293468,-0.293468
1.000000,1.000000,0.2928,-0.2928
1.000000,1.000000,0.292133,-0.292133
1.000000,1.000000,0.21454,-0.21454
1.000000,1.000000,0.213837,-0.213837
1.000000,1.000000,0.213132,-0.213132
1.000000,1.000000,0.212428,-0.212428
1.000000,1.000000,0.211724,-0.211724
1.000000,1.000000,0.168641,-0.168641
1.000000,1.000000,0.167916,-0.167916
1.000000,1.000000,0.167191,-0.167191
1.000000,1.000000,0.166466,-0.166466
1.000000,1.000000,0.127901,-0.127901
1.000000,1.000000,0.127158,-0.127158
1.000000,1.000000,0.126415,-0.126415
1.000000,1.000000,0.125671,-0.125671
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0,-0
1.000000,1.000000,0.0672982,-0.0672982
1.000000,1.000000,0.0665281,-0.0665281
1.000000,1.000000,0.0657579,-0.0657579
1.000000,1.000000,0.0649874,-0.0649874
1.000000,1.000000,0.140136,-0.140136
1.000000,1.000000,0.139401,-0.139401
1.000000,1.000000,0.138665,-0.138665
1.000000,1.000000,0.137929,-0.137929
1.000000,1.000000,0.295606,-0.295606
1.000000,1.000000,0.294944,-0.294944
1.000000,1.000000,0.294282,-0.294282
1.000000,1.000000,0.293619,-0.293619
1.000000,1.000000,0.292957,-0.292957
1.000000,1.000000,0.24633,-0.24633
1.000000,1.000000,0.245667,-0.245667
1.000000,1.000000,0.245004,-0.245004
1.000000,1.000000,0.24434,-0.24434
1.000000,1.000000,0.0707644,-0.0707644
1.000000,1.000000,0.0700225,-0.0700225
1.000000,1.000000,0.0692801,-0.0692801
1.000000,1.000000,0.0685378,-0.0685378
1.000000,1.000000,0.300264,-0.300264
1.000000,1.000000,0.299626,-0.299626
1.000000,1.000000,0.298988,-0.298988
1.000000,1.000000,0.29835,-0.29835
1.000000,1.000000,0.297711,-0.297711
1.000000,1.000000,0.240074,-0.240074
1.000000,1.000000,0.23941,-0.23941
1.000000,1.000000,0.238745,-0.238745
1.000000,1.000000,0.23808,-0.23808
1.000000,1.000000,0.259593,-0.259593
1.000000,1.000000,0.258938,-0.258938
1.000000,1.000000,0.258283,-0.258283
1.000000,1.000000,0.257628,-0.257628
1.000000,1.000000,0.178182,-0.178182
1.000000,1.000000,0.177491,-0.177491
1.000000,1.000000,0.1768,-0.1768
1.000000,1.000000,0.176108,-0.176108
1.000000,1.000000,0.175417,-0.175417
1.000000,1.000000,0.131323,-0.131323
