0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0agg_price,0res_price,0gross_rev,0drought_cost,0cont_contrib,0debt_serv,0infra_npv,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1agg_price,1res_price,1gross_rev,1drought_cost,1cont_contrib,1debt_serv,1infra_npv
85.139,85.139,4.32658,0,0,2.42769,2.46977,0,0,4.47552,4.26604e+06,2.91939e+06,1.03566e+07,0,0,0,0,62.3362,61.308,2.22306,1,1,1.4082,1.43262,0,0,2.1168,8.86569e+06,3.90216e+06,1.24847e+07,0,0,0,0
85.139,85.139,3.72861,0,0,2.42825,2.47034,0,0.454948,4.47552,4.26604e+06,2.91939e+06,1.0359e+07,0,0,0,0,62.3362,61.308,2.5591,1,1,1.40853,1.43295,0,1.08798,2.1168,8.86569e+06,3.90216e+06,1.24876e+07,0,0,0,0
85.139,85.139,6.65715,0,0,2.42881,2.47092,0,0.455054,4.47552,4.26604e+06,2.91939e+06,1.03614e+07,0,0,0,0,62.3362,61.308,4.1724,1,1,1.40886,1.43328,0,1.08823,2.1168,8.86569e+06,3.90216e+06,1.24905e+07,0,0,0,0
85.139,85.139,4.64124,0,0,2.42937,2.47149,0,0.455159,4.47552,4.26604e+06,2.91939e+06,1.03638e+07,0,0,0,0,62.3362,61.308,3.12511,1,1,1.40918,1.43361,0,1.08848,2.1168,8.86569e+06,3.90216e+06,1.24934e+07,0,0,0,0
85.139,85.139,3.63783,0,0,2.66695,2.71318,0,0.455264,4.47552,4.26604e+06,2.91939e+06,1.13773e+07,0,0,0,0,62.3362,61.308,2.67995,1,1,1.57524,1.60255,0,1.08873,2.1168,8.86569e+06,3.90216e+06,1.39656e+07,0,0,0,0
85.139,85.139,4.16203,0,0,2.66756,2.71381,0,0.499786,4.47552,4.26604e+06,2.91939e+06,1.13799e+07,0,0,0,0,62.3362,61.308,3.30137,1,1,1.5756,1.60292,0,1.21703,2.1168,8.86569e+06,3.90216e+06,1.39688e+07,0,0,0,0
85.139,85.139,5.53368,0,0,2.66818,2.71444,0,0.499901,4.47552,4.26604e+06,2.91939e+06,1.13826e+07,0,0,0,0,62.3362,61.308,3.51296,1,1,1.57597,1.60329,0,1.21731,2.1168,8.86569e+06,3.90216e+06,1.3972e+07,0,0,0,0
85.139,85.139,4.7462,0,0,2.6688,2.71507,0,0.500017,4.47552,4.26604e+06,2.91939e+06,1.13852e+07,0,0,0,0,62.3362,61.308,3.4502,1,1,1.57633,1.60366,0,1.21759,2.1168,8.86569e+06,3.90216e+06,1.39753e+07,0,0,0,0
85.139,85.139,4.77042,0,0,2.33105,2.37146,0,0.500133,4.47552,4.26604e+06,2.91939e+06,9.94435e+06,0,0,0,0,62.3362,61.308,3.56478,1,1,1.35408,1.37756,0,1.21787,2.1168,8.86569e+06,3.90216e+06,1.20049e+07,0,0,0,0
85.139,85.139,7.91045,0,0,2.33159,2.37201,0,0.436839,4.47552,4.26604e+06,2.91939e+06,9.94666e+06,0,0,0,0,62.3362,61.308,6.4261,1,1,1.3544,1.37788,0,1.04616,2.1168,8.86569e+06,3.90216e+06,1.20077e+07,0,0,0,0
85.139,85.139,6.94136,0,0,2.33213,2.37256,0,0.43694,4.47552,4.26604e+06,2.91939e+06,9.94896e+06,0,0,0,0,62.3362,61.308,4.29534,1,1,1.35471,1.37819,0,1.04641,2.1168,8.86569e+06,3.90216e+06,1.20104e+07,0,0,0,0
85.139,85.139,5.46957,0,0,2.33267,2.37311,0,0.437042,4.47552,4.26604e+06,2.91939e+06,9.95127e+06,0,0,0,0,62.3362,61.308,3.33289,1,1,1.35502,1.37851,0,1.04665,2.1168,8.86569e+06,3.90216e+06,1.20132e+07,0,0,0,0
85.139,85.139,4.2943,0,0,2.33321,2.37366,0,0.437143,4.47552,4.26604e+06,2.91939e+06,9.95357e+06,0,0,0,0,62.3362,61.308,2.91615,1,1,1.35534,1.37883,0,1.04689,2.1168,8.86569e+06,3.90216e+06,1.2016e+07,0,0,0,0
85.139,85.139,4.92422,0,0,2.41902,2.46096,0,0.437244,4.47552,4.26604e+06,2.91939e+06,1.03196e+07,0,0,0,0,62.3362,61.308,4.90689,1,1,1.41017,1.43462,0,1.04713,2.1168,8.86569e+06,3.90216e+06,1.25022e+07,0,0,0,0
85.139,85.139,3.90278,0,0,2.41958,2.46153,0,0.453325,4.47552,4.26604e+06,2.91939e+06,1.0322e+07,0,0,0,0,62.3362,61.308,4.02329,1,1,1.4105,1.43495,0,1.0895,2.1168,8.86569e+06,3.90216e+06,1.25051e+07,0,0,0,0
85.139,85.139,3.81886,0,0,2.42015,2.4621,0,0.45343,4.47552,4.26604e+06,2.91939e+06,1.03244e+07,0,0,0,0,62.3362,61.308,3.82914,1,1,1.41083,1.43529,0,1.08975,2.1168,8.86569e+06,3.90216e+06,1.2508e+07,0,0,0,0
85.139,85.139,3.57242,0,0,2.42071,2.46267,0,0.453535,4.47552,4.26604e+06,2.91939e+06,1.03268e+07,0,0,0,0,62.3362,61.308,3.58836,1,1,1.41115,1.43562,0,1.09001,2.1168,8.86569e+06,3.90216e+06,1.25109e+07,0,0,0,0
85.139,85.139,3.10785,0,0,2.3879,2.42929,0,0.45364,4.47552,4.26604e+06,2.91939e+06,1.01869e+07,0,0,0,0,62.3362,61.308,3.41861,1,1,1.39029,1.41439,0,1.09026,2.1168,8.86569e+06,3.90216e+06,1.23258e+07,0,0,0,0
85.041,85.139,2.70824,0,0,2.38845,2.42986,0,0.447492,4.47552,4.26604e+06,2.91939e+06,1.01892e+07,0,0,0,0,62.3362,61.308,3.22796,1,1,1.39061,1.41472,0,1.07413,2.1168,8.86569e+06,3.90216e+06,1.23287e+07,0,0,0,0
