0_Descoberto(id0),1_Torto / Santa Maria(id1),0_Corumba IV(id2)
1,1,1
0.998999,0.996997,1
0.996997,0.998999,1
0.98999,0.994995,1
0.987988,0.992993,1
0.985986,0.992993,1
0.993994,0.990991,1
0.995996,0.990991,1
0.994995,0.996997,1
0.990991,0.992993,1
0.992993,0.987988,0.998999
0.98999,0.986987,1
0.992993,0.994995,1
0.988989,0.993994,1
0.986987,0.991992,1
0.986987,0.98999,1
0.976977,0.987988,1
0.975976,0.98999,1
0.976977,0.986987,1
0.967968,0.987988,1
0.957958,0.98999,0.998999
0.943944,0.987988,1
0.940941,0.988989,1
0.930931,0.988989,1
0.923924,0.983984,1
0.916917,0.985986,0.997998
0.907908,0.98999,1
0.88989,0.990991,1
0.880881,0.991992,0.998999
0.880881,0.991992,1
0.85986,0.995996,1
0.836837,0.992993,1
0.853854,0.98999,1
0.852853,0.990991,0.998999
0.834835,0.993994,0.998999
0.828829,0.992993,0.998999
0.837838,0.990991,1
0.844845,0.990991,1
0.837838,0.98999,1
0.826827,0.990991,0.997998
