0reliability,1reliability,0afford,1afford,0severity,1severity
1,1,0.0321582,0.027231,0,0
0.998999,0.996997,0.032756,0.0255086,0,0
0.996997,0.998999,0.0332694,0.0260063,0,0
0.98999,0.994995,0.0338109,0.0265896,1,0
0.987988,0.992993,0.0345416,0.0269254,1,0
0.985986,0.992993,0.0364532,0.0284146,6,0
0.993994,0.990991,0.037119,0.0334585,0,0
0.995996,0.990991,0.0355185,0.0346518,0,0
0.994995,0.996997,0.0359553,0.0346877,0,0
0.990991,0.992993,0.0363644,0.0347257,0,0
0.992993,0.987988,0.0368599,0.0347674,0,9
0.98999,0.986987,0.0373957,0.0370938,1,3
0.992993,0.994995,0.0379139,0.0382688,0,0
0.988989,0.993994,0.0385959,0.0406868,3,0
0.986987,0.991992,0.0394461,0.041429,3,0
0.986987,0.98999,0.039926,0.0416582,4,2
0.976977,0.987988,0.0406013,0.0424964,7,4
0.975976,0.98999,0.0410422,0.043573,8,4
0.976977,0.986987,0.0404782,0.0446269,8,7
0.967968,0.987988,0.0410486,0.0451224,14,2
0.957958,0.98999,0.0411103,0.0457278,13,4
0.943944,0.987988,0.041713,0.0456176,14,9
0.940941,0.988989,0.0420009,0.0455318,16,3
0.930931,0.988989,0.0420834,0.0456634,15,4
0.923924,0.983984,0.0425059,0.0453405,18,11
0.916917,0.985986,0.0428431,0.0453028,22,4
0.907908,0.98999,0.0433252,0.0455961,20,4
0.88989,0.990991,0.0433966,0.045234,19,0
0.880881,0.991992,0.0432299,0.0451099,21,0
0.880881,0.991992,0.0437856,0.0455241,21,0
0.85986,0.995996,0.0441146,0.0454079,24,0
0.836837,0.992993,0.0439654,0.0454731,20,0
0.853854,0.98999,0.0445074,0.045572,24,1
0.852853,0.990991,0.0444931,0.0454134,24,0
0.834835,0.993994,0.044342,0.0455374,30,0
0.828829,0.992993,0.0444374,0.0454618,24,0
0.837838,0.990991,0.0444869,0.0451505,22,0
0.844845,0.990991,0.0446191,0.0454262,24,0
0.837838,0.98999,0.0441726,0.0453589,22,3
0.826827,0.990991,0.0445856,0.0454946,23,0
