0_Descoberto(id0),1_Torto / Santa Maria(id1),0_Corumba IV(id2),1_Lago Paranoa(id3)
1,1,1,1
0.998999,1,1,1
0.996997,1,1,1
0.98999,0.998999,1,1
0.987988,1,1,1
0.985986,1,1,1
0.98999,1,1,1
0.994995,1,1,1
0.994995,1,0.998999,1
0.98999,0.997998,1,1
0.991992,0.998999,1,1
0.990991,1,1,1
0.990991,1,1,1
0.990991,0.998999,1,1
0.987988,0.998999,1,1
0.983984,1,1,1
0.982983,1,1,1
0.977978,0.998999,1,1
0.972973,0.998999,1,1
0.961962,0.998999,1,1
0.957958,0.997998,0.998999,1
0.944945,0.997998,1,1
0.935936,0.995996,1,1
0.930931,0.996997,1,1
0.912913,0.995996,1,1
0.908909,0.995996,0.997998,1
0.902903,0.995996,1,1
0.88989,0.998999,1,1
0.872873,0.998999,0.998999,1
0.87988,0.998999,1,1
0.871872,1,1,1
0.847848,0.998999,1,1
0.852853,0.994995,1,1
0.85986,0.996997,0.998999,1
0.844845,0.998999,0.998999,1
0.823824,0.997998,1,1
0.836837,0.996997,1,1
0.846847,0.995996,1,1
0.842843,0.996997,1,1
0.831832,0.998999,0.997998,1
