0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost,0water_price
0,0,0,0,0.000499492,1.81041e+07,0,0,1.40784e+07
0,0,0,0,0,1.81098e+07,0,0,1.40784e+07
0,0,0,0,0,1.81155e+07,0,0,1.40784e+07
0,0,0,0,0,1.81212e+07,0,0,1.40784e+07
0,0,0,0,0,2.00315e+07,0,0,1.40784e+07
0,0,0,0,0,2.00378e+07,0,0,1.40784e+07
0,0,0,0,0,2.00441e+07,0,0,1.40784e+07
0,0,0,0,0,2.00504e+07,0,0,1.40784e+07
0,0,0,0,0,1.74043e+07,0,0,1.40784e+07
0,0,0,0,0,1.74097e+07,0,0,1.40784e+07
0,0,0,0,0,1.74152e+07,0,0,1.40784e+07
0,0,0,0,0,1.74206e+07,0,0,1.40784e+07
0,0,0,0,0,1.74261e+07,0,0,1.40784e+07
0,0,0,0,0,1.80926e+07,0,0,1.40784e+07
0,0,0,0,0,1.80983e+07,0,0,1.40784e+07
0,0,0,0,0,1.8104e+07,0,0,1.40784e+07
0,0,0,0,0,1.81096e+07,0,0,1.40784e+07
0,0,0,0,0,1.78572e+07,0,0,1.40784e+07
0,0,0,0,0,1.78628e+07,0,0,1.40784e+07
0,0,0,0,0,1.78684e+07,0,0,1.40784e+07
0,0,0,0,0,1.7874e+07,0,0,1.40784e+07
0,0,0,0,0,1.87724e+07,0,0,1.40784e+07
0,0,0,0,0,1.87783e+07,0,0,1.40784e+07
0,0,0,0,0,1.87842e+07,0,0,1.40784e+07
0,0,0,0,0,1.87901e+07,0,0,1.40784e+07
0,0,0,0,0,1.8796e+07,0,0,1.40784e+07
0,0,0,0,0,1.88978e+07,0,0,1.40784e+07
0,0,0,0,0,1.89037e+07,0,0,1.40784e+07
0,0,0,0,0,1.89096e+07,0,0,1.40784e+07
0,0,0,0,0,1.89155e+07,0,0,1.40784e+07
0,0,0,0,0,1.93711e+07,0,0,1.40784e+07
0,0,0,0,0,1.93771e+07,0,0,1.40784e+07
0,0,0,0,0,1.93832e+07,0,0,1.40784e+07
0,0,0,0,0,1.93893e+07,0,0,1.40784e+07
0,0,0,0,0,2.08357e+07,0,0,1.40784e+07
0,0,0,0,0,2.08423e+07,0,0,1.40784e+07
0,0,0,0,0,2.08488e+07,0,0,1.40784e+07
0,0,0,0,0,2.08553e+07,0,0,1.40784e+07
0,0,0,0,0,2.08618e+07,0,0,1.40784e+07
0,0,0,0,0,2.00878e+07,0,0,1.40784e+07
0,0,0,0,0,2.00941e+07,0,0,1.40784e+07
0,0,0,0,0,2.01004e+07,0,0,1.40784e+07
0,0,0,0,0,2.01067e+07,0,0,1.40784e+07
0,0,0,0,0,2.09274e+07,-958473,958473,1.40784e+07
0,0,0,0,0,2.09335e+07,-958473,958473,1.40784e+07
0,0,0,0,0,2.09396e+07,-958473,958473,1.40784e+07
0,0,0,0,0,2.09457e+07,-958473,958473,1.40784e+07
0,0,0,0,0,1.92991e+07,-958473,958473,1.40784e+07
0,0,0,0,0,1.93047e+07,-958473,958473,1.40784e+07
0,0,0,0,0,1.78191e+07,0,0,1.40784e+07
0,0,0,0,0,1.78246e+07,0,0,1.40784e+07
0,0,0,0,0,1.78302e+07,0,0,1.40784e+07
0,0,0,0,0.000499492,1.84012e+07,0,0,1.40784e+07
0,0,0,0,0,1.84068e+07,0,0,1.40784e+07
0,0,0,0,0,1.84123e+07,0,0,1.40784e+07
0,0,0,0,0,1.84179e+07,0,0,1.40784e+07
0,0,0,0,0,2.03593e+07,0,0,1.40784e+07
0,0,0,0,0,2.03655e+07,0,0,1.40784e+07
0,0,0,0,0,2.03717e+07,0,0,1.40784e+07
0,0,0,0,0,2.03779e+07,0,0,1.40784e+07
0,0,0,0,0,1.76883e+07,0,0,1.40784e+07
0,0,0,0,0,1.76937e+07,0,0,1.40784e+07
0,0,0,0,0,1.7699e+07,0,0,1.40784e+07
0,0,0,0,0,1.77044e+07,0,0,1.40784e+07
0,0,0,0,0,1.77098e+07,0,0,1.40784e+07
0,0,0,0,0,1.83869e+07,0,0,1.40784e+07
0,0,0,0,0,1.83925e+07,0,0,1.40784e+07
0,0,0,0,0,1.83981e+07,0,0,1.40784e+07
0,0,0,0,0,1.84037e+07,0,0,1.40784e+07
0,0,0,0,0,1.81469e+07,0,0,1.40784e+07
0,0,0,0,0,1.81524e+07,0,0,1.40784e+07
