0_Descoberto(id0),1_Torto / Santa Maria(id1),0_Corumba IV(id2)
1,1,1
1,1,1
1,1,1
0.996997,1,1
0.996997,1,1
0.995996,1,1
0.992993,1,1
0.995996,1,1
0.994995,1,0.998999
0.98999,1,1
0.991992,1,1
0.990991,1,1
0.990991,1,1
0.990991,1,1
0.987988,1,1
0.984985,1,1
0.984985,1,1
0.978979,1,1
0.972973,1,1
0.962963,1,1
0.958959,1,0.998999
0.941942,1,1
0.931932,1,1
0.928929,1,1
0.915916,1,1
0.908909,1,0.997998
0.904905,1,1
0.887888,1,1
0.872873,1,0.998999
0.878879,1,1
0.871872,1,1
0.847848,1,1
0.852853,1,1
0.85986,1,0.998999
0.845846,1,0.998999
0.823824,0.998999,0.998999
0.836837,0.998999,1
0.846847,1,1
0.842843,1,1
0.831832,1,0.997998
