0reliability,1reliability,0afford,1afford,0severity,1severity
1,1,0.0333901,0.0142997,0,0
1,1,0.0340516,0.0145492,0,0
1,1,0.034705,0.0147928,0,0
0.996997,1,0.0353287,0.0150369,0.028028,0
0.996997,1,0.0359641,0.0152772,0.013013,0
0.995996,1,0.0365371,0.0155103,0.026026,0
0.992993,1,0.0370462,0.0157328,0.035035,0
0.995996,1,0.0376391,0.0159558,0.019019,0
0.994995,1,0.0382584,0.0161791,0.033033,0
0.98999,1,0.0389903,0.0169959,0.0510511,0
0.991992,1,0.0396584,0.0176954,0.043043,0
0.990991,1,0.0409581,0.0186519,0.0710711,0
0.990991,1,0.0414611,0.0187412,0.0760761,0
0.990991,1,0.0432716,0.0195596,0.0620621,0
0.987988,1,0.0441977,0.0198619,0.0870871,0
0.984985,1,0.0445966,0.0199752,0.11011,0
0.984985,1,0.0458224,0.0203878,0.111111,0
0.978979,1,0.0465984,0.0207239,0.146146,0
0.972973,1,0.0471455,0.020896,0.217217,0
0.962963,1,0.0477842,0.021077,0.327327,0
0.958959,1,0.0480983,0.0211883,0.332332,0
0.941942,1,0.0485306,0.0212979,0.51952,0
0.931932,1,0.0487358,0.0214377,0.588589,0
0.928929,1,0.0486874,0.0214274,0.730731,0
0.915916,1,0.0488778,0.0215111,0.783784,0
0.908909,1,0.0488892,0.0214959,0.941942,0
0.904905,1,0.0491112,0.0214922,0.98999,0
0.887888,1,0.049078,0.0214772,1.02402,0
0.872873,1,0.0491962,0.0214886,1.28228,0
0.878879,1,0.0496109,0.0215598,1.28929,0
0.871872,1,0.049688,0.0216506,1.4024,0
0.847848,1,0.0495622,0.0216797,1.40841,0
0.852853,1,0.0502028,0.0219313,1.6036,0
0.85986,1,0.050382,0.0218529,1.40741,0
0.845846,1,0.0505158,0.0219898,1.63463,0
0.823824,0.998999,0.0498783,0.0217525,1.67968,0.004004
0.836837,0.998999,0.0499891,0.0216256,1.52052,0.00600601
0.846847,1,0.0500914,0.0217988,1.54354,0
0.842843,1,0.0501187,0.0217862,1.46547,0
0.831832,1,0.0501652,0.0219527,1.67367,0
