0st_vol,0capacity,0net_inf,0st_rof,0lt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0agg_price,0res_price,0gross_rev,0drought_cost,0cont_contrib,0debt_serv,0infra_npv,1st_vol,1capacity,1net_inf,1st_rof,1lt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1agg_price,1res_price,1gross_rev,1drought_cost,1cont_contrib,1debt_serv,1infra_npv
84.5783,85.139,2.49074,0,0,2.46977,2.46977,0,0,4.47552,4.27678e+06,2.70226e+06,1.05627e+07,0,0,0,0,62.3362,61.308,3.84055,0,1,1.43262,1.43262,0,0,2.1168,8.88802e+06,3.61194e+06,1.27331e+07,0,0,0,0
85.139,85.139,3.87433,0,0,2.47043,2.47043,0,0.462835,4.47552,4.27678e+06,2.70226e+06,1.05655e+07,0,0,0,0,62.3362,61.308,4.85768,0,1,1.433,1.433,0,1.10684,2.1168,8.88802e+06,3.61194e+06,1.27365e+07,0,0,0,0
85.139,85.139,8.07727,0,0,2.47109,2.47109,0,0.462959,4.47552,4.27678e+06,2.70226e+06,1.05683e+07,0,0,0,0,62.3362,61.308,7.04404,0,1,1.43338,1.43338,0,1.10713,2.1168,8.88802e+06,3.61194e+06,1.27399e+07,0,0,0,0
85.139,85.139,9.14621,0,0,2.47175,2.47175,0,0.463082,4.47552,4.27678e+06,2.70226e+06,1.05711e+07,0,0,0,0,62.3362,61.308,7.55634,0,1,1.43376,1.43376,0,1.10743,2.1168,8.88802e+06,3.61194e+06,1.27433e+07,0,0,0,0
85.139,85.139,10.4163,0,0,2.71356,2.71356,0,0.463206,4.47552,4.27678e+06,2.70226e+06,1.16053e+07,0,0,0,0,62.3362,61.308,7.77625,0,1,1.60277,1.60277,0,1.10772,2.1168,8.88802e+06,3.61194e+06,1.42454e+07,0,0,0,0
85.139,85.139,3.93848,0,0,2.71428,2.71428,0,0.508521,4.47552,4.27678e+06,2.70226e+06,1.16084e+07,0,0,0,0,62.3362,61.308,5.05997,0,1,1.6032,1.6032,0,1.2383,2.1168,8.88802e+06,3.61194e+06,1.42492e+07,0,0,0,0
85.139,85.139,4.78306,0,0,2.71501,2.71501,0,0.508657,4.47552,4.27678e+06,2.70226e+06,1.16115e+07,0,0,0,0,62.3362,61.308,6.05317,0,1,1.60362,1.60362,0,1.23863,2.1168,8.88802e+06,3.61194e+06,1.4253e+07,0,0,0,0
85.139,85.139,4.72226,0,0,2.71573,2.71573,0,0.508792,4.47552,4.27678e+06,2.70226e+06,1.16146e+07,0,0,0,0,62.3362,61.308,5.50517,0,1,1.60405,1.60405,0,1.23896,2.1168,8.88802e+06,3.61194e+06,1.42568e+07,0,0,0,0
85.139,85.139,6.29116,0,0,2.37213,2.37213,0,0.508928,4.47552,4.27678e+06,2.70226e+06,1.01451e+07,0,0,0,0,62.3362,61.308,6.7443,0,1,1.37794,1.37794,0,1.23929,2.1168,8.88802e+06,3.61194e+06,1.22472e+07,0,0,0,0
85.139,85.139,6.58579,0,0,2.37276,2.37276,0,0.444536,4.47552,4.27678e+06,2.70226e+06,1.01478e+07,0,0,0,0,62.3362,61.308,6.31871,0,1,1.37831,1.37831,0,1.0646,2.1168,8.88802e+06,3.61194e+06,1.22504e+07,0,0,0,0
85.139,85.139,4.59594,0,0,2.37339,2.37339,0,0.444655,4.47552,4.27678e+06,2.70226e+06,1.01505e+07,0,0,0,0,62.3362,61.308,4.92024,0,1,1.37868,1.37868,0,1.06488,2.1168,8.88802e+06,3.61194e+06,1.22537e+07,0,0,0,0
85.139,85.139,6.34508,0,0,2.37402,2.37402,0,0.444773,4.47552,4.27678e+06,2.70226e+06,1.01532e+07,0,0,0,0,62.3362,61.308,6.15727,0,1,1.37904,1.37904,0,1.06516,2.1168,8.88802e+06,3.61194e+06,1.2257e+07,0,0,0,0
85.139,85.139,7.09076,0,0,2.37466,2.37466,0,0.444892,4.47552,4.27678e+06,2.70226e+06,1.01559e+07,0,0,0,0,62.3362,61.308,7.37341,0,1,1.37941,1.37941,0,1.06545,2.1168,8.88802e+06,3.61194e+06,1.22602e+07,0,0,0,0
85.139,85.139,5.62408,0,0,2.46208,2.46208,0,0.44501,4.47552,4.27678e+06,2.70226e+06,1.05298e+07,0,0,0,0,62.3362,61.308,4.35326,0,1,1.43527,1.43527,0,1.06573,2.1168,8.88802e+06,3.61194e+06,1.27567e+07,0,0,0,0
85.139,85.139,3.91652,0,0,2.46273,2.46273,0,0.461393,4.47552,4.27678e+06,2.70226e+06,1.05326e+07,0,0,0,0,62.3362,61.308,4.26256,0,1,1.43565,1.43565,0,1.10889,2.1168,8.88802e+06,3.61194e+06,1.27601e+07,0,0,0,0
85.139,85.139,3.60204,0,0,2.46339,2.46339,0,0.461516,4.47552,4.27678e+06,2.70226e+06,1.05354e+07,0,0,0,0,62.3362,61.308,4.37322,0,1,1.43604,1.43604,0,1.10919,2.1168,8.88802e+06,3.61194e+06,1.27635e+07,0,0,0,0
85.139,85.139,3.35192,0,0,2.46404,2.46404,0,0.461639,4.47552,4.27678e+06,2.70226e+06,1.05382e+07,0,0,0,0,62.3362,61.308,5.47428,0,1,1.43642,1.43642,0,1.10948,2.1168,8.88802e+06,3.61194e+06,1.27669e+07,0,0,0,0
85.139,85.139,3.77059,0,0,2.43073,2.43073,0,0.461762,4.47552,4.27678e+06,2.70226e+06,1.03957e+07,0,0,0,0,62.3362,61.308,3.76131,0,1,1.41523,1.41523,0,1.10978,2.1168,8.88802e+06,3.61194e+06,1.25786e+07,0,0,0,0
85.139,85.139,3.71482,0,0,2.43138,2.43138,0,0.455519,4.47552,4.27678e+06,2.70226e+06,1.03985e+07,0,0,0,0,62.3362,61.308,2.96374,0,1,1.4156,1.4156,0,1.0934,2.1168,8.88802e+06,3.61194e+06,1.25819e+07,0,0,0,0
85.139,85.139,3.27436,0,0,2.43203,2.43203,0,0.45564,4.47552,4.27678e+06,2.70226e+06,1.04012e+07,0,0,0,0,62.3362,61.308,2.8877,0,1,1.41598,1.41598,0,1.09369,2.1168,8.88802e+06,3.61194e+06,1.25853e+07,0,0,0,0
85.139,85.139,2.84457,0,0,2.43268,2.43268,0,0.455762,4.47552,4.27678e+06,2.70226e+06,1.0404e+07,0,0,0,0,62.3362,61.308,3.05319,0,1,1.41636,1.41636,0,1.09399,2.1168,8.88802e+06,3.61194e+06,1.25886e+07,0,0,0,0
84.9913,85.139,2.70394,0,0,2.54875,2.54875,0,0.455883,4.47552,4.27678e+06,2.70226e+06,1.09005e+07,0,0,0,0,62.3362,61.308,3.0966,0,1,1.49333,1.49333,0,1.09428,2.1168,8.88802e+06,3.61194e+06,1.32728e+07,0,0,0,0
