0_Descoberto(id0),1_Torto / Santa Maria(id1),0_Corumba IV(id2)
1,0.974975,1
0.998999,0.934935,1
0.996997,0.924925,1
0.98999,0.918919,1
0.987988,0.900901,1
0.991992,0.888889,1
0.992993,0.898899,1
0.995996,0.887888,1
0.993994,0.874875,0.998999
0.985986,0.875876,1
0.990991,0.881882,1
0.988989,0.883884,1
0.990991,0.908909,1
0.98999,0.88989,1
0.987988,0.864865,1
0.982983,0.848849,1
0.981982,0.862863,1
0.977978,0.862863,1
0.970971,0.863864,1
0.962963,0.872873,1
0.957958,0.857858,0.998999
0.940941,0.870871,1
0.931932,0.861862,1
0.926927,0.85986,1
0.915916,0.870871,1
0.908909,0.871872,0.997998
0.904905,0.866867,1
0.885886,0.88989,1
0.871872,0.890891,0.998999
0.877878,0.885886,1
0.870871,0.875876,1
0.846847,0.871872,1
0.852853,0.880881,1
0.85986,0.886887,0.998999
0.844845,0.876877,0.998999
0.822823,0.872873,0.998999
0.836837,0.874875,1
0.848849,0.884885,1
0.842843,0.893894,1
0.832833,0.88989,0.997998
