0reliability,1reliability,0afford,1afford
1,1,0.0334817,0.0230849
1,1,0.0342778,0.0231346
0.998999,1,0.0350555,0.0231835
0.998999,1,0.0358136,0.0232311
0.997998,1,0.0365546,0.0232788
0.997998,1,0.0411415,0.0256145
0.998999,1,0.0426159,0.0270025
0.998999,1,0.0375863,0.0281646
0.998999,1,0.0380539,0.0285981
0.998999,1,0.0385873,0.0290007
0.998999,1,0.0389789,0.0293931
0.998999,1,0.0393487,0.0298051
1,1,0.0398039,0.0301381
1,1,0.0403183,0.0305336
0.997998,1,0.0407868,0.0308804
0.996997,1,0.0418929,0.0312337
0.997998,1,0.0418761,0.031555
0.998999,1,0.0429967,0.0319412
0.995996,1,0.0435077,0.0321918
0.994995,1,0.0441566,0.0324517
0.992993,1,0.0448021,0.0327575
0.98999,1,0.0453142,0.0330468
0.984985,1,0.0457036,0.0331635
0.976977,1,0.046242,0.03334
0.978979,1,0.046555,0.0334093
0.975976,1,0.046819,0.0335659
0.975976,1,0.0472129,0.0337119
0.972973,1,0.0474762,0.0337487
0.963964,1,0.0476957,0.0338591
0.962963,1,0.0479574,0.0340224
0.953954,1,0.0481281,0.0340846
0.957958,1,0.0481983,0.0342509
0.953954,1,0.0483208,0.0342403
0.948949,1,0.0484813,0.0343565
0.950951,1,0.0484974,0.0343819
0.948949,1,0.0485724,0.0343632
0.956957,1,0.0487032,0.0342861
0.953954,1,0.0486811,0.0343849
0.955956,1,0.0485591,0.0343835
0.94995,1,0.0486075,0.0343858
