0reliability,1reliability,0afford,1afford
1,1,0.0334817,0.0230849
1,1,0.0342783,0.0231347
0.998999,1,0.0350593,0.0231839
0.998999,1,0.035823,0.0232326
0.997998,1,0.0365896,0.0232811
0.997998,1,0.0416229,0.02602
0.998999,1,0.0426159,0.0270373
0.998999,1,0.0376482,0.028211
0.997998,1,0.0382755,0.0286398
0.998999,1,0.0389903,0.029349
0.998999,1,0.0396707,0.0308683
0.998999,1,0.0409581,0.0323942
1,1,0.0414611,0.0326231
1,1,0.0433618,0.034254
0.997998,1,0.0441977,0.0348668
0.996997,1,0.0446701,0.0350753
0.997998,1,0.0458475,0.0357484
0.998999,1,0.0466268,0.0364237
0.995996,1,0.0471711,0.036841
0.994995,1,0.0477514,0.037193
0.993994,1,0.0480996,0.0374328
0.985986,1,0.0485306,0.0377046
0.985986,1,0.0487358,0.037863
0.97998,1,0.0486874,0.0378657
0.978979,1,0.0488778,0.0380839
0.975976,1,0.0488892,0.0380172
0.974975,1,0.0491112,0.0380567
0.972973,1,0.049078,0.03809
0.963964,1,0.0491962,0.038062
0.962963,1,0.0496109,0.0382419
0.953954,1,0.049688,0.038403
0.957958,1,0.0496158,0.0383702
0.953954,1,0.0502028,0.0388441
0.948949,1,0.0504389,0.0388679
0.94995,1,0.0505279,0.0389569
0.947948,1,0.0499306,0.0386646
0.956957,1,0.0499891,0.0386085
0.953954,1,0.0502135,0.038648
0.955956,1,0.050134,0.0388429
0.94995,1,0.05031,0.038952
