0rest_m,1rest_m,0transf,1transf
1.000000,1.000000,0.6048,-0.6048
1.000000,1.000000,0.593974,-0.593974
1.000000,1.000000,0.593741,-0.593741
1.000000,1.000000,0.593508,-0.593508
1.000000,1.000000,0.593276,-0.593276
1.000000,1.000000,0.461209,-0.461209
1.000000,1.000000,0.460949,-0.460949
1.000000,1.000000,0.460689,-0.460689
1.000000,1.000000,0.460428,-0.460428
1.000000,1.000000,0.6048,-0.6048
1.000000,1.000000,0.6048,-0.6048
1.000000,1.000000,0.6048,-0.6048
1.000000,1.000000,0.6048,-0.6048
1.000000,1.000000,0.6048,-0.6048
1.000000,1.000000,0.592755,-0.592755
1.000000,1.000000,0.592522,-0.592522
1.000000,1.000000,0.592289,-0.592289
1.000000,1.000000,0.592056,-0.592056
1.000000,1.000000,0.6048,-0.6048
1.000000,1.000000,0.6048,-0.6048
1.000000,1.000000,0.6048,-0.6048
1.000000,1.000000,0.6048,-0.6048
1.000000,1.000000,0.547935,-0.547935
1.000000,1.000000,0.547692,-0.547692
1.000000,1.000000,0.54745,-0.54745
1.000000,1.000000,0.547207,-0.547207
1.000000,1.000000,0.546965,-0.546965
1.000000,1.000000,0.513808,-0.513808
1.000000,1.000000,0.513558,-0.513558
1.000000,1.000000,0.513308,-0.513308
1.000000,1.000000,0.513059,-0.513059
1.000000,1.000000,0.48345,-0.48345
1.000000,1.000000,0.483194,-0.483194
1.000000,1.000000,0.482938,-0.482938
1.000000,1.000000,0.482682,-0.482682
1.000000,1.000000,0.376369,-0.376369
1.000000,1.000000,0.376091,-0.376091
1.000000,1.000000,0.375812,-0.375812
1.000000,1.000000,0.375534,-0.375534
1.000000,1.000000,0.375255,-0.375255
1.000000,1.000000,0.439417,-0.439417
1.000000,1.000000,0.439152,-0.439152
1.000000,1.000000,0.438886,-0.438886
1.000000,1.000000,0.438621,-0.438621
1.000000,1.000000,0.497061,-0.497061
1.000000,1.000000,0.496807,-0.496807
1.000000,1.000000,0.496554,-0.496554
1.000000,1.000000,0.496301,-0.496301
1.000000,1.000000,0.6048,-0.6048
1.000000,1.000000,0.6048,-0.6048
1.000000,1.000000,0.6048,-0.6048
1.000000,1.000000,0.6048,-0.6048
1.000000,1.000000,0.6048,-0.6048
1.000000,1.000000,0.581806,-0.581806
1.000000,1.000000,0.581578,-0.581578
1.000000,1.000000,0.581349,-0.581349
1.000000,1.000000,0.58112,-0.58112
1.000000,1.000000,0.44763,-0.44763
1.000000,1.000000,0.447374,-0.447374
1.000000,1.000000,0.447118,-0.447118
1.000000,1.000000,0.446863,-0.446863
1.000000,1.000000,0.6048,-0.6048
1.000000,1.000000,0.6048,-0.6048
1.000000,1.000000,0.6048,-0.6048
1.000000,1.000000,0.6048,-0.6048
1.000000,1.000000,0.6048,-0.6048
1.000000,1.000000,0.580662,-0.580662
1.000000,1.000000,0.580433,-0.580433
1.000000,1.000000,0.580204,-0.580204
1.000000,1.000000,0.579975,-0.579975
1.000000,1.000000,0.596783,-0.596783
1.000000,1.000000,0.596558,-0.596558
1.000000,1.000000,0.596332,-0.596332
1.000000,1.000000,0.596106,-0.596106
1.000000,1.000000,0.535414,-0.535414
1.000000,1.000000,0.535176,-0.535176
1.000000,1.000000,0.534938,-0.534938
1.000000,1.000000,0.5347,-0.5347
1.000000,1.000000,0.534461,-0.534461
1.000000,1.000000,0.500956,-0.500956
