0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0gross_rev,0cont_contrib,0drought_cost,0water_price
0,0,0,0,60,2.31986e+07,-1.78406e+06,1.78406e+06,1.31025e+07
0,0,0,0,0,2.31536e+07,-1.75213e+06,1.75213e+06,1.31025e+07
0,0,0,0,0,2.31572e+07,-1.75136e+06,1.75136e+06,1.31025e+07
0,0,0,0,0,2.31607e+07,-1.75059e+06,1.75059e+06,1.31025e+07
0,0,0,0,0,2.53569e+07,-1.74982e+06,1.74982e+06,1.31025e+07
0,0,0,0,0,2.47559e+07,-1.36013e+06,1.36013e+06,1.31025e+07
0,0,0,0,0,2.47598e+07,-1.35927e+06,1.35927e+06,1.31025e+07
0,0,0,0,0,2.47638e+07,-1.35841e+06,1.35841e+06,1.31025e+07
0,0,0,0,0,2.17358e+07,-1.35756e+06,1.35756e+06,1.31025e+07
0,0,0,0,0,2.24039e+07,-1.78406e+06,1.78406e+06,1.31025e+07
0,0,0,0,0,2.24085e+07,-1.78406e+06,1.78406e+06,1.31025e+07
0,0,0,0,0,2.2413e+07,-1.78406e+06,1.78406e+06,1.31025e+07
0,0,0,0,0,2.24176e+07,-1.78406e+06,1.78406e+06,1.31025e+07
0,0,0,0,0,2.31751e+07,-1.78406e+06,1.78406e+06,1.31025e+07
0,0,0,0,0,2.31229e+07,-1.74748e+06,1.74748e+06,1.31025e+07
0,0,0,0,0,2.31265e+07,-1.74671e+06,1.74671e+06,1.31025e+07
0,0,0,0,0,2.313e+07,-1.74594e+06,1.74594e+06,1.31025e+07
0,0,0,0,0,2.28399e+07,-1.74517e+06,1.74517e+06,1.31025e+07
0,0,0,0,0,2.2905e+07,-1.78406e+06,1.78406e+06,1.31025e+07
0,0,0,0,0,2.29097e+07,-1.78406e+06,1.78406e+06,1.31025e+07
0,0,0,0,0,2.29144e+07,-1.78406e+06,1.78406e+06,1.31025e+07
0,0,0,0,0,2.39395e+07,-1.78406e+06,1.78406e+06,1.31025e+07
