0_Descoberto(id0),1_Torto / Santa Maria(id1),0_Corumba IV(id2)
1,1,1
1,0.996997,1
1,0.998999,1
0.997998,0.994995,1
0.996997,0.992993,1
0.994995,0.992993,1
0.995996,0.990991,1
0.995996,0.990991,1
0.994995,0.996997,1
0.991992,0.992993,1
0.992993,0.98999,0.998999
0.98999,0.990991,1
0.993994,0.995996,1
0.98999,0.993994,1
0.986987,0.992993,1
0.988989,0.991992,1
0.978979,0.98999,1
0.977978,0.991992,1
0.977978,0.991992,1
0.965966,0.991992,1
0.952953,0.990991,0.998999
0.941942,0.988989,1
0.946947,0.993994,1
0.932933,0.98999,1
0.925926,0.990991,1
0.916917,0.991992,0.998999
0.907908,0.992993,1
0.888889,0.995996,1
0.885886,0.996997,0.998999
0.882883,0.995996,1
0.858859,0.997998,1
0.840841,0.994995,1
0.853854,0.991992,1
0.854855,0.993994,0.998999
0.837838,0.996997,0.998999
0.82983,0.997998,0.998999
0.837838,0.995996,1
0.846847,0.993994,1
0.838839,0.994995,1
0.826827,0.994995,0.997998
