0reliability,1reliability,0afford,1afford,0severity,1severity
1,1,0.034967,0.0246829,0,0
1,0.996997,0.0355919,0.0247253,0,0
1,0.998999,0.036098,0.0247669,0,0
0.997998,0.994995,0.0366459,0.0248078,0,0
0.996997,0.992993,0.0372339,0.0248477,0,0
0.994995,0.992993,0.0376462,0.0248875,0,0
0.995996,0.990991,0.0380991,0.0285728,0,0
0.995996,0.990991,0.0386208,0.0289505,0,0
0.994995,0.996997,0.0390618,0.0293075,0,0
0.991992,0.992993,0.0395039,0.0296697,0,0
0.992993,0.98999,0.0400729,0.0300447,0,5
0.98999,0.990991,0.0405476,0.0304381,1,0
0.993994,0.995996,0.0407853,0.0312757,0,0
0.98999,0.993994,0.0412556,0.0343442,3,0
0.986987,0.992993,0.0417446,0.0348993,3,0
0.988989,0.991992,0.042242,0.0350406,3,0
0.978979,0.98999,0.0427183,0.0360413,7,1
0.977978,0.991992,0.0430949,0.0368252,7,0
0.977978,0.991992,0.0434592,0.0375215,8,0
0.965966,0.991992,0.0439631,0.0378759,14,0
0.952953,0.990991,0.0443346,0.0382164,13,0
0.941942,0.988989,0.0446502,0.0377627,15,6
0.946947,0.993994,0.0451183,0.0378712,18,0
0.932933,0.98999,0.0454251,0.0380462,17,2
0.925926,0.990991,0.0456927,0.0380232,18,0
0.916917,0.991992,0.0459867,0.0381824,21,0
0.907908,0.992993,0.0463154,0.0381502,20,0
0.888889,0.995996,0.0464875,0.0380103,19,0
0.885886,0.996997,0.0467078,0.0383389,21,0
0.882883,0.995996,0.046974,0.0384933,21,0
0.858859,0.997998,0.0470635,0.0382227,24,0
0.840841,0.994995,0.047245,0.0383721,20,0
0.853854,0.991992,0.0474166,0.0384331,24,0
0.854855,0.993994,0.0474705,0.0387621,24,0
0.837838,0.996997,0.0475867,0.0388452,30,0
0.82983,0.997998,0.0475705,0.0383532,24,0
0.837838,0.995996,0.0476352,0.0383537,22,0
0.846847,0.993994,0.0476214,0.0385704,24,0
0.838839,0.994995,0.0475775,0.0385015,22,0
0.826827,0.994995,0.0477647,0.0385967,23,0
